# ('wuu_th_pl_jt', '金壇話', '金壇', '#0000FF', None, None, '版本：2021-12-17<br>來源：金壇縣志，轉錄者<u>正心修身</u>', '434 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,21 4 2b 陽上 ꜃,55 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,2 8a 4b 陽入 ꜇')
伸	sən1
伺	sɿ5
似	zɿ6
佃	diɪ6
但	dæ6
佈	pu5
低	ti1
住	dzu6
体	tʰi3
何	ɦɯ2
余	Ǿy2
佛	vəʔ8
作	tsɔʔ7
你	ȵi4
佩	pʰɛi5
佳	tɕia1
併	pin5
佻	tʰiao2
使	sɿ3
侃	kʰæ3
侄	tsəʔ7
侈	tsʰɿ5	奢〜
侉	kʰua3	〜子
例	ȵi5
侍	zɿ6
供	koŋ1
供	koŋ5
依	Ǿi1
侥	tɕiao3
侧	tsʰəʔ8
侨	dʑiao2
侩	kuɛi5
侫	ȵin5
侭	tɕin3	〜前
侮	vu2
侮	Ǿu5
侯	ɦei2
侵	tɕʰin1
便	biɪ6
便	pi1	〜宜
促	tsʰɔʔ8
俄	ŋɯ1
俊	tɕyn5
俏	tɕʰiao5
俗	zɔʔ8
俘	fu1	〜虏
保	pao3
俟	zɿ6
信	ɕin5
俭	dʑiɪ6
修	ɕiɯ1
俯	fu3
俵	piao3
俸	voŋ6
俾	pi3
倍	bɛi6
倏	sɔʔ7
倒	tao3	打〜
倒	tao5	〜水
倔	dʑyəʔ8
倘	tʰɑŋ3
候	ɦei6
倚	Ǿi3
借	tɕia5
倡	tsʰæ5
倣	fɑŋ3
倪	ȵi1
债	tsa5
值	dzəʔ8
倾	tɕʰyn5
假	tɕia5	放〜
假	ko3	真〜
偏	pʰiɪ1
做	tsɯ5
做	Ǿao5
停	din2
偶	ŋei1
偷	tʰei1
傀	kʰuei1
傀	kʰuei5
傅	fu5
傍	bɑŋ6
储	dzu2
催	tsʰɛi1
催	tsʰuei1
傻	sa3
像	ʑiɛ6
僧	sən1
僵	tɕiɑŋ1
僵	tɕiɛ1
僻	pʰiʔ8
儡	luei4
允	Ǿin3
允	Ǿyn3
元	Ǿʏ2
兄	ɕioŋ1
充	tsʰoŋ1
兆	dzao6
先	ɕiɪ1
光	kuɑŋ1
克	kʰəʔ8
免	miɪ4
兑	tɛi5
兔	tʰu5
党	tɑŋ3
兜	tei1
入	zəʔ8
全	ʑʏ2
八	paʔ7
公	koŋ1
六	lɔʔ8
兮	ɕi1
兰	læ1
共	ɡoŋ6
关	kuæ1
兴	ɕin5
兵	pin1
其	dʑi2
具	dʑy6
典	tiɪ3
兹	tsɿ1
养	Ǿiɛ3
兼	tɕiɪ1
兽	sei5
冀	tɕi5
内	luei5
内	lɛi5
冈	kɑŋ1
册	tsʰəʔ8
再	tsɛi5
冒	mao5
冕	miɪ4
冗	ȵioŋ1
写	ɕia3
军	tɕyn1
农	ȵioŋ1
冠	kuæ5
冠	kʏ1
冠	kʏ3	〜军
冤	Ǿʏ1
冥	min4
冬	toŋ1
冯	voŋ2
冰	pin1
冲	tsʰoŋ1
冲	tsʰoŋ5	〜人
决	tɕyəʔ7
况	xuɑŋ5
冷	lən1
冻	toŋ5
净	dʑin6
准	tsuən3
凉	ȵiɑŋ1
凉	ȵiɛ1
凉	ȵiɛ5
凋	tiao1
凌	ȵin1
减	kæ3
凑	tsʰei5
凝	ȵin1
几	tɕi1
几	tɕi3	〜个
凡	fæ1
凭	bin2
凯	kʰɛi3
凰	ɦuɑŋ2
凰	Ǿuɑŋ2
凳	tən5
凶	ɕioŋ1
击	tɕiʔ7
函	Ǿʏ2
刀	tao1
刁	tiao1
分	fən1
切	tɕʰiaʔ8
刈	Ǿi5
刊	kʰæ3
刊	kʰʏ1
刑	ʑin2
划	Ǿo5	计〜
划	ɦo2	〜船
刖	Ǿyəʔ8
列	ȵiʔ8
刘	lei1
则	tsəʔ7
刚	kɑŋ1
创	tsʰɑŋ5
初	tsʰɯ1
删	sæ1
删	ɕiɛ1
判	pʰʏ5
刨	bao6
利	ȵi5
别	biʔ8
刮	kuaʔ7
到	tao5
制	tsɿ5
刷	ɕyəʔ7
券	tɕʰʏ5
刺	tsʰɿ5
刻	kʰəʔ8
刽	kuɛi5
剁	tɯ5
剂	tɕi5
剃	tʰi5
削	ɕiaʔ7
剌	laʔ8
前	ʑiɪ1
剑	tɕiɪ5
剔	tʰiʔ8
剖	pʰɯ5
剜	Ǿʏ3
剥	pɔʔ7
剧	dʑiʔ8
剩	zən6
剪	tɕiɪ3
剮	ko3
副	fu5
割	kəʔ7
剽	biao2
剿	tɕiao3
劈	pʰiʔ8
劐	xɔʔ7
力	ȵiʔ8
劝	tɕʰʏ5
功	koŋ1
加	ko1
务	Ǿu5
劣	ȵiʔ8
动	doŋ6
助	zɯ6
劫	dʑiʔ8
励	ȵi5
劲	tɕin5
劳	lao1
势	sɿ5
勃	bəʔ8
勇	Ǿioŋ2
勉	miɪ4
勒	ləʔ8
勘	kʰæ3
勝	tsʰɿ1	眼〜
募	mɯ5
勤	dʑin2
勳	ɕyn1
勺	zaʔ8
勾	kei1
勿	vəʔ8
匀	Ǿyn2
包	pao1
匆	tsʰoŋ1
匐	vɔʔ8
化	xo5
北	pɔʔ7
匙	dzɿ2
匙	zɿ2
匠	ʑiɛ6
匡	kʰuɑŋ1
匣	ɦaʔ8
匪	fi3
匹	pʰiʔ8
区	tɕʰy1
医	Ǿi1
匾	piɪ3
匿	ȵiʔ8
十	zəʔ8
千	tɕʰiɪ1
升	sən1
午	Ǿu3
半	pʏ5
华	ɦo2	中〜
华	ɦo6	〜山
协	ɕiʔ7
协	ʑiʔ8
卑	pɛi1
卒	tsɔʔ7
協	tɕin1
单	tæ1
单	ʑiɪ6	姓
卖	ma5
南	ȵʏ1
博	pɔʔ7
卜	pɔʔ7
卜	bɯ2	萝～
占	tsæ1
占	tsæ5	〜领
卡	kʰa3
卢	lu1
卤	lu4
卦	ko5
卧	ŋɯ5
卯	mao4
印	Ǿin5
危	Ǿuei1
即	tɕiʔ7
却	tɕʰiaʔ8
卵	ȵʏ4
卸	ɕia5
卿	tɕʰin1
厂	tsʰæ3
厄	ŋəʔ8
厅	tʰin1
历	ȵiʔ8
厉	ȵi5
压	Ǿaʔ7
厌	Ǿiɪ5
厕	tsʰɿ5
厚	ɡei6	面皮〜
厚	ɦei6
原	Ǿʏ2
厢	ɕiɑŋ1
厢	ɕiɛ1
厥	tɕyəʔ7
厦	ʑia6
厨	dzu2
厮	sɿ1
去	kʰɛi5
县	Ǿʏ6
叁	sæ1
参	tsʰæ1	〜加
参	tsʰən1	〜差
参	sən1
又	Ǿiɯ5
叉	tsʰo1
及	dʑiʔ8
友	Ǿiɯ3
双	sɑŋ1
反	fæ3
发	faʔ7
发	vaʔ8
叔	sɔʔ7
取	tɕʰy3
受	zei6
变	piɪ5
叙	ʑy6
叛	pʰʏ5
叟	sei3
叠	diʔ8
口	kʰei3
古	ku3
句	tɕy5
另	ȵin5
叨	tao1
叩	kʰei3
只	tsəʔ7
叫	tɕiao5
召	tsao1
叭	pʰaʔ8
可	kʰɯ3
台	dɛi2
史	sɿ3
右	Ǿiɯ5
叶	Ǿiʔ7
叶	ȵiaʔ8	樹〜
号	ɦao6
号	Ǿao6
司	sɿ1
叹	tʰæ5
吁	ɕy1
吃	tɕʰiʔ8
各	kɔʔ7
合	kəʔ7
合	ɦəʔ8
吉	tɕiʔ7
吊	tiao5
同	doŋ2
名	min1
后	ɦei6
吏	ȵi5
吐	tʰu3	〜痰
吐	tʰu5	呕〜
吓	xəʔ8
吕	ȵy4
君	tɕyn1
吝	ȵin5
吞	tʰən1
吟	ȵin1
吠	fi5
否	fei3
吩	fən1
含	Ǿʏ2
听	tʰin5
启	tɕʰi3
吱	tsɿ1
吴	Ǿu2
吵	tsʰao3
吸	ɕiʔ7
吹	tsʰuei1
吻	Ǿuən2
吼	xei3
吾	Ǿu3
呃	ŋəʔ8
呆	tɛi1
呆	ɡɛi6	〜大
呆	ŋɛi1
呈	dzən2
告	kao5
呒	m̩1
呕	Ǿei3
员	Ǿʏ2
呛	tɕʰiɑŋ1
呛	tɕʰiɑŋ5
呛	tɕʰiɛ1
呛	tɕʰiɛ5
周	tsei1
味	vi6
呼	xu1
命	min5
和	ɦɯ6
咎	dʑiɯ6
咒	tsei5
咖	kʰa1
咣	kuɑŋ1
咨	tsɿ1
咬	ŋao4
咸	ɦæ2
咸	Ǿæ2
咸	ʑiɪ1	〜阳
哀	Ǿɛi1
品	pʰin3
哄	xoŋ3
哄	xoŋ5	起〜
哆	tɯ3
哈	xa1
哑	Ǿo3
哙	kuɛi5
哟	Ǿio1	表惊奇
哟	Ǿio2	表示突然想起
哟	Ǿio3	哎〜
哟	Ǿio5	见面时有意表示惊奇
哥	kɯ1
哪	lo1	〜头，哪捏
哭	kʰɔʔ8
哲	tsəʔ7
哼	xŋ̍5
哼	xən1
哽	kən3
唆	sɯ1
唇	dzən2
唇	dzuən2
唐	dɑŋ2
唤	xuæ5
唤	xʏ5
售	zei6
唯	Ǿuei1
唱	tsʰæ5
啄	tsɔʔ7
商	sæ1
啈	xn̩5
啊	tɕiɪ3
啬	səʔ7
啮	ȵiʔ8
啰	lɯ1
啼	di2
喂	Ǿuɛi1
善	sæ5
喉	ɦei2
喊	xæ3
喘	tɕʰʏ3
喜	ɕi3
喝	xəʔ8
喷	pʰən1
喻	Ǿy4
嗅	ɕiɯ5
嗑	kʰəʔ8
嗓	sæ3
嗡	Ǿoŋ1
嗣	zɿ6
嗤	tsʰɿ1
嗦	sɔʔ7
嗨	xɛi5
嗯	n̩5
嗯	ŋ̍1
嗲	tia1	嗲家：“什么”的意思
嗷	ŋao1
嗽	sei5
嘀	miao1
嘉	tɕia1
嘘	ɕy1
嘱	zɔʔ8
嘴	tɕy3
噎	Ǿiʔ7
噗	pʰɔʔ8
噘	tɕyəʔ7
噤	dʑin6
器	tɕʰi5
噱	ɕyəʔ7
噷	xm̩5
嚣	ɕiao1
嚷	lɑŋ4
嚼	dʑiaʔ8
嚼	ʑiaʔ8
囊	lɑŋ1
囚	dʑiɯ2
四	sɿ5
回	Ǿuɛi2
