#古韻	字	高本漢	王力	李榮	邵榮芬	鄭張尚芳	潘悟雲	蒲立本
p	幫	p	p	p	p	p	p	p
ph	滂	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ
b	並	bʱ	b	b	b	b	b	b
m	明	m	m	m	m	m	m	m
t	端	t	t	t	t	t	t	t
th	透	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ
d	定	dʱ	d	d	d	d	d	d
n	泥	n	n	n	n	n	n	n
tr	知	ȶ	ȶ	ȶ	ȶ	ʈ	ʈ	ʈ
thr	徹	ȶʰ	ȶʰ	ȶʰ	ȶʰ	ʈʰ	ʈʰ	ʈʰ
dr	澄	ȡʱ	ȡ	ȡ	ȡ	ɖ	ɖ	ɖ
nr	孃	n	n	n	n	ɳ	ɳ	ɳ
c	精	ts	ts	ts	ts	ts	ts	ts
ch	清	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ	tsʰ
z	從	dzʱ	dz	dz	dz	dz	dz	dz
s	心	s	s	s	s	s	s	s
zs	邪	z	z	z	z	z	z	z
cr	莊	tʂ	tʃ	tʃ	tʃ	tʃ	tʂ	tʂ
chr	初	tʂʰ	tʃʰ	tʃʰ	tʃʰ	tʃʰ	tʂʰ	tʂʰ
zr	崇	dʐʱ	dʒ	dʒ	dʒ	dʒ	dʐ	dʐ
sr	生	ʂ	ʃ	ʃ	ʃ	ʃ	ʃ	ʂ
zsr	俟	dʐʰ	ʒ	ʒ	ʒ	ʒ	ʐ	ʐ
cj	章	tɕ	tɕ	tɕ	tɕ	tɕ	tɕ	c
chj	昌	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	tɕʰ	cʰ
zj	常	ʑ	ʑ	ʑ	dʑ	dʑ	dʑ	dʑ
sj	書	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ	ɕ
zsj	船	dʑʰ	dʑ	dʑ	ʑ	ʑ	ʑ	ʑ
k	見	k	k	k	k	k	k	k
kh	溪	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ	kʰ
g	羣	g	ɡ	ɡ	ɡ	ɡ	ɡ	g
ng	疑	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ
h	曉	x	x	x	x	h	h	h
gh	匣	ɣ	ɣ	ɣ	ɣ	ɦ	ɦ	ɦ
q	影	ʔ		ʔ	ʔ	ʔ	ʔ	ʔ
_	云		ɣ	ɣ	ɣ	ɦ	ɦ	ɦ
j	以		j			j	j	j
l	來	l	l	l	l	l	l	l
nj	日	ȵʑ	ȵʑ	ȵ	ȵʑ	ȵ	ȵ	ȵ
