#古韻	攝	等	呼	韻母名稱(平上去入)	高本漢	王力	李榮	邵榮芬	鄭張尚芳	潘悟雲	蒲立本
a	果	一	開	歌哿箇	ɑ	ɑ	ɑ	ɑ	ɑ	ɑ	a
ua	果	一	合	戈果過	uɑ	uɑ	uɑ	uɑ	uɑ	uɑ	wa
Ia	果	三	開	戈果過	i̯ɑ	ǐɑ	iɑ	iɑ	ɨɑ	iɑ	ɨa	#与假攝麻韻重韻，但較少見，用Ia代替
ya	果	三	合	戈果過	i̯wɑ	ĭuɑ	iuɑ	iuɑ	ɨuɑ	ʷiɑ	ua
ra	假	二	開	麻馬禡	a	a	a	a	ɣa	ɯa	aɨ
rua	假	二	合	麻馬禡	wa	wa	ua	ua	ɣua	ʷɯa	waɨ
ia	假	三	開	麻馬禡	i̯a	ĭa	ia	ia	ia	ia	ia
ai	蟹	一	開	咍海代	ɑ̆i	ɒi	ᴀi	ɒi	ʌi	əi	əj
uai	蟹	一	合	灰賄隊	uɑ̆i	uɒi	uᴀi	uɒi	uʌi	uoi	wəj
rai	蟹	二	開	皆駭怪	ăi	ɐi	ɛi	ɐi	ɣɛi	ɯæi	əɨj
ruai	蟹	二	合	皆駭怪	wăi	wɐi	uɛi	uɐi	ɣuɛi	ʷɯæi	wəɨj
re	蟹	二	開	佳蟹卦	ai	ai	ɛ	æi	ɣɛ	ɯæ	aɨj
rue	蟹	二	合	佳蟹卦	wai	wai	uɛ	uæi	ɣuɛ	ʷɯæ	waɨj
e	蟹	四	開	齊薺霽	iei	iei	ei	ɛi	ei	ei	ɛj
ue	蟹	四	合	齊薺霽	iwei	iwei	uei	uɛi	wei	ʷei	wɛj
ad	蟹	一	開	泰	ɑi	ɑi	ɑi	ɑi	ɑi	ɑi	aj
uad	蟹	一	合	泰	uɑi	uɑi	uɑi	uɑi	uɑi	ʷɑi	waj
rad	蟹	二	開	夬	ai	æi	ai	ai	ɣai	ɯai	aɨjs
ruad	蟹	二	合	夬	wai	wæi	uai	uai	ɣuai	ʷɯai	waɨjs
iad	蟹	三	開	廢	i̯ɐi	ĭɐi	iɐi	iɐi	ɨɐi	iɐi	ɨaj
yad	蟹	三	合	廢	i̯wɐi	ĭwɐi	iuɐi	iuɐi	ʉɐi	ʷiɐi	uaj
ied	蟹	三	開	祭	i̯ɛi	ĭɛi	iɛi	iæi	iᴇi	iɛi	iaj
Aied	蟹	三	開	祭	i̯ɛi	ĭɛi	iɛi	jæi	iᴇi	iɛi	iaj
Bied	蟹	三	開	祭	i̯ɛi	ĭɛi	jɛi	iæi	ɣiᴇi	ɯiɛi	jiaj
yed	蟹	三	合	祭	i̯wɛi	ĭwɛi	iuɛi	iuæi	iuᴇi	ʷiei	wiaj
Ayed	蟹	三	合	祭	i̯wɛi	ĭwɛi	iuɛi	juæi	iuᴇi	ʷiɛi	wiaj
Byed	蟹	三	合	祭	i̯wɛi	ĭwɛi	juɛi	iuæi	ɣiuᴇi	ʷɯiei	jwiaj
au	效	一	開	豪晧号	ɑu	ɑu	ɑu	ɑu	ɑu	ɑu	aw
rau	效	二	開	肴巧效	au	au	au	au	ɣau	ɯau	aɨw
ieu	效	三	開	宵小笑	i̯ɛu	ĭɛu	iɛu	iæu	iᴇu	iɛu	iaw
Aieu	效	三	開	宵小笑	i̯ɛu	ĭɛu	iɛu	jæu	iᴇu	iɛu	iaw
Bieu	效	三	開	宵小笑	i̯ɛu	ĭɛu	jɛu	iæu	ɣiᴇu	ɯiɛu	iaw
eu	效	四	開	蕭篠嘯	ieu	ieu	eu	eu	eu	eu	ɛw
ie	止	三	開	支紙寘	ie̯	ǐe	ie	iɛ	iᴇ	iɛ	iə̆
Aie	止	三	開	支紙寘	ie̯	ǐe	ie	jɛ	iᴇ	iɛ	iə̆
Bie	止	三	開	支紙寘	ie̯	ǐe	je	iɛ	ɣiᴇ	ɯiɛ	jiə̆
ye	止	三	合	支紙寘	wie̯	ǐwe	iue	iuɛ	iuᴇ	ʷiɛ	wiə̆
Aye	止	三	合	支紙寘	wie̯	ǐwe	iue	juɛ	iuᴇ	ʷiɛ	wiə̆
Bye	止	三	合	支紙寘	wie̯	ǐwe	jue	iuɛ	ɣiuᴇ	ʷɯiɛ	jwiə̆
ii	止	三	開	脂旨至	i	i	i	iɪ	iɪ	i	i
Aii	止	三	開	脂旨至	i	i	i	jɪ	iɪ	i	i
Bii	止	三	開	脂旨至	i	i	ji	iɪ	ɣiɪ	ɯi	ji
yi	止	三	合	脂旨至	wi	wi	ui	iuɪ	iuɪ	ʷi	wi
Ayi	止	三	合	脂旨至	wi	wi	ui	juɪ	iuɪ	ʷi	wi
Byi	止	三	合	脂旨至	wi	wi	jui	iuɪ	ɣiuɪ	ʷɯi	jwi
i	止	三	開	之止志	i	ĭə	iə	ie	ɨ	ɨ	ɨ
ioi	止	三	開	微尾未	e̯i	ĭəi	iəi	iəi	ɨi	ɨi	ɨj
yoi	止	三	合	微尾未	we̯i	ĭwəi	iuəi	iuəi	ʉi	ʷɨi	uj
o	遇	一	開	模姥暮	uo	u	o	o	uo	uo	ɔ
io	遇	三	開	魚語御	i̯wo	ĭo	iɔ	iɔ	ɨʌ	iɔ	ɨə̆
yo	遇	三	合	虞麌遇	i̯u	ĭu	io	io	ɨo	io	uə̆
u	流	一	開	侯厚候	ə̯u	əu	u	əu	əu	əu	əw
iu	流	三	開	尤有宥	i̯ə̯u	ĭəu	iu	iəu	ɨu	iu	uw
y	流	三	開	幽黝幼	ieu	iəu	iĕu	ieu	iɪu	ɨu	jiw
ang	宕	一	開	唐蕩宕鐸	ɑŋ	ɑŋ	ɑŋ	ɑŋ	ɑŋ	ɑŋ	aŋ
uang	宕	一	合	唐蕩宕鐸	wɑŋ	uɑŋ	uɑŋ	uɑŋ	wɑŋ	ʷɑŋ	waŋ
iang	宕	三	開	陽養漾藥	i̯aŋ	ĭaŋ	iaŋ	iɑŋ	ɨɐŋ	iɐŋ	ɨaŋ
yang	宕	三	合	陽養漾藥	iwaŋ	ĭwaŋ	iuaŋ	iuɑŋ	ʉɐŋ	ʷiɐŋ	uaŋ
