"#注释"	"主要参考《瑞安话语音研究（陈海芳）》，有一定的修改，转录者落橙"
"d"	"［2］同童筒铜桐瞳哃［4］桶动［6］洞"
"ˀn"	"［5］糯"
"n"	"［2］农脓［5］糯"
"l"	"［2］龙隆聋笼［6］弄"
"ts"	"［1］中{当〜}忠终宗［3］总准［5］中{射〜}众俊"
"tsʰ"	"［1］冲充聪葱囱匆春穿{〜也去：穿过去}［3］宠蠢［5］串"
"s"	"［1］松［5］宋送舜"
"z"	"［2］崇绒戎旬循唇纯莼醇巡从［6］殉顺润"
"k"	"［1］公蚣工功攻［3］拱［5］贡拱"
"kʰ"	"［1］空{〜虚}［3］孔［5］空{〜缺}控"
"h"	"［1］烘轰［3］哄{〜骗}［5］嗅{闻}"
"ɦ"	"［2］ 冯红洪虹鸿{〜毛}宏"
"ˀ"	"［1］瓮［5］□{〜腐：豆腐乳，〜臭}"
"#ioŋ"	""
"tɕ"	"［1］弓躬宫［3］卷"
"dʑ"	"［2］虫穷琼［4］盾{矛〜}菌吮"
"ɕ"	"［1］兄［3］笋"
"ˀ"	"［1］雍［3］允永泳詠"
"j"	"［2］营莹荣容蓉鎔熊雄融"
"#ŋ"	""
""	"［2］俄鹅儿梧吾吴蜈娱［4］我且五午伍［6］饿卧二误悟"
