"m2"	"毋"
"m3"	"母"
"tsɿ1"	"氐祇胝秪疷知蜘䣽䝷鼅䵹呲鴜嫢鮆媊惢𨚖㠿姕㰣鄑䖪貲鈭髭𦺱頾頿𪕊訾厜纗㭰觜鶿鷀+仔孖孜茲兹嗞嵫孳滋稵鼒鎡鰦𪑿𩆂蒫齎咨姿𣳩粢資諮澬𩄚齍𪗉𧞓𪗋茬甾菑䊷䣎淄葘椔湽䎩𦸜緇輜輺錙𥀜鍿鯔鶅甾齜眵䡋氏（月氏）支只（專辭）卮巵汥枝㲍肢栀胑㽻衼衹㩼𥾣梔𨈛䧴禔馶榰𧌔㯄鳷𪂅𩍲疻觶砥栺祗脂䓜㴯𥁼鴲汦疻之㞢芝臸#膱#䐈諸（氏也）#指"
"tsɿ2"	"？吱"
"tsɿ3"	"𧩼徵㨖夂黹𢾫㨖𧛢㨖茈跐訿㧗呰啙紫𣸆訾仔子㜽杍秄耔虸籽梓姊𡛷秭跐㧗𠂔胏笫䔂滓厎砥祁旨茋指恉䛗酯𧿲厎止阯址芷沚洔茝趾畤坻砥恀只坁扺帋汦抧𣲵枳咫紙軹䅩䳅#祇"
"tsɿ5"	"知智𣉻潪𢐂置褫踶陊徥䊓褆杝阤豸傂廌𢊁䚦秲洔庤歭畤㣥痔跱雉滍薙遟謘治𠊷稚𢴧稺緻𦃘𩋩𦥐𩹈值植治㨁𠍜積㰣𦎸𧂐恣𣣌骴髊㧘眥胔漬㱴𦎸嫉自孖孳芓字茡牸事椔鶅剚倳胾𤿙𧙁伎伿𢻈㩼忮䚳寘𡽆觶識織志䓌娡痣誌鴲至𢄢𡠗摯𩊞𩊝懥贄䥍質礩鷙䲀熾㿃銐蹛璏𦭮彘滯𩻼迣䀸𢝃晢淛𠛐制狾㝂𦜗𥍭䇽䎺製䭁䩢𤴟䱥子（愛也）𣱐𨎌𦤶致㨖輊疐駤䞃懥𢷐懫騺𨆫𨇈躓"
"tsʰɿ1"	"笞痴癡齝抬瓻𥭘絺訵郗脪辴摛𡴥㷰螭魑彲黐誺离𨌅𡰾趀𧠵𧾒𡳠蠀郪趑𦍧雌姕鈭𦙼胔差縒𪙉嵯颸輜妛蚩𦐉嗤媸𥉍𣍆𨒬𨾦鴟𩶅鵄𧪡胵眵䌳"
"tsʰɿ2"	"池䪧馳趍踟篪䞾䶔䶵褫誃簃傂岻蚳貾𡎰遟墀遲謘彽阺坻莉荎菭泜持莉治𨌅茨垐瓷𥿆餈糍薋𩜴𩆂𧓉薺澬䆅呲玼疵骴茈𣐑飺鴜胔慈磁糍濨礠鶿鷀茲兹柌祠𥿆詞辝辤辭茬茌齹？𦳚？𦑡？堤？忯？𣏚？姼？㖷？䈕？眂？提？禔"
"tsʰɿ3"	"恥褫祉褫𡳭𧖛玼此佌𠈈泚𧺼𩢑𡘌欼㱀㓼𠟴侈垑㢁㶴𧰲㢋袳袲鉹懘哆𡚼剶鋑鐫朘"
"tsʰɿ5"	"𡳭杘𣐉訵跮𦥊𧩼誺䰡𦥊誺眙佁朿刺刾㢀庛莿蛓𧧒䛋㡹次佽𧊒絘𩾔䯸䳐䰍𣣌𧉠蛓螆蚝賜儩𧀩𩜮𢨒饎哆糦埴幟卶痓翅翄𦐊䚢䀸傺䟷𧼪揥慸𨂰𥉻㑜𢘽跇滯掣𢜳痸銐𤸪瘛懘𤢻疵伺廁㥡"
"sɿ1"	"䌳虒斯㴲榹㒋凘禠䔮磃廝㽄燍𥕶蟴䫢鐁𪆁鼶𩆵謕菥蜤㾷螔傂厶㺨私俬𦮺鐁鋖司思𥄶恖絲楒禗罳㺇蕬噝𥯨緦鍶鷥偲+伺覗𧕯欐篩簁釃褷襹籭篩師蒒獅鰤螄𪗪齝邿呞詩䀢䀵鸍𢻫𢻱施絁葹䙾𧠜䗐鍦䌳𪓿𦇲鉈尸屍蓍鳲撕#市#事"
"sɿ2"	"漦旹峕時塒蒔榯鼭鰣"
"sɿ3"	"死矖纚簁釃蓰屣縰𩌦躧𩎉史使駛𩰢弛豕阤矢𠂕屎𦳊始"
"sɿ5"	"峙思（慮也悲也道德純備也）笥覗亖四泗柶牭肂肆駟𧳙𩬶蕼𨽼㣈𦞤鈶似巳汜佀泤祀姒𦓨𥘰洍耜𪊍禩已攺䒨兕𠒃𠒅𧰽𧱅羠薙食（飯屬也糧也以食與人也）寺孠飤嗣飼士仕𢨪柹枾𣐈柿戺事𩛌襹屣𩌦+使（將命者曰使）駛𩢲𩰢𣳪𧳅𨽄𥾩俟𢓪涘竢𥏳騃姼氏𤜣是昰恀䟗徥諟媞褆市恃鈰畤眎眡視𢻃豉䩃䊓鯷𢐂醏𩜼眂眎視嗜𨢍𩝙蒔侍秲卶翨施䗐鍦𤖻㒾䧴馶僿弑弒試屍䛈？𤜣？𦧇？舐？舓礻示眎諡謚貤蔱鎩㡜逝𦚨觢𣂯筮𧻸誓銴噬遾澨簭忕拽世丗貰勢澌𣠩杫始（方始）"
"pa1"	"巴芭岜疤㿬蚆笆羓豝吧鈀？盼#八"
"pa2"	"？把夫（防無切 語已辭）"
"pa3"	"把"
"pa5"	"靶弝垻𧟶覇霸壩灞欛耙𧟳笆䇑跁𥝧𦫙𩹏𤝡耙跁#法#灋？盼白把"
"pʰa1"	"蚆吧妑舥𧣃葩鈀𤽉"
"pʰa2"	"爬琶+杷筢匍"
"pʰa3"	"#派（松江音 ~司）"
"pʰa5"	"帊帕（集韻普駕切 帕腹）怕（怖假借）怖悑"
"ma1"	"#母#麻#榪"
"ma2"	"麻痲犘㦄蟆𩔶𪓹嘛𥂓#馬模"
"ma3"	"馬䣕獁瑪碼𥧓螞鷌鰢罵模駡母嗎（~啡 英morphine）"
"ma5"	"䣕傌䧞禡罵㾺駡𧪨鬕"
"ta3"	"#打"
"ta5"	"大"
"tʰa1"	"他它"
"la1"	"喃拖拉（俗字 拖假借）#垃（俗字 近世乖音 非）娜"
"la2"	"拏拿𧦮𧘽蒘詉笯挐摣南"
"la3"	"䋈藞若（俗又書哪 非）"
"la5"	"䏧絮若（俗以爲遠指之書音）？那"
"ka1"	"迦珈枷痂家笳𧉪袈葭𨔣跏傢猳犌𤠙𣮫豭貑䴥鴐鎵麚瘕幏蟼茄咖"
"ka3"	"嘏叚斝婽椵榎瘕檟"
