"繁體"	"简体"	"聲韻"	"聲調"		"1：˦˦"	"2：˧˩"
"不"	"不"	"pu"	323		"3：˧˥"	"4：˨˦"
"伯"	"伯"	"pa"	323		"5：˥˨"	"6：˨˨"
"八"	"八"	"po"	323		"7：˧˨˧"	"8：˨˩˨"
"剝"	"剥"	"po"	323			
"北"	"北"	"pɛ"	323			
"博"	"博"	"po"	323			
"壁"	"壁"	"pi"	323			
"必"	"必"	"pi"	323			
"憋"	"憋"	"pe"	323			
"把"	"把"	"pa"	323			
"撥"	"拨"	"pø"	323			
"柏"	"柏"	"pa"	323			
"泊"	"泊"	"pa"	323			
"璧"	"璧"	"pi"	323			
"畢"	"毕"	"pi"	323			
"百"	"百"	"pa"	323			
"碧"	"碧"	"pi"	323			
"筆"	"笔"	"pi"	323			
"缽"	"钵"	"pø"	323			
"臂"	"臂"	"pi"	323			
"蔔"	"卜"	"po"	323			
"迫"	"迫"	"pa"	323			
"迫"	"迫"	"pi"	323			
"逼"	"逼"	"pi"	323			
"駁"	"驳"	"po"	323			
"鱉"	"鳖"	"pi"	323			
"僻"	"僻"	"pʰi"	323			
"劈"	"劈"	"pʰi"	323			
"匹"	"匹"	"pʰe"	323			
"博"	"博"	"pʰo"	323			
"怕"	"怕"	"pʰa"	323			
"拍"	"拍"	"pʰa"	323			
"撇"	"撇"	"pʰe"	323			
"撲"	"扑"	"pʰo"	323			
"泊"	"泊"	"pʰa"	323			
"潑"	"泼"	"pʰø"	323			
"璞"	"璞"	"pʰo"	323			
"辟"	"辟"	"pʰi"	323			
"魄"	"魄"	"pʰa"	323			
"啄"	"啄"	"to"	323			
"嫡"	"嫡"	"ti"	323			
"得"	"得"	"tɛ"	323			
"德"	"德"	"tɛ"	323			
"掇"	"掇"	"tɛ"	323			
"搭"	"搭"	"ta"	323			
"滴"	"滴"	"ti"	323			
"的"	"的"	"ti"	323			
"督"	"督"	"tu"	323			
"答"	"答"	"ta"	323			
"篤"	"笃"	"tu"	323			
"跌"	"跌"	"te"	323			
"剔"	"剔"	"tʰe"	323			
"塌"	"塌"	"tʰa"	323			
"塔"	"塔"	"tʰa"	323			
"帖"	"帖"	"tʰe"	323			
"忒"	"忒"	"tʰa"	323			
"托"	"托"	"tʰo"	323			
"榻"	"榻"	"tʰa"	323			
