"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"96"	"騾"	"骡"	"lo阳平"	""	""	""	""
"97"	"螺"	"螺"	"lo阳平"	""	""	""	""
"98"	"腡"	"脶"	"lo阳平"	""	""	""	""
"99"	"裸"	"裸"	"lua阴上"	"白"	""	""	""
"100"	"裸"	"裸"	"lo阴上"	"文"	""	""	""
"101"	"摞"	"摞"	"lo阳平"	""	""	""	""
"102"	"銼"	"锉"	"tsʰo去声"	"文"	""	""	""
"103"	"銼"	"锉"	"tsʰok阳入"	"文"	""	""	""
"104"	"矬"	"矬"	"tsʰo阳平"	"文"	""	""	""
"105"	"矬"	"矬"	"tso阴平"	""	""	""	""
"106"	"坐"	"坐"	"tso阳上"	""	""	""	""
"108"	"座"	"座"	"tso去声"	""	""	""	""
"109"	"蓑"	"蓑"	"sui阴平"	"文"	""	""	""
"110"	"蓑"	"蓑"	"so阴平"	"文"	""	""	""
"111"	"梭"	"梭"	"so阴平"	""	""	""	""
"112"	"唆"	"唆"	"so阴平"	""	""	""	""
"113"	"鎖"	"锁"	"so阴上"	""	""	""	""
"114"	"瑣"	"琐"	"so阴上"	""	""	""	""
"115"	"鍋"	"锅"	"ue阴平"	"白"	""	""	""
"116"	"鍋"	"锅"	"ko阴平"	"文"	""	""	""
"117"	"過"	"过"	"kue去声"	""	""	""	""
"118"	"戈"	"戈"	"kʰo阴平"	"文"	""	""	""
"119"	"戈"	"戈"	"kue阴平"	"白"	""	""	""
"120"	"果"	"果"	"kue阴上"	"白"	""	""	""
"121"	"果"	"果"	"kua阴上"	"文"	""	""	""
"122"	"裹"	"裹"	"kue阴上"	""	""	""	""
"124"	"科"	"科"	"kʰue阴平"	""	""	""	""
"125"	"棵"	"棵"	"kʰo阴上"	""	""	""	""
"126"	"窠"	"窠"	"kʰue阴平"	"白"	""	""	""
"127"	"窠"	"窠"	"kʰo阴平"	"文"	""	""	""
"128"	"顆"	"颗"	"kʰue阴上"	"白"	""	""	""
"129"	"顆"	"颗"	"kʰo阴上"	"文"	""	""	""
"130"	"課"	"课"	"kʰue去声"	""	""	""	""
"131"	"訛"	"讹"	"ue阳平"	""	""	""	""
"132"	"臥"	"卧"	"o去声"	"文"	""	""	""
"133"	"臥"	"卧"	"ŋoʔ阳入"	"又"	""	""	""
"134"	"火"	"火"	"hue阴上"	""	""	""	""
"135"	"夥"	"伙"	"hue阴上"	""	""	""	""
"136"	"貨"	"货"	"hue去声"	""	""	""	""
"137"	"禾"	"禾"	"hua阳平"	"白"	""	""	""
"138"	"禾"	"禾"	"ho阳平"	"文"	""	""	""
"139"	"和"	"和"	"hua阳平"	"文"	""	""	""
"140"	"和"	"和"	"hue阳平"	"白"	""	""	""
"141"	"禍"	"祸"	"hua阳上"	""	""	""	""
"144"	"倭"	"倭"	"o阴平"	""	""	""	""
"145"	"窩"	"窝"	"o阴平"	""	""	""	""
"146"	"涴"	"涴"	"u去声"	""	""	""	""
"147"	"瘸"	"瘸"	"kʰue阳平"	""	""	""	""
"148"	"靴"	"靴"	"hia阴平"	""	""	""	""
"149"	"巴"	"巴"	"pa阴平"	""	""	""	""
"150"	"疤"	"疤"	"pa阴平"	""	""	""	""
"151"	"芭"	"芭"	"pa阴平"	""	""	""	""
"152"	"把"	"把"	"pa阴平"	"文"	""	""	""
"153"	"把"	"把"	"pe阴平"	"白"	""	""	""
"154"	"爸"	"爸"	"pa阴平"	"俗"	""	""	""
"155"	"爸"	"爸"	"pe阳上"	"白"	""	""	""
"156"	"欛"	"欛"	"pa去声"	""	""	""	""
"157"	"壩"	"坝"	"pa去声"	""	""	""	""
"158"	"垻"	"坝"	"pa去声"	""	""	""	""
"159"	"霸"	"霸"	"pa去声"	""	""	""	""
"160"	"怕"	"怕"	"pʰã去声"	""	""	""	""
"161"	"琶"	"琶"	"pe阳平"	"白"	""	""	""
"162"	"琶"	"琶"	"pʰa阳平"	"文"	""	""	""
"163"	"爬"	"爬"	"pe阳平"	"白"	""	""	""
"164"	"爬"	"爬"	"ba阳平"	"白"	""	""	""
"165"	"爬"	"爬"	"peʔ阴入"	"替"	""	""	""
"166"	"麻"	"麻"	"mua阳平"	"白"	""	""	""
"167"	"麻"	"麻"	"ba阳平"	"文"	""	""	""
"168"	"麻"	"麻"	"ma阳平"	"文"	""	""	""
"169"	"蟆"	"蟆"	"ma阳平"	""	""	""	""
"170"	"媽"	"妈"	"ma阴上"	"祖母"	""	""	""
"171"	"媽"	"妈"	"ma阴平"	"母亲"	""	""	""
"172"	"媽"	"妈"	"ma阳平"	"母亲"	""	""	""
"173"	"馬"	"马"	"be阴上"	"白"	""	""	""
"174"	"馬"	"马"	"ma阴上"	"文"	""	""	""
"175"	"碼"	"码"	"be阴上"	"白"	""	""	""
"176"	"碼"	"码"	"ma阴上"	"文"	""	""	""
"177"	"碼"	"码"	"bue阴上"	"又"	""	""	""
"178"	"罵"	"骂"	"me去声"	""	""	""	""
"179"	"拿"	"拿"	"na阴上"	""	""	""	""
"180"	"詫"	"诧"	"tʰe去声"	""	""	""	""
"181"	"茶"	"茶"	"te阳平"	""	""	""	""
"182"	"搽"	"搽"	"te阳平"	"白"	""	""	""
"183"	"搽"	"搽"	"tsʰa阳平"	"文"	""	""	""
"184"	"查"	"查"	"tsʰe阳平"	""	""	""	""
"185"	"查"	"查"	"tsa阴平"	"姓氏音"	""	""	""
"186"	"渣"	"渣"	"tsa阴平"	""	""	""	""
"187"	"詐"	"诈"	"tsa去声"	""	""	""	""
"188"	"榨"	"榨"	"tsa去声"	""	""	""	""
"189"	"炸"	"炸"	"tsa去声"	""	""	""	""
"190"	"叉"	"叉"	"tsʰe阴平"	"白"	""	""	""
"191"	"叉"	"叉"	"tsʰa阴平"	"文"	""	""	""
"192"	"杈"	"杈"	"tsʰe阴平"	""	""	""	""
"193"	"差"	"差"	"tsʰe阴平"	"白"	""	""	""
"194"	"差"	"差"	"tsʰa阴平"	"文"	""	""	""
"195"	"差"	"差"	"tsʰi阴平"	"文"	""	""	""
"196"	"差"	"差"	"tsʰai阴平"	"文"	""	""	""
"197"	"岔"	"岔"	"tsʰe阴平"	"白"	""	""	""
"198"	"岔"	"岔"	"tsʰa阴平"	"文"	""	""	""
"199"	"汊"	"汊"	"tsʰa去声"	""	""	""	""
"202"	"乍"	"乍"	"tsa去声"	""	""	""	""
"203"	"沙"	"沙"	"sua阴平"	"白"	""	""	""
"204"	"沙"	"沙"	"sa阴平"	"文"	""	""	""
"205"	"紗"	"纱"	"se阴平"	"白"	""	""	""
"206"	"紗"	"纱"	"sa阴平"	"文"	""	""	""
"207"	"灑"	"洒"	"sa去声"	""	""	""	""
"208"	"灑"	"洒"	"sai去声"	""	""	""	""
"209"	"嘉"	"嘉"	"kia阴平"	""	""	""	""
"210"	"家"	"家"	"ke阴平"	"白"	""	""	""
"211"	"家"	"家"	"ka阴平"	"家己"	""	""	""
"212"	"家"	"家"	"kia阴平"	"文"	""	""	""
"213"	"傢"	"家"	"ke阴平"	"白"	""	""	""
"214"	"傢"	"家"	"kia阴平"	"文"	""	""	""
"215"	"加"	"加"	"ke阴平"	"白"	""	""	""
"216"	"加"	"加"	"kia阴平"	"文"	""	""	""
"217"	"假"	"假"	"ke阴上"	"白"	""	""	""
"218"	"假"	"假"	"ke去声"	"白"	""	""	""
"219"	"假"	"假"	"kia阴上"	"文"	""	""	""
"220"	"賈"	"贾"	"ku阴上"	"文"	""	""	""
"221"	"賈"	"贾"	"kia阴上"	"文"	""	""	""
"222"	"稼"	"稼"	"ke去声"	"白"	""	""	""
"223"	"稼"	"稼"	"kia去声"	"文"	""	""	""
"227"	"價"	"价"	"ke去声"	"白"	""	""	""
"228"	"價"	"价"	"kia去声"	"文"	""	""	""
"229"	"架"	"架"	"ke去声"	"白"	""	""	""
"230"	"架"	"架"	"kia去声"	"文"	""	""	""
"231"	"駕"	"驾"	"ke去声"	"白"	""	""	""
"232"	"駕"	"驾"	"kia去声"	"文"	""	""	""
"233"	"嫁"	"嫁"	"ke去声"	"白"	""	""	""
"234"	"嫁"	"嫁"	"kia去声"	"文"	""	""	""
"235"	"牙"	"牙"	"ge阳平"	"白"	""	""	""
"236"	"牙"	"牙"	"gia阳平"	"文"	""	""	""
"237"	"芽"	"芽"	"ge阳平"	""	""	""	""
"238"	"衙"	"衙"	"ge阳平"	"白"	""	""	""
"239"	"衙"	"衙"	"ŋia阳平"	"文"	""	""	""
"240"	"雅"	"雅"	"ŋia阴上"	""	""	""	""
"241"	"訝"	"讶"	"ŋa去声"	"文"	""	""	""
"242"	"訝"	"讶"	"ŋia去声"	"文"	""	""	""
"243"	"迓"	"迓"	"ŋia去声"	""	""	""	""
"244"	"蝦"	"虾"	"he阳平"	""	""	""	""
"245"	"嚇"	"吓"	"heʔ阴入"	"白"	""	""	""
"246"	"嚇"	"吓"	"hek阴入"	"文"	""	""	""
"247"	"霞"	"霞"	"hia阳平"	""	""	""	""
"248"	"遐"	"遐"	"hia阳平"	""	""	""	""
"249"	"瑕"	"瑕"	"hia阳平"	""	""	""	""
"251"	"下"	"下"	"hia阳上"	"文"	""	""	""
"252"	"下"	"下"	"e阳上"	"方位"	""	""	""
"253"	"下"	"下"	"e去声"	"一下"	""	""	""
"254"	"下"	"下"	"ke阳上"	"高低"	""	""	""
"255"	"下"	"下"	"he阳上"	""	""	""	""
"256"	"夏"	"夏"	"he去声"	""	""	""	""
"257"	"廈"	"厦"	"e阳上"	"厦门"	""	""	""
"258"	"廈"	"厦"	"he去声"	"大厦"	""	""	""
"264"	"暇"	"暇"	"hia去声"	""	""	""	""
"266"	"丫"	"丫"	"a阴平"	""	""	""	""
"267"	"鴉"	"鸦"	"a阴平"	"乌鸦"	""	""	""
"268"	"鴉"	"鸦"	"aʔ阴入"	"鸦片"	""	""	""
"269"	"啞"	"哑"	"e阴上"	"白"	""	""	""
"270"	"啞"	"哑"	"ia阴上"	"文"	""	""	""
"271"	"亞"	"亚"	"a去声"	""	""	""	""
"272"	"亞"	"亚"	"a阴平"	"又"	""	""	""
"273"	"嗟"	"嗟"	"tsia阴平"	""	""	""	""
"274"	"姐"	"姐"	"tsia阴上"	""	""	""	""
"275"	"姐"	"姐"	"tse阴上"	""	""	""	""
"276"	"借"	"借"	"tsioʔ阴入"	""	""	""	""
"277"	"借"	"借"	"tsia阳上"	"文"	""	""	""
"278"	"借"	"借"	"tsek阴入"	"文"	""	""	""
"279"	"且"	"且"	"tsʰiã阴上"	""	""	""	""
"280"	"藉"	"藉"	"tsia阳上"	""	""	""	""
"281"	"藉"	"藉"	"tsiak阳入"	""	""	""	""
"282"	"藉"	"藉"	"tsek阳入"	"文"	""	""	""
"283"	"褯"	"褯"	"tsia阳上"	""	""	""	""
"284"	"些"	"些"	"se阴平"	""	""	""	""
"285"	"些"	"些"	"sẽ阴平"	""	""	""	""
"286"	"寫"	"写"	"sia阴上"	""	""	""	""
"287"	"瀉"	"泻"	"sia去声"	""	""	""	""
"288"	"卸"	"卸"	"sia去声"	""	""	""	""
"289"	"邪"	"邪"	"sia阳平"	""	""	""	""
"290"	"邪"	"邪"	"ia阳平"	""	""	""	""
"291"	"斜"	"斜"	"sia阴平"	""	""	""	""
"292"	"斜"	"斜"	"sia阳平"	""	""	""	""
"293"	"謝"	"谢"	"sia去声"	"文"	""	""	""
"294"	"謝"	"谢"	"tsia去声"	"姓氏音"	""	""	""
"295"	"爹"	"爹"	"tia阴平"	""	""	""	""
"296"	"遮"	"遮"	"tsia阴平"	""	""	""	""
"297"	"者"	"者"	"tsia阴上"	"白"	""	""	""
"298"	"者"	"者"	"tse阴上"	"文"	""	""	""
"299"	"蔗"	"蔗"	"tsia去声"	""	""	""	""
"300"	"車"	"车"	"tsʰia阴平"	"文"	""	""	""
"301"	"車"	"车"	"ku阴平"	"文"	""	""	""
"302"	"扯"	"扯"	"tsʰe阴上"	""	""	""	""
"303"	"蛇"	"蛇"	"tsua阳平"	""	""	""	""
"304"	"射"	"射"	"sia去声"	""	""	""	""
"305"	"射"	"射"	"iaʔ阴入"	""	""	""	""
"306"	"射"	"射"	"ia去声"	""	""	""	""
"307"	"奢"	"奢"	"sia阴平"	""	""	""	""
"308"	"賒"	"赊"	"tsʰia阴平"	""	""	""	""
"309"	"捨"	"舍"	"sia阴上"	""	""	""	""
"310"	"赦"	"赦"	"sia去声"	""	""	""	""
"311"	"舍"	"舍"	"sia去声"	""	""	""	""
"312"	"社"	"社"	"sia阳上"	""	""	""	""
"313"	"惹"	"惹"	"dzia阴上"	""	""	""	""
"314"	"耶"	"耶"	"ia阳平"	""	""	""	""
"315"	"椰"	"椰"	"ia阳平"	""	""	""	""
"316"	"爺"	"爷"	"ia阳平"	""	""	""	""
"317"	"冶"	"冶"	"ia阴上"	""	""	""	""
"318"	"也"	"也"	"ia去声"	"文"	""	""	""
"319"	"也"	"也"	"lia去声"	""	""	""	""
"320"	"野"	"野"	"ia阴上"	""	""	""	""
"321"	"夜"	"夜"	"ia去声"	""	""	""	""
"322"	"夜"	"夜"	"me阳平"	"训"	""	""	""
"323"	"傻"	"傻"	"sa阳上"	""	""	""	""
"324"	"傻"	"傻"	"so阳平"	""	""	""	""
"325"	"耍"	"耍"	"sua阴上"	""	""	""	""
"326"	"瓜"	"瓜"	"kue阴平"	"白"	""	""	""
"327"	"瓜"	"瓜"	"kua阴平"	"文"	""	""	""
"328"	"蝸"	"蜗"	"ua阴平"	"白"	""	""	""
"329"	"蝸"	"蜗"	"ko阴平"	"文"	""	""	""
"330"	"寡"	"寡"	"kua阴上"	""	""	""	""
"331"	"剮"	"剐"	"kua阴上"	""	""	""	""
"332"	"咵"	"咵"	"kʰua阴平"	""	""	""	""
"333"	"垮"	"垮"	"kʰua阴平"	""	""	""	""
"334"	"跨"	"跨"	"kʰua阴平"	""	""	""	""
"335"	"娃"	"娃"	"ua阴平"	""	""	""	""
"336"	"瓦"	"瓦"	"hia阳上"	"白"	""	""	""
"337"	"瓦"	"瓦"	"ua阴上"	"文"	""	""	""
"338"	"花"	"花"	"hue阴平"	"白"	""	""	""
"339"	"花"	"花"	"hua阴平"	"文"	""	""	""
"340"	"化"	"化"	"hue去声"	"白"	""	""	""
"341"	"化"	"化"	"hua去声"	"文"	""	""	""
"342"	"華"	"华"	"hua阴平"	"文"	""	""	""
"343"	"華"	"华"	"hua阳平"	"文"	""	""	""
"344"	"華"	"华"	"hue阴平"	"白"	""	""	""
"345"	"華"	"华"	"e阳上"	"白"	""	""	""
"350"	"蛙"	"蛙"	"ua阴平"	""	""	""	""
"351"	"洼"	"洼"	"ua阴平"	""	""	""	""
"352"	"補"	"补"	"pou阴上"	""	""	""	""
"353"	"譜"	"谱"	"pʰou阴上"	""	""	""	""
"354"	"布"	"布"	"pou去声"	"白"	""	""	""
"355"	"布"	"布"	"pu去声"	"文"	""	""	""
"356"	"佈"	"布"	"pou去声"	"白"	""	""	""
"357"	"佈"	"布"	"pu去声"	"文"	""	""	""
"358"	"鋪"	"铺"	"pʰou阴平"	""	""	""	""
"359"	"鋪"	"铺"	"pʰou去声"	""	""	""	""
"360"	"普"	"普"	"pʰou阴上"	""	""	""	""
"361"	"浦"	"浦"	"pʰou阴上"	""	""	""	""
"364"	"怖"	"怖"	"pou去声"	"白"	""	""	""
"365"	"怖"	"怖"	"pu去声"	"文"	""	""	""
"366"	"菩"	"菩"	"pu阳平"	""	""	""	""
"367"	"菩"	"菩"	"pʰu阳平"	""	""	""	""
"368"	"蒲"	"蒲"	"pʰu阳平"	""	""	""	""
"369"	"脯"	"脯"	"pou阴上"	""	""	""	""
"370"	"部"	"部"	"pou阳上"	""	""	""	""
"371"	"簿"	"簿"	"pʰou阳上"	""	""	""	""
"372"	"步"	"步"	"pou去声"	""	""	""	""
"373"	"捕"	"捕"	"pou去声"	"白"	""	""	""
"374"	"捕"	"捕"	"pu阳上"	"文"	""	""	""
"375"	"埠"	"埠"	"pou阴平"	"俗"	""	""	""
"376"	"模"	"模"	"bou阳平"	"白"	""	""	""
"377"	"模"	"模"	"mo阳平"	"文"	""	""	""
"378"	"暮"	"暮"	"mo阳上"	"白"	""	""	""
"379"	"暮"	"暮"	"mu去声"	"文"	""	""	""
"380"	"墓"	"墓"	"mo阳上"	"白"	""	""	""
"381"	"墓"	"墓"	"mu阳上"	"文"	""	""	""
"382"	"募"	"募"	"mo阳上"	""	""	""	""
"383"	"募"	"募"	"mu去声"	"文"	""	""	""
"384"	"慕"	"慕"	"mo阳上"	"白"	""	""	""
"385"	"慕"	"慕"	"mu去声"	"文"	""	""	""
"386"	"都"	"都"	"tou阴平"	""	""	""	""
"387"	"都"	"都"	"to阴平"	""	""	""	""
"388"	"堵"	"堵"	"tu阴上"	""	""	""	""
"389"	"賭"	"赌"	"tu阴上"	""	""	""	""
"390"	"肚"	"肚"	"tou阴上"	""	""	""	""
"391"	"肚"	"肚"	"tou阳上"	""	""	""	""
"392"	"妒"	"妒"	"tou去声"	"白"	""	""	""
"393"	"妒"	"妒"	"tu去声"	"文"	""	""	""
"394"	"蠹"	"蠹"	"tu去声"	""	""	""	""
"395"	"土"	"土"	"tou阳上"	"白"	""	""	""
"396"	"土"	"土"	"tʰou阴上"	"白"	""	""	""
"397"	"土"	"土"	"tʰu阴上"	"文"	""	""	""
"398"	"吐"	"吐"	"tʰou去声"	""	""	""	""
"399"	"兔"	"兔"	"tʰou去声"	""	""	""	""
"400"	"途"	"途"	"tʰu阳平"	""	""	""	""
"401"	"鈽"	"钸"	"pu阴平"	""	""	""	""
"402"	"屠"	"屠"	"tou阳平"	"白"	""	""	""
"403"	"屠"	"屠"	"tʰu阳平"	"文"	""	""	""
"404"	"圖"	"图"	"tou阳平"	"白"	""	""	""
"405"	"圖"	"图"	"tʰu阳平"	"文"	""	""	""
"406"	"徒"	"徒"	"tʰu阳平"	""	""	""	""
"409"	"杜"	"杜"	"tou阳上"	"白"	""	""	""
"410"	"杜"	"杜"	"tu阴上"	"文"	""	""	""
"411"	"度"	"度"	"tou去声"	""	""	""	""
"412"	"度"	"度"	"tak阳入"	""	""	""	""
"413"	"渡"	"渡"	"tou去声"	""	""	""	""
"414"	"鍍"	"镀"	"tou去声"	""	""	""	""
"415"	"奴"	"奴"	"nou阳平"	"白"	""	""	""
"416"	"奴"	"奴"	"nu阳平"	"文"	""	""	""
"417"	"努"	"努"	"no阴上"	"白"	""	""	""
"418"	"努"	"努"	"no去声"	"又"	""	""	""
"419"	"努"	"努"	"nu阴上"	"文"	""	""	""
"420"	"怒"	"怒"	"no去声"	"白"	""	""	""
"421"	"怒"	"怒"	"nu去声"	"文"	""	""	""
"422"	"盧"	"卢"	"lou阳平"	"白"	""	""	""
"423"	"盧"	"卢"	"lu阳平"	"文"	""	""	""
"424"	"爐"	"炉"	"lou阳平"	""	""	""	""
"425"	"鹵"	"卤"	"lou阴上"	""	""	""	""
"426"	"鹵"	"卤"	"lou阳上"	""	""	""	""
"427"	"魯"	"鲁"	"lu阴上"	""	""	""	""
"428"	"櫓"	"橹"	"lou阴上"	"白"	""	""	""
"429"	"櫓"	"橹"	"lu阴上"	"文"	""	""	""
"430"	"虜"	"虏"	"lu阴上"	""	""	""	""
"431"	"露"	"露"	"lou去声"	""	""	""	""
"432"	"路"	"路"	"lou去声"	""	""	""	""
"433"	"賂"	"赂"	"lu去声"	""	""	""	""
"434"	"租"	"租"	"tsou阴平"	"白"	""	""	""
"435"	"租"	"租"	"tsu阴平"	"文"	""	""	""
"436"	"祖"	"祖"	"tsou阴上"	""	""	""	""
"437"	"組"	"组"	"tsu阴平"	""	""	""	""
"439"	"粗"	"粗"	"tsʰou阴平"	""	""	""	""
"440"	"醋"	"醋"	"tsʰou去声"	""	""	""	""
"441"	"錯"	"错"	"tsʰo去声"	"白"	""	""	""
"442"	"錯"	"错"	"tsʰoʔ阴入"	"白"	""	""	""
"443"	"錯"	"错"	"tsʰak阴入"	"文"	""	""	""
"444"	"措"	"措"	"tsʰo去声"	"白"	""	""	""
"445"	"措"	"措"	"tsʰu去声"	"文"	""	""	""
"446"	"蘇"	"苏"	"sou阴平"	""	""	""	""
"447"	"酥"	"酥"	"sou阴平"	""	""	""	""
"448"	"素"	"素"	"so去声"	"白"	""	""	""
"449"	"素"	"素"	"su去声"	"文"	""	""	""
"450"	"塑"	"塑"	"sok阴入"	"俗"	""	""	""
"451"	"塑"	"塑"	"suak阴入"	"俗"	""	""	""
"452"	"塑"	"塑"	"su去声"	"文"	""	""	""
"453"	"訴"	"诉"	"su去声"	""	""	""	""
"454"	"嗉"	"嗉"	"su去声"	""	""	""	""
"455"	"辜"	"辜"	"kou阴平"	"白"	""	""	""
"456"	"辜"	"辜"	"ku阴平"	"文"	""	""	""
"457"	"孤"	"孤"	"kou阴平"	""	""	""	""
"458"	"箍"	"箍"	"kʰou阴平"	""	""	""	""
"459"	"姑"	"姑"	"kou阴平"	""	""	""	""
"460"	"估"	"估"	"kou阴上"	""	""	""	""
"461"	"古"	"古"	"kou阴上"	"白"	""	""	""
"462"	"古"	"古"	"ku阴上"	"文"	""	""	""
"465"	"股"	"股"	"kou阴上"	"白"	""	""	""
"466"	"股"	"股"	"ku阴上"	"文"	""	""	""
"467"	"鼓"	"鼓"	"kou阴上"	"白"	""	""	""
"468"	"鼓"	"鼓"	"ku阴上"	"文"	""	""	""
"469"	"蠱"	"蛊"	"kou阴上"	"白"	""	""	""
"470"	"蠱"	"蛊"	"ku阴上"	"文"	""	""	""
"471"	"故"	"故"	"ku去声"	""	""	""	""
"472"	"顧"	"顾"	"kou去声"	"白"	""	""	""
"473"	"顧"	"顾"	"ku去声"	"文"	""	""	""
"474"	"固"	"固"	"ku去声"	""	""	""	""
"475"	"雇"	"雇"	"kou去声"	""	""	""	""
"476"	"枯"	"枯"	"kʰou阴平"	"白"	""	""	""
"477"	"枯"	"枯"	"kou阴平"	"又"	""	""	""
"478"	"枯"	"枯"	"kʰu阴平"	"文"	""	""	""
"479"	"苦"	"苦"	"kʰou阴上"	""	""	""	""
"480"	"庫"	"库"	"kʰou去声"	""	""	""	""
"481"	"褲"	"裤"	"kʰou去声"	""	""	""	""
"482"	"梧"	"梧"	"ŋo阳平"	"白"	""	""	""
"483"	"梧"	"梧"	"ŋu阳平"	"文"	""	""	""
"484"	"吾"	"吾"	"ŋo阳平"	"白"	""	""	""
"485"	"吾"	"吾"	"ŋu阳平"	"文"	""	""	""
"486"	"吳"	"吴"	"gou阳平"	""	""	""	""
