"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"察"	"察"	"tɕʰia7"			
"擦"	"擦"	"tɕʰia7"			
"强"	"強"	"dʑia2"			
"强"	"強"	"dʑia4"			
"䂻"	"䂻"	"dʑia6"			
"鲶"	"鯰"	"ȵia2"			
"仰"	"仰"	"ȵia4"			
"酿"	"釀"	"ȵia6"			
"镊"	"鑷"	"ȵia8"			
"业"	"業"	"ȵia8"			
"捏"	"捏"	"ȵia8"			
"虐"	"虐"	"ȵia8"			
"疟"	"瘧"	"ȵia8"			
"孽"	"孽"	"ȵia8"			
"香"	"香"	"ɕia1"			
"乡"	"鄉"	"ɕia1"			
"享"	"享"	"ɕia3"			
"响"	"響"	"ɕia3"			
"晓"	"曉"	"ɕia3"			
"向"	"向"	"ɕia5"			
"饷"	"餉"	"ɕia5"			
"央"	"央"	"ʔia1"			
"秧"	"秧"	"ʔia1"			
"殃"	"殃"	"ʔia1"			
"养"	"養"	"ʔia3"			
"也"	"也"	"ʔia3"			
"约"	"約"	"ʔia7"			
"羊"	"羊"	"ja2"			
"洋"	"洋"	"ja2"			
"烊"	"烊"	"ja2"			
"扬"	"揚"	"ja2"			
"杨"	"楊"	"ja2"			
"疡"	"瘍"	"ja2"			
"痒"	"癢"	"ja4"			
"样"	"樣"	"ja6"			
"恰"	"恰"	"ja8"			
"协"	"協"	"ja8"			
"越"	"越"	"ja8"			
"药"	"藥"	"ja8"			
"钥"	"鑰"	"ja8"			
"跃"	"躍"	"ja8"			
"悦"	"悅"	"ja8"			
"阅"	"閱"	"ja8"			
"交"	"交"	"ka1"			
"郊"	"郊"	"ka1"			
"胶"	"膠"	"ka1"			
"更"	"更"	"ka1"			
"庚"	"庚"	"ka1"			
"耕"	"耕"	"ka1"			
"羹"	"羹"	"ka1"			
"粳"	"粳"	"ka1"			
"鳏"	"鰥"	"ka1"			
"绞"	"絞"	"ka3"			
"狡"	"狡"	"ka3"			
"铰"	"鉸"	"ka3"			
"较"	"較"	"ka3"			
