"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"岳"	"嶽"	"ŋo8"			
"乐"	"樂"	"ŋo8"			
"鹤"	"鶴"	"ŋo8"			
"鄂"	"鄂"	"ŋo8"			
"锷"	"鍔"	"ŋo8"			
"胯"	"胯"	"ŋo8"			
"鄂"	"鄂"	"ŋo8"			
"鳄"	"鱷"	"ŋo8"			
"愕"	"愕"	"ŋo8"			
"萼"	"萼"	"ŋo8"			
"暇"	"暇"	"ho1"			
"讹"	"訛"	"ho1"			
"虾"	"蝦"	"ho1"			
"霍"	"霍"	"ho7"			
"藿"	"藿"	"ho7"			
"吓"	"嚇"	"ho7"			
"河"	"河"	"ɦo2"			
"荷"	"荷"	"ɦo2"			
"乎"	"乎"	"ɦo2"			
"霞"	"霞"	"ɦo2"			
"琨"	"琨"	"ɦo2"			
"遐"	"遐"	"ɦo2"			
"何"	"何"	"ɦo2"			
"下"	"下"	"ɦo4"			
"贺"	"賀"	"ɦo6"			
"夏"	"夏"	"ɦo6"			
"厦"	"廈"	"ɦo6"			
"虾"	"蝦"	"ɦo6"			
"霞"	"霞"	"ɦo6"			
"瑕"	"瑕"	"ɦo6"			
"遐"	"遐"	"ɦo6"			
"学"	"學"	"ɦo8"			
"镬"	"鑊"	"ɦo8"			
"鸦"	"鴉"	"o1"			
"桠"	"椏"	"o1"			
"哑"	"啞"	"o3"			
"亚"	"亞"	"o5"			
"恶"	"惡"	"o7"			
"噜"	"嚕"	"lo1"			
"斑"	"斑"	"pᴇ1"			
"班"	"班"	"pᴇ1"			
"颁"	"頒"	"pᴇ1"			
"扳"	"扳"	"pᴇ1"			
"板"	"板"	"pᴇ3"			
"版"	"版"	"pᴇ3"			
"板"	"板"	"pᴇ3"			
"扮"	"扮"	"pᴇ5"			
"攀"	"攀"	"pʰᴇ1"			
"盼"	"盼"	"pʰᴇ5"			
"瓣"	"瓣"	"pʰᴇ5"			
"襻"	"襻"	"pʰᴇ5"			
"丬"	"爿"	"bᴇ2"			
"办"	"辦"	"bᴇ6"			
"蛮"	"蠻"	"mᴇ2"			
"晚"	"晚"	"mᴇ4"			
"挽"	"挽"	"mᴇ4"			
"慢"	"慢"	"mᴇ6"			
"漫"	"漫"	"mᴇ6"			
"幔"	"幔"	"mᴇ6"			
"万"	"萬"	"mᴇ6"			
"蔓"	"蔓"	"mᴇ6"			
"迈"	"邁"	"mᴇ6"			
"番"	"番"	"fᴇ1"			
"翻"	"翻"	"fᴇ1"			
"藩"	"藩"	"fᴇ1"			
"反"	"反"	"fᴇ3"			
"泛"	"泛"	"fᴇ5"			
"贩"	"販"	"fᴇ5"			
"凡"	"凡"	"vᴇ2"			
"帆"	"帆"	"vᴇ2"			
"顽"	"頑"	"vᴇ2"			
"还"	"還"	"vᴇ2"			
"环"	"環"	"vᴇ2"			
"患"	"患"	"vᴇ2"			
"宦"	"宦"	"vᴇ2"			
"烦"	"煩"	"vᴇ2"			
"矾"	"礬"	"vᴇ2"			
"繁"	"繁"	"vᴇ2"			
"犯"	"犯"	"vᴇ4"			
"范"	"範"	"vᴇ4"			
"晚"	"晚"	"vᴇ4"			
"饭"	"飯"	"vᴇ6"			
"换"	"換"	"vᴇ6"			
"耽"	"耽"	"tᴇ1"			
"担"	"擔"	"tᴇ1"			
"丹"	"丹"	"tᴇ1"			
"单"	"單"	"tᴇ1"			
"胆"	"膽"	"tᴇ3"			
"掸"	"撣"	"tᴇ3"			
"担"	"擔"	"tᴇ5"			
"旦"	"旦"	"tᴇ5"			
"诞"	"誕"	"tᴇ5"			
"坍"	"坍"	"tʰᴇ1"			
"滩"	"灘"	"tʰᴇ1"			
"摊"	"攤"	"tʰᴇ1"			
"拖"	"拖"	"tʰᴇ1"			
"坦"	"坦"	"tʰᴇ3"			
"毯"	"毯"	"tʰᴇ3"			
"炭"	"炭"	"tʰᴇ5"			
"叹"	"歎"	"tʰᴇ5"			
"潭"	"潭"	"dᴇ2"			
"谭"	"譚"	"dᴇ2"			
"燎"	"燎"	"dᴇ2"			
"谈"	"談"	"dᴇ2"			
"痰"	"痰"	"dᴇ2"			
"檀"	"檀"	"dᴇ2"			
"坛"	"壇"	"dᴇ2"			
"弹"	"彈"	"dᴇ2"			
"淡"	"淡"	"dᴇ4"			
"坦"	"坦"	"dᴇ6"			
"但"	"但"	"dᴇ6"			
"弹"	"彈"	"dᴇ6"			
"蛋"	"蛋"	"dᴇ6"			
"难"	"難"	"nᴇ2"			
"难"	"難"	"nᴇ6"			
"兰"	"蘭"	"lᴇ2"			
"蓝"	"藍"	"lᴇ2"			
"篮"	"籃"	"lᴇ2"			
"栏"	"欄"	"lᴇ2"			
"拦"	"攔"	"lᴇ2"			
"览"	"覽"	"lᴇ4"			
"揽"	"攬"	"lᴇ4"			
"榄"	"欖"	"lᴇ4"			
"懒"	"懶"	"lᴇ4"			
"滥"	"濫"	"lᴇ6"			
"烂"	"爛"	"lᴇ6"			
"缆"	"纜"	"lᴇ6"			
"三"	"三"	"sᴇ1"			
"杉"	"杉"	"sᴇ1"			
"衫"	"衫"	"sᴇ1"			
"山"	"山"	"sᴇ1"			
"删"	"刪"	"sᴇ1"			
"散"	"散"	"sᴇ3"			
"伞"	"傘"	"sᴇ3"			
"散"	"散"	"sᴇ5"			
"谗"	"讒"	"zᴇ2"			
"馋"	"饞"	"zᴇ2"			
"斩"	"斬"	"tɕĭɛ3"			
"盏"	"盞"	"tɕĭɛ3"			
"灒"	"灒"	"tɕĭɛ5"			
"溅"	"濺"	"tɕĭɛ5"			
"蘸"	"蘸"	"tɕĭɛ5"			
"赞"	"贊"	"tɕĭɛ5"			
"餐"	"餐"	"tɕʰĭɛ1"			
"搀"	"攙"	"tɕʰĭɛ1"			
"产"	"產"	"tɕʰĭɛ3"			
"铲"	"鏟"	"tɕʰĭɛ3"			
"灿"	"燦"	"tɕʰĭɛ5"			
"残"	"殘"	"dʑĭɛ2"			
"惭"	"慚"	"dʑĭɛ2"			
"赚"	"賺"	"dʑĭɛ3"			
"暂"	"暫"	"dʑĭɛ6"			
"站"	"站"	"dʑĭɛ6"			
"绽"	"綻"	"dʑĭɛ6"			
"栈"	"棧"	"dʑĭɛ6"			
"尴"	"尷"	"kᴇ1"			
"监"	"監"	"kᴇ1"			
"艰"	"艱"	"kᴇ1"			
"间"	"間"	"kᴇ1"			
"奸"	"奸"	"kᴇ1"			
"涧"	"澗"	"kᴇ1"			
"锏"	"鐧"	"kᴇ1"			
"减"	"減"	"kᴇ3"			
"搛"	"搛"	"kᴇ3"			
"简"	"簡"	"kᴇ3"			
"裥"	"襇"	"kᴇ3"			
"柬"	"柬"	"kᴇ3"			
"间"	"間"	"kᴇ3"			
"鉴"	"鑒"	"kᴇ5"			
"监"	"監"	"kᴇ5"			
"谏"	"諫"	"kᴇ5"			
"铅"	"鉛"	"kʰᴇ1"			
"舰"	"艦"	"kʰᴇ3"			
"嵌"	"嵌"	"kʰᴇ5"			
"衔"	"銜"	"gᴇ2"			
"关"	"關"	"kuᴇ1"			
"拐"	"拐"	"kuᴇ3"			
"惯"	"慣"	"kuᴇ5"			
"宽"	"寬"	"kʰuᴇ1"			
"弯"	"彎"	"ʔuᴇ1"			
"湾"	"灣"	"ʔuᴇ1"			
"皖"	"皖"	"ʔuᴇ3"			
"挽"	"挽"	"ʔuᴇ3"			
"幻"	"幻"	"ʔuᴇ3"			
"喊"	"喊"	"hᴇ3"			
"函"	"函"	"ɦᴇ2"			
"咸"	"鹹"	"ɦᴇ2"			
"闲"	"閑"	"ɦᴇ2"			
"嫌"	"嫌"	"ɦᴇ2"			
"限"	"限"	"ɦᴇ4"			
"陷"	"陷"	"ɦᴇ6"			
"馅"	"餡"	"ɦᴇ6"			
"晏"	"晏"	"ʔᴇ5"			
"摆"	"擺"	"pe3"			
"拜"	"拜"	"pe5"			
"百"	"百"	"pe7"			
"柏"	"柏"	"pe7"			
"伯"	"伯"	"pe7"			
"迫"	"迫"	"pe7"			
"檗"	"檗"	"pe7"			
"派"	"派"	"pʰe5"			
"泊"	"泊"	"pʰe7"			
"拍"	"拍"	"pʰe7"			
"魄"	"魄"	"pʰe7"			
"擘"	"擘"	"pʰe7"			
"帕"	"帕"	"pʰe7"			
"排"	"排"	"be2"			
"牌"	"牌"	"be2"			
"罢"	"罷"	"me4"			
"毗"	"毗"	"me4"			
"败"	"敗"	"me6"			
"白"	"白"	"me8"			
"帛"	"帛"	"me8"			
"买"	"買"	"me4"			
"卖"	"賣"	"me6"			
"骂"	"罵"	"me6"			
"麦"	"麥"	"me8"			
"埋"	"埋"	"me8"			
"脉"	"脈"	"me8"			
"陌"	"陌"	"me8"			
"豁"	"豁"	"fe7"			
"怀"	"懷"	"ve2"			
"淮"	"淮"	"ve2"			
"槐"	"槐"	"ve2"			
"坏"	"壞"	"ve6"			
"外"	"外"	"ve6"			
"划"	"劃"	"ve8"			
"获"	"獲"	"ve8"			
"带"	"帶"	"te5"			
"戴"	"戴"	"te5"			
"答"	"答"	"te7"			
"台"	"台"	"tʰe1"			
"胎"	"胎"	"tʰe1"			
"贪"	"貪"	"tʰe1"			
"态"	"態"	"tʰe5"			
"贷"	"貸"	"tʰe5"			
"太"	"太"	"tʰe5"			
"泰"	"泰"	"tʰe5"			
"探"	"探"	"tʰe5"			
"苔"	"苔"	"tʰe5"			
"台"	"台"	"de2"			
"苔"	"苔"	"de2"			
"抬"	"抬"	"de2"			
"待"	"待"	"de4"			
"簟"	"簟"	"de4"			
"大"	"大"	"de6"			
"代"	"代"	"de6"			
"袋"	"袋"	"de6"			
"汰"	"汰"	"de6"			
"怠"	"怠"	"de6"			
"南"	"南"	"ne2"			
"男"	"男"	"ne2"			
"乃"	"乃"	"ne4"			
"耐"	"耐"	"ne4"			
"奈"	"奈"	"ne6"			
"纳"	"納"	"ne8"			
"旦"	"旦"	"ne8"			
"来"	"來"	"le2"			
"赖"	"賴"	"le6"			
"癞"	"癩"	"le6"			
"鲤"	"鯉"	"le6"			
"肋"	"肋"	"le8"			
"勒"	"勒"	"le8"			
"洒"	"灑"	"se1"			
"驶"	"駛"	"se3"			
"晒"	"曬"	"se5"			
"赛"	"賽"	"se5"			
"瑟"	"瑟"	"se7"			
"木"	"木"	"ze2"			
"材"	"材"	"ze2"			
"财"	"財"	"ze2"			
"裁"	"裁"	"ze2"			
"豺"	"豺"	"ze2"			
"柴"	"柴"	"ze2"			
"截"	"截"	"ze2"			
"在"	"在"	"ze4"			
"寨"	"寨"	"ze6"			
"杂"	"雜"	"ze8"			
"贼"	"賊"	"ze8"			
"灾"	"災"	"tɕĭe1"			
"栽"	"栽"	"tɕĭe1"			
"斋"	"齋"	"tɕĭe1"			
"宰"	"宰"	"tɕĭe3"			
"再"	"再"	"tɕĭe5"			
"偾"	"僨"	"tɕĭe5"			
"载"	"載"	"tɕĭe5"			
"宰"	"宰"	"tɕĭe5"			
"测"	"測"	"tɕĭe7"			
"摘"	"摘"	"tɕĭe7"			
"责"	"責"	"tɕĭe7"			
"猜"	"猜"	"tɕʰĭe1"			
"钗"	"釵"	"tɕʰĭe1"			
"差"	"差"	"tɕʰĭe1"			
"采"	"采"	"tɕʰĭe3"			
"彩"	"彩"	"tɕʰĭe3"			
"菜"	"菜"	"tɕʰĭe5"			
"蔡"	"蔡"	"tɕʰĭe5"			
"册"	"冊"	"tɕʰĭe7"			
"策"	"策"	"tɕʰĭe7"			
"拆"	"拆"	"tɕʰĭe7"			
"测"	"測"	"tɕʰĭe7"			
"怿"	"懌"	"dʑĭe8"			
"择"	"擇"	"dʑĭe8"			
"宅"	"宅"	"dʑĭe8"			
"蹑"	"躡"	"ȵiᴇ8"			
"苶"	"苶"	"ȵiᴇ8"			
"该"	"該"	"ke1"			
"皆"	"皆"	"ke1"			
"阶"	"階"	"ke1"			
"街"	"街"	"ke1"			
"甘"	"甘"	"ke1"			
"柑"	"柑"	"ke1"			
"泔"	"泔"	"ke1"			
"根"	"根"	"ke1"			
"改"	"改"	"ke3"			
"解"	"解"	"ke3"			
"感"	"感"	"ke3"			
"敢"	"敢"	"ke3"			
"橄"	"橄"	"ke3"			
"几"	"幾"	"ke3"			
"概"	"概"	"ke5"			
"溉"	"溉"	"ke5"			
"盖"	"蓋"	"ke5"			
"介"	"介"	"ke5"			
"界"	"界"	"ke5"			
"芥"	"芥"	"ke5"			
"疥"	"疥"	"ke5"			
"疥"	"疥"	"ke5"			
"合"	"合"	"ke7"			
"蛤"	"蛤"	"ke7"			
"鹤"	"鶴"	"ke7"			
"格"	"格"	"ke7"			
"革"	"革"	"ke7"			
"届"	"屆"	"ke7"			
"隔"	"隔"	"ke7"			
"开"	"開"	"kʰe1"			
"揩"	"揩"	"kʰe1"			
"凯"	"凱"	"kʰe3"			
"慨"	"慨"	"kʰe3"			
"楷"	"楷"	"kʰe3"			
"坎"	"坎"	"kʰe3"			
"勘"	"勘"	"kʰe5"			
"客"	"客"	"kʰe7"			
"丐"	"丐"	"kʰe7"			
"徛"	"徛"	"ge4"			
"隑"	"隑"	"ge6"			
"呆"	"呆"	"ŋe2"			
"艾"	"艾"	"ŋe6"			
"碍"	"礙"	"ŋe6"			
"额"	"額"	"ŋe8"			
"怪"	"怪"	"kue5"			
"快"	"快"	"kʰue5"			
"歪"	"歪"	"ʔue1"			
"喂"	"喂"	"ʔue5"			
"蚶"	"蚶"	"he1"			
"酣"	"酣"	"he1"			
"龛"	"龕"	"he1"			
"海"	"海"	"he3"			
"蟹"	"蟹"	"he3"			
"郝"	"郝"	"he7"			
"孩"	"孩"	"ɦe2"			
"鞋"	"鞋"	"ɦe2"			
"谐"	"諧"	"ɦe2"			
"函"	"函"	"ɦe2"			
"亥"	"亥"	"ɦe4"			
"骇"	"駭"	"ɦe4"			
"解"	"解"	"ɦe4"			
"撼"	"撼"	"ɦe4"			
"害"	"害"	"ɦe6"			
"械"	"械"	"ɦe6"			
"撼"	"撼"	"ɦe6"			
"憾"	"憾"	"ɦe6"			
"合"	"合"	"ɦe8"			
"盒"	"盒"	"ɦe8"			
"核"	"核"	"ɦe8"			
"哀"	"哀"	"ʔe1"			
"埃"	"埃"	"ʔe1"			
"挨"	"挨"	"ʔe1"			
"恩"	"恩"	"ʔe1"			
"庵"	"庵"	"ʔe1"			
"矮"	"矮"	"ʔe3"			
"爱"	"愛"	"ʔe5"			
"揞"	"揞"	"ʔe5"			
"暗"	"暗"	"ʔe5"			
"轭"	"軛"	"ʔe7"			
"奶"	"奶"	"ne1"			
"鞭"	"鞭"	"piᴇ1"			
"边"	"邊"	"piᴇ1"			
"编"	"編"	"piᴇ1"			
"扁"	"扁"	"piᴇ3"			
"匾"	"匾"	"piᴇ3"			
"蝙"	"蝙"	"piᴇ3"			
"遍"	"遍"	"piᴇ5"			
"变"	"變"	"piᴇ5"			
"贬"	"貶"	"piᴇ7"			
"鳖"	"鱉"	"piᴇ7"			
"憋"	"憋"	"piᴇ7"			
"别"	"別"	"piᴇ7"			
"篇"	"篇"	"pʰiᴇ1"			
"编"	"編"	"pʰiᴇ1"			
"片"	"片"	"pʰiᴇ5"			
"骗"	"騙"	"pʰiᴇ5"			
"撇"	"撇"	"pʰiᴇ7"			
"辨"	"辨"	"biᴇ2"			
"辩"	"辯"	"biᴇ2"			
"辫"	"辮"	"biᴇ2"			
"汴"	"汴"	"biᴇ6"			
"便"	"便"	"biᴇ6"			
"别"	"別"	"biᴇ8"			
"眠"	"眠"	"miᴇ1"			
"绵"	"綿"	"miᴇ2"			
"棉"	"棉"	"miᴇ2"			
"眠"	"眠"	"miᴇ2"			
"免"	"免"	"miᴇ4"			
"勉"	"勉"	"miᴇ4"			
"娩"	"娩"	"miᴇ4"			
"面"	"面"	"miᴇ6"			
"渑"	"澠"	"miᴇ6"			
"缅"	"緬"	"miᴇ6"			
"灭"	"滅"	"miᴇ8"			
"蔑"	"蔑"	"miᴇ8"			
"颠"	"顛"	"tiᴇ1"			
"癫"	"癲"	"tiᴇ1"			
"典"	"典"	"tiᴇ3"			
"点"	"點"	"tiᴇ3"			
"掂"	"掂"	"tiᴇ3"			
"店"	"店"	"tiᴇ5"			
"跌"	"跌"	"tiᴇ7"			
"天"	"天"	"tʰiᴇ1"			
"添"	"添"	"tʰiᴇ1"			
"舔"	"舔"	"tʰiᴇ3"			
"掭"	"掭"	"tʰiᴇ5"			
"铁"	"鐵"	"tʰiᴇ7"			
"甜"	"甜"	"diᴇ2"			
"田"	"田"	"diᴇ2"			
"填"	"填"	"diᴇ2"			
"电"	"電"	"diᴇ6"			
"殿"	"殿"	"diᴇ6"			
"奠"	"奠"	"diᴇ6"			
"佃"	"佃"	"diᴇ6"			
"垫"	"墊"	"diᴇ6"			
"臀"	"臀"	"diᴇ6"			
"连"	"連"	"liᴇ2"			
"联"	"聯"	"liᴇ2"			
"怜"	"憐"	"liᴇ2"			
"莲"	"蓮"	"liᴇ2"			
"廉"	"廉"	"liᴇ2"			
"镰"	"鐮"	"liᴇ2"			
"帘"	"簾"	"liᴇ2"			
"殓"	"殮"	"liᴇ4"			
"敛"	"斂"	"liᴇ4"			
"脸"	"臉"	"liᴇ4"			
"炼"	"煉"	"liᴇ6"			
"楝"	"楝"	"liᴇ6"			
"列"	"列"	"liᴇ8"			
"烈"	"烈"	"liᴇ8"			
"裂"	"裂"	"liᴇ8"			
"例"	"例"	"liᴇ8"			
"仙"	"仙"	"siᴇ1"			
"先"	"先"	"siᴇ1"			
"鲜"	"鮮"	"siᴇ1"			
"陕"	"陝"	"siᴇ3"			
"癣"	"癬"	"siᴇ3"			
"线"	"線"	"siᴇ5"			
"扇"	"扇"	"siᴇ5"			
"煽"	"煽"	"siᴇ5"			
"设"	"設"	"siᴇ7"			
"薛"	"薛"	"siᴇ7"			
"些"	"些"	"siᴇ7"			
"蟾"	"蟾"	"ziᴇ2"			
"蝉"	"蟬"	"ziᴇ2"			
"禅"	"禪"	"ziᴇ2"			
"然"	"然"	"ziᴇ2"			
"燃"	"燃"	"ziᴇ2"			
"前"	"前"	"ziᴇ2"			
"善"	"善"	"ziᴇ4"			
"膳"	"膳"	"ziᴇ4"			
"渐"	"漸"	"ziᴇ6"			
"践"	"踐"	"ziᴇ6"			
"贱"	"賤"	"ziᴇ6"			
"饯"	"餞"	"ziᴇ6"			
"羡"	"羨"	"ziᴇ6"			
"单"	"單"	"ziᴇ6"			
"捷"	"捷"	"ziᴇ8"			
"涉"	"涉"	"ziᴇ8"			
"舌"	"舌"	"ziᴇ8"			
"折"	"折"	"ziᴇ8"			
"尖"	"尖"	"tɕiᴇ1"			
"沾"	"沾"	"tɕiᴇ1"			
"瞻"	"瞻"	"tɕiᴇ1"			
"占"	"占"	"tɕiᴇ1"			
"兼"	"兼"	"tɕiᴇ1"			
"煎"	"煎"	"tɕiᴇ1"			
"毡"	"氈"	"tɕiᴇ1"			
"笺"	"箋"	"tɕiᴇ1"			
"肩"	"肩"	"tɕiᴇ1"			
"坚"	"堅"	"tɕiᴇ1"			
"检"	"檢"	"tɕiᴇ3"			
"剪"	"剪"	"tɕiᴇ3"			
"展"	"展"	"tɕiᴇ3"			
"茧"	"繭"	"tɕiᴇ3"			
"笕"	"筧"	"tɕiᴇ3"			
"占"	"占"	"tɕiᴇ5"			
"剑"	"劍"	"tɕiᴇ5"			
"箭"	"箭"	"tɕiᴇ5"			
"战"	"戰"	"tɕiᴇ5"			
"颤"	"顫"	"tɕiᴇ5"			
"犍"	"犍"	"tɕiᴇ5"			
"建"	"建"	"tɕiᴇ5"			
"牮"	"牮"	"tɕiᴇ5"			
"荐"	"薦"	"tɕiᴇ5"			
"节"	"節"	"tɕiᴇ7"			
"结"	"結"	"tɕiᴇ7"			
"沽"	"沽"	"tɕiᴇ7"			
"䥛"	"䥛"	"tɕiᴇ7"			
"接"	"接"	"tɕiᴇ7"			
"折"	"折"	"tɕiᴇ7"			
"褶"	"褶"	"tɕiᴇ7"			
"劫"	"劫"	"tɕiᴇ7"			
"浙"	"浙"	"tɕiᴇ7"			
"歼"	"殲"	"tɕʰiᴇ1"			
"签"	"簽"	"tɕʰiᴇ1"			
"谦"	"謙"	"tɕʰiᴇ1"			
"迁"	"遷"	"tɕʰiᴇ1"			
"千"	"千"	"tɕʰiᴇ1"			
"牵"	"牽"	"tɕʰiᴇ1"			
"歉"	"歉"	"tɕʰiᴇ3"			
"浅"	"淺"	"tɕʰiᴇ3"			
"欠"	"欠"	"tɕʰiᴇ5"			
"歉"	"歉"	"tɕʰiᴇ5"			
"切"	"切"	"tɕʰiᴇ7"			
"挈"	"挈"	"tɕʰiᴇ7"			
"怯"	"怯"	"tɕʰiᴇ7"			
"揭"	"揭"	"tɕʰiᴇ7"			
"钳"	"鉗"	"dʑiᴇ2"			
"钱"	"錢"	"dʑiᴇ2"			
"干"	"幹"	"dʑiᴇ2"			
"虔"	"虔"	"dʑiᴇ2"			
"件"	"件"	"dʑiᴇ4"			
"俭"	"儉"	"dʑiᴇ4"			
"缠"	"纏"	"dʑiᴇ6"			
"键"	"鍵"	"dʑiᴇ6"			
"健"	"健"	"dʑiᴇ6"			
"腱"	"腱"	"dʑiᴇ6"			
"杰"	"傑"	"dʑiᴇ8"			
"掷"	"擲"	"dʑiᴇ8"			
"彻"	"徹"	"dʑiᴇ8"			
"辙"	"轍"	"dʑiᴇ8"			
"撤"	"撤"	"dʑiᴇ8"			
"盲"	"盲"	"ȵiᴇ2"			
"严"	"嚴"	"ȵiᴇ2"			
"年"	"年"	"ȵiᴇ2"			
"捻"	"撚"	"ȵiᴇ2"			
"俨"	"儼"	"ȵiᴇ4"			
"验"	"驗"	"ȵiᴇ6"			
"念"	"念"	"ȵiᴇ6"			
"谚"	"諺"	"ȵiᴇ6"			
"酽"	"釅"	"ȵiᴇ6"			
"热"	"熱"	"ȵiᴇ8"			
"聂"	"聶"	"ȵiᴇ8"			
"镊"	"鑷"	"ȵiᴇ8"			
"轩"	"軒"	"ɕiᴇ1"			
"膻"	"膻"	"ɕiᴇ1"			
"险"	"險"	"ɕiᴇ3"			
"显"	"顯"	"ɕiᴇ3"			
"献"	"獻"	"ɕiᴇ5"			
"宪"	"憲"	"ɕiᴇ5"			
"显"	"顯"	"ɕiᴇ5"			
"苋"	"莧"	"ɕiᴇ5"			
"歇"	"歇"	"ɕiᴇ7"			
"蝎"	"蠍"	"ɕiᴇ7"			
"胁"	"脅"	"ɕiᴇ7"			
"淹"	"淹"	"iᴇ1"			
"阉"	"閹"	"iᴇ1"			
"蒍"	"蒍"	"iᴇ1"			
"烟"	"煙"	"iᴇ1"			
"偃"	"偃"	"iᴇ1"			
"掩"	"掩"	"iᴇ3"			
"厣"	"厴"	"iᴇ3"			
"堰"	"堰"	"iᴇ3"			
"鼹"	"鼴"	"iᴇ5"			
"宴"	"宴"	"iᴇ5"			
"燕"	"燕"	"iᴇ5"			
"咽"	"咽"	"iᴇ5"			
"页"	"頁"	"iᴇ7"			
"噎"	"噎"	"iᴇ7"			
"炎"	"炎"	"je2"			
"盐"	"鹽"	"je2"			
"阎"	"閻"	"je2"			
"檐"	"簷"	"je2"			
"涎"	"涎"	"je2"			
"筵"	"筵"	"je2"			
"砚"	"硯"	"je2"			
"贤"	"賢"	"je2"			
"弦"	"弦"	"je2"			
"沿"	"沿"	"je2"			
"兖"	"兗"	"je2"			
"演"	"演"	"je4"			
"焰"	"焰"	"je4"			
"魇"	"魘"	"je4"			
"盐"	"鹽"	"je6"			
"艳"	"豔"	"je6"			
"叶"	"葉"	"je8"			
"粘"	"粘"	"ȵiᴇ1"			
"研"	"研"	"ȵiᴇ1"			
"宣"	"宣"	"syᴇ1"			
"喧"	"喧"	"syᴇ1"			
"选"	"選"	"syᴇ3"			
"雪"	"雪"	"syᴇ7"			
"说"	"說"	"syᴇ7"			
"全"	"全"	"zyᴇ4"			
"泉"	"泉"	"zyᴇ4"			
"船"	"船"	"zyᴇ4"			
"旋"	"旋"	"zyᴇ6"			
"旋"	"旋"	"zyᴇ6"			
"绝"	"絕"	"zyᴇ8"			
"专"	"專"	"tɕyᴇ1"			
"砖"	"磚"	"tɕyᴇ1"			
"捐"	"捐"	"tɕyᴇ1"			
"转"	"轉"	"tɕyᴇ3"			
"卷"	"卷"	"tɕyᴇ3"			
"卷"	"卷"	"tɕyᴇ3"			
"转"	"轉"	"tɕyᴇ5"			
"眷"	"眷"	"tɕyᴇ5"			
"绢"	"絹"	"tɕyᴇ5"			
"厥"	"厥"	"tɕyᴇ7"			
"悬"	"懸"	"tɕyᴇ7"			
"诀"	"訣"	"tɕyᴇ7"			
"川"	"川"	"tɕʰyᴇ1"			
"穿"	"穿"	"tɕʰyᴇ1"			
"圈"	"圈"	"tɕʰyᴇ1"			
"犬"	"犬"	"tɕʰyᴇ3"			
"劝"	"勸"	"tɕʰyᴇ5"			
"券"	"券"	"tɕʰyᴇ5"			
"出"	"出"	"tɕʰyᴇ7"			
"缺"	"缺"	"tɕʰyᴇ7"			
"传"	"傳"	"dʑyᴇ2"			
"椽"	"椽"	"dʑyᴇ2"			
"拳"	"拳"	"dʑyᴇ2"			
"权"	"權"	"dʑyᴇ2"			
"颧"	"顴"	"dʑyᴇ2"			
"传"	"傳"	"dʑyᴇ6"			
"倦"	"倦"	"dʑyᴇ6"			
"篆"	"篆"	"dʑyᴇ6"			
"元"	"元"	"ȵyᴇ2"			
"原"	"原"	"ȵyᴇ2"			
"源"	"源"	"ȵyᴇ2"			
"软"	"軟"	"ȵyᴇ4"			
"阮"	"阮"	"ȵyᴇ4"			
"愿"	"願"	"ȵyᴇ6"			
"月"	"月"	"ȵyᴇ8"			
"楦"	"楦"	"ɕyᴇ5"			
"血"	"血"	"ɕyᴇ7"			
"冤"	"冤"	"ʔyᴇ1"			
"渊"	"淵"	"ʔyᴇ1"			
"宛"	"宛"	"ʔyᴇ3"			
"怨"	"怨"	"ʔyᴇ5"			
"桓"	"桓"	"jyᴇ2"			
"丸"	"丸"	"jyᴇ2"			
"完"	"完"	"jyᴇ2"			
"园"	"園"	"jyᴇ2"			
"圆"	"圓"	"jyᴇ2"			
"员"	"員"	"jyᴇ2"			
"缘"	"緣"	"jyᴇ2"			
"袁"	"袁"	"jyᴇ2"			
"猿"	"猿"	"jyᴇ2"			
"辕"	"轅"	"jyᴇ2"			
"援"	"援"	"jyᴇ2"			
"玄"	"玄"	"jyᴇ2"			
"眩"	"眩"	"jyᴇ2"			
"远"	"遠"	"jyᴇ4"			
"缓"	"緩"	"jyᴇ4"			
"换"	"換"	"jyᴇ6"			
"媛"	"媛"	"jyᴇ6"			
"院"	"院"	"jyᴇ6"			
"悬"	"懸"	"jyᴇ6"			
"县"	"縣"	"jyᴇ6"			
"越"	"越"	"jyᴇ8"			
"粤"	"粵"	"jyᴇ8"			
"穴"	"穴"	"jyᴇ8"			
"核"	"核"	"jyᴇ8"			
"悦"	"悅"	"jyᴇ8"			
"阅"	"閱"	"jyᴇ8"			
"端"	"端"	"tø1"			
"敦"	"敦"	"tø1"			
"墩"	"墩"	"tø1"			
"短"	"短"	"tø3"			
"断"	"斷"	"tø5"			
"锻"	"鍛"	"tø5"			
"掇"	"掇"	"tø7"			
"吞"	"吞"	"tʰø1"			
"探"	"探"	"tʰø5"			
"脱"	"脫"	"tʰø7"			
"讬"	"讬"	"tʰø7"			
"托"	"托"	"tʰø7"			
"团"	"團"	"dø2"			
"糊"	"糊"	"dø2"			
"屯"	"屯"	"dø2"			
"豚"	"豚"	"dø2"			
"断"	"斷"	"dø4"			
"屯"	"屯"	"dø4"			
"囤"	"囤"	"dø4"			
"段"	"段"	"dø6"			
"缴"	"繳"	"dø6"			
"遁"	"遁"	"dø6"			
"夺"	"奪"	"dø8"			
"暖"	"暖"	"nø4"			
"嫩"	"嫩"	"nø6"			
