"聲母拼音"	"聲母IPA"	"韻母拼音"	"韻母IPA"	"拼音"	"IPA"	"聲調"	"單字"	"釋義"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𰛳"	"同「姿」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𢫴"	"手爪～人"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"粢"	"～盛"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"秶"	"同「粢」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𥸷"	"同「粢」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𪗉"	"同「粢」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𬹲"	"同「𪗉」；同「䆅」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"䆅"	"積禾也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𰨳"	"「䆅」之類推簡化字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"資"	"～財；～质；～格；用也"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"资"	"「資」之簡體字"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𣣬"	"同「資」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𪶻"	"同「資」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𢢾"	"同「資」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"𧷕"	"同「資」"
"z"	"d̥͡z̥"	"r"	"ɿ"	"z"	"d̥͡z̥ɿ"	"①"	"貲"	"～財，同「資」"
