"#tʂ"	"[1]朱珠硃{余~}株吱诛蛛邾铢洙茱诸猪潴之芝知蜘支枝肢卮禔栀祗脂榰 [3]只咫枳轵主拄{~拐}止沚祉趾芷址厎黹{~袜底}渚煮旨指嘴 [5]至贽挚鸷懥致(緻)轾㨖疐踬志(誌)痣帜注(註)疰蛀铸澍馵驻制(製)猘寘忮觯置著翥智炽饎熺晢"	"“黹”在《一百年前的苏州话》中记为[tʂʰʮ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#tʂʰ"	"[1]吹蚩媸嗤枢姝櫖樗摴痴笞瓻絺郗褫摛螭彨鸱 [3]齿耻杵哆侈恀褚楮鼠癙黹 [5]处啻翅"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#ʂ"	"[1]书舒纻诗施尸(屍)鸤蓍输妤尿 [3]水抒矢黍暑豕始伃妤 [5]试弑势世贳庶恕戍"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#ʐ"	"[2]儒濡襦茹洳如袽鴽时埘鲥漦匙箷 [4]氏乳竖庤痔峙畤恃廌豸{虫~} [6]痓示谥树侍誓逝筮澨噬嗜视(眎)眂孺"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#ʐ (原dʐ)"	"[2]储躇除滁篨踟驰池篪趍殊殳蜍厨蹰㡡橱迟墀坻蚳持竾 [4]柱箸羜伫(竚、佇)纻宁苎贮 [6]治(乿)穉稚住滞彘"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#ɑ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#tʂ"	"[1]揸{~一把}遮=楂=(樝=)柤=皻= [3]者=赭= [5]蔗=柘="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#tʂʰ"	"[1]扯 [3]扯"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#ʂ"	"[1]奢= [3]耍{~货店}舍=(捨=) [5]啥赦=舍=厍="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#ʐ"	"[2]惹{~动气}蛇= [6]社=射="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"#oŋ"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
