"#符号说明：-白=文/书*俗?待考"	
"ɕ"	"[1]需籲1盱須墟胥糈靴鬚[3]許詡栩醑[5]敘序絮婿緒勖"
"Ø"	"[1]淤2迂紆[2]於盂竽輿虞娛愚隅俞渝愉逾瑜榆揄餘臾魚2漁2予與1余于庾[3]宇語2窳齠圄雨2嶼羽噦禹[5]玉=芋籲2譽煜寓遇裕諭愈喻毓禦豫預鶩聿馭與2御"
	
"#a"	
"p"	"[1]巴爸扒1芭吧叭疤笆[3]把1靶[5]把2{刀~}耙1罷霸壩坝"
"pʰ"	"[1]趴葩[2]扒2杷爬耙2琶筢[3]爬?{~牯，專門用以配種的雄性牲畜}[5]怕帕"
"m"	"[1]媽1□{~咑，形容生氣時垂下眼皮或陰沉著臉}[2]麻[3]馬瑪碼螞1媽2{婆婆~~}[5]罵"
"t"	"[1]□{語助詞：形容動作遲緩，慢~慢~}[3]打[5]大1"
"tʰ"	"[1]它他她牠祂[2]堂*{~屋}"
"n"	"[2]拿1[3]哪[5]那"
"l"	"[1]拉垃啦[2]□{吹牛：死擺活~}□{叉開雙腿走路：~咑~咑的}[3]惹-□{撇開雙腿：腿~開來}□{做事拖泥帶水或不修邊幅：~虎，~化}喇"
"ts"	"[1]查1挓奓渣摣喳1拃苲[2]眨*2[3]詐-1渣-{搗碎的蟹、蝦等物}[5]炸榨乍痄詐=2"
"tsʰ"	"[1]叉1杈1差2{~不多}喳2碴2[2]茬茶查2碴2楂搽□{皮膚被鋒銳物體碰擊}[3]叉2鑔□{用嘴收取撤落的食物}[5]汊杈2岔衩詫□{跨越}□{用鐵鍬斬物}"
"s"	"[1]颯沙1砂紗痧鯊撒1{某些物體下垂或下漏}[2]斜*[3]灑撒2傻[5]沙廈1歃散*1□{蠶屎：蠶~}"
"k"	"[1]家嘎[2]尕[5]尬架-嫁-傢-{~俬}"
"kʰ"	"[1]拤[2]□{~強：霸道欺人}[3]咯卡□{把器皿口朝下放置}□{~強}[5]□{把東西拿在手裏}"
"ŋ"	"[1]丫椏挜鴉-{老~}[2]伢-牙□{半掩著門}[3]啞[5]砑"
"x"	"[1]哈[2]蛤1{~蟆}□{財大氣粗的樣子}[3]□{大~：裝著慨闊的樣子}[5]下-蝦-"
"Ø"	"[1]啊1[2]啊2"
	
"#ia"	
"t"	"[1]爹{父親}[3]嗲"
"tɕ"	"[1]家=佳加嘉傢={~伙}[3]假[5]嫁=駕架=價借-"
"tɕʰ"	"[1]笡□{言行不莊重：鴉~、鴉裏不鴉~}□{小睡}[2]斜□{蠻橫：這個人真～；~橫拐豎}瘸-邪-茄{番~}"
"ɕ"	"[1]蝦=[2]伢{小伢合音}霞遐瑕暇□{~不重：看不中，看不起}[3]些-[5]下=夏廈2卸="
"Ø"	"[1]耶-椰-丫=鴉=□{言行不莊重或缺乏分寸：～噓，~tɕia⁵²：~死}[2]牙=芽蚜玡衙涯[3]雅□{近乎癡呆：~子，不癡又不～}[5]亞婭訝迓"
	
"#ua"	
"ts"	"[1]抓[2]□{棟雀，又叫“灰喜鵲”，俗稱“山~~”}[3]爪1"
"s"	"[3]耍[5]□{~淨，即乾淨}□{澱粉勾芡的菜肴變得不粘稠：羹~掉了}"
"k"	"[1]瓜掛1{耷拉下來：～下來}[2]□{像聲詞，常擬鴨叫}[3]□{扯閑叫“拉~”}寡剮[5]掛2褂卦"
"kʰ"	"[1]誇夸[2]劃*{用刀子等利器在某些物體上刮的動作：~山芋}[3]垮侉胯-{大～骨，即胯骨}[5]挎跨胯"
"x"	"[1]花划*嘩1化1[2]划{~船}華1嘩1驊[3]□{揮霍，亂花錢}譁[5]話畫化2華2樺劃{計~}"
"Ø"	"[1]蛙=哇□{用指甲搔}[2]娃[3]瓦1佤□{用器皿取物}[5]窪瓦2{~匠、~工、~刀}"
	
"#ɤɯ"	
"f"	"[3]否{又}缶{又}"
"t"	"[1]兜篼[3]斗抖陡蚪[5]對*鬥豆逗痘竇"
"tʰ"	"[1]偷[2]頭投骰=[5]透"
"l"	"[1]摟-[2]婁樓僂嘍螻耬髏柔揉糅蹂[3]摟=簍[5]陋漏瘺鏤露1{~出來}肉="
"ts"	"[1]州舟周洲謅[2]□{擰}[3]肘帚走[5]宙咒胄晝紂皺縐驟鄒奏揍"
"tsʰ"	"[1]抽[2]仇1惆酬籌愁稠綢疇躊□{搓揉：~面，~衣裳}[3]醜瞅丑[5]臭湊腠"
"s"	"[1]搜嗖艘餿颼收[3]擻叟藪溲守手狩[5]嗽獸壽受綬瘦售授"
"k"	"[1]勾1溝鉤篝構1[2]□{雙方債務相互抵銷或比賽出現平局：“直~”}[3]苟狗枸5構2購垢勾2夠詬媾個1{量詞}"
"kʰ"	"[1]摳瞘扣1[3]口[5]扣2叩寇蔻"
"ŋ"	"[1]區1謳甌鷗歐毆[2]牛-[3]藕偶嘔□{帶有暗火的物體釀成明火的過程：草堆裏的火~著了}[5]漚慪"
"x"	"[1]齁□{~摸，即“制載”或“打擊”之意}[2]侯瘊喉猴骰*□{怒睜圓眼：~眼}[3]吼[5]逅後厚候后"
"Ø"	
	
"#iu"	
"t"	"[1]丟"
"n"	"[1]扭{擰，摘取：~瓜}[2]牛[3]忸扭鈕紐[5]拗3謬"
"l"	"[1]溜1溜[2]劉瀏流1琉硫留瘤榴鎦[3]柳綹[5]溜2遛餾流2"
"tɕ"	"[1]鳩閹鬏揪啾赳糾□{撅著嘴}[3]酒韭九酒久玖灸[5]究就廄救舊臼舅疚柩咎□{皺，收縮}"
"tɕʰ"	"[1]秋鰍丘蚯㞗邱鞦[2]酋遒求球逑囚泅仇2虯全-□{皺}[3]□{折騰、打擊、胡搞、搏鬥：瞎~；~架；~他一下}"
"ɕ"	"[1]羞饈休咻修[2]□{吮吸}[3]朽[5]袖岫秀鏽繡嗅"
"Ø"	"[1]憂優幽攸悠□{摔打、擺動：~他一個巴掌；小狗尾巴直~直~的}[2]遊猷尤魷猶由油蚰郵[3]有莠友酉[5]又右佑宥囿侑柚釉幼誘鼬"
	
"#ɔ"	
"p"	"[1]包苞胞[3]保寶飽堡葆鴇煲褒褓[5]報抱刨1暴爆鮑豹"
"pʰ"	"[1]拋泡1脬[2]刨2袍庖[3]跑[5]泡2皰炮奅"
"m"	"[1]冒-□{“～腔”：對鹽城、建湖等地語音的稱呼；“~子”：持這種口音的人}[2]毛矛茅錨貓髦犛氂髦[3]卯鉚茆□{~掉了：失去機會}□{豬肉~子：穿掛豬肉的單股草繩子}[5]冒=帽貌瑁袤"
"t"	"[1]刀叨鱽□{用手迅速地撈一下}[3]倒1島搗禱[5]倒2道悼稻盜導蹈捯到"
"tʰ"	"[1]掏滔絛韜□{用拳頭擊：～拳頭}[2]逃陶萄淘咷濤[3]討[5]套"
"n"	"[1]孬[2]撓蟯饒1[3]惱腦瑙[5]鬧"
"l"	"[1]撈=[2]勞牢癆嘮撈-澇嬈饒2[3]老佬姥繞1擾[5]繞2□{沖洗物體配以用手攪拌的動作：把衣服放在水裏~~}衝"
"ts"	"[1]糟遭朝1釗招召詔昭[3]棗早澡沼藻找爪2[5]蚤灶燥噪躁皂唕肇趙棹罩兆照竈"
"tsʰ"	"[1]操抄吵1鈔超剿繅[2]曹槽朝2潮嘲晁巢嘈[3]草炒吵2[5]糙耖造"
"s"	"[1]臊搔騷瘙燒梢稍艄[2]紹韶[3]嫂掃1少1[5]掃2{把棍子伸到洞裏~~}少2哨□{快}"
"k"	"[1]高膏篙羔糕皋睾茭教-告1交-[3]搞稿縞攪-[5]告2誥郜覺1跤-{摜~：神跤}酵-窖較-□{量詞，形容事物的次數或遍數}"
"kʰ"	"[1]敲-[3]考烤烤拷1[5]拷2靠犒"
