"#符号说明：-白=文/书*俗?待考"	
"x"	"[1]夯吭[2]杭航行1絎珩[3]□{推呀～的：用車子推，用手拉，表示用各種方式搞般運}[5]巷沆項-{~圈}"
	
"#iɑŋ"	
"n"	"[2]娘[3]仰-"
"l"	"[2]梁粱涼1良糧量1[3]兩{量詞}倆魎[5]釀涼2諒晾亮踉量2"
"tɕ"	"[1]艱間=奸將1漿江僵疆韁薑姜[3]謇蹇簡減趼蔣槳獎講柬[5]監鑒艦醬將2匠降1強諫澗"
"tɕʰ"	"[1]羌蜣腔鏘槍戧1嗆戕熗[2]庠詳祥翔牆薔檣嬙強1[3]搶繈強2[5]蹌戧2像-□{麵團子等物太幹太硬}"
"ɕ"	"[1]襄鑲相1湘廂緗箱香鄉[2]閑癇嫻鹹=銜=降2[3]享想響餉饗[5]餡陷限項=相向嚮象橡像="
"Ø"	"[1]央泱鞅殃秧鴦[2]羊洋佯徉陽瘍煬楊揚[3]癢養氧仰=[5]漾恙樣怏"
	
"#uɑŋ"	
"ts"	"[1]妝裝莊樁[3]奘[5]撞幢壯狀"
"tsʰ"	"[1]窗瘡[2]童撞床[3]闖[5]創2愴□{散步、隨便走走}"
"s"	"[1]霜雙1孀[2]□{物體下垂：把瓶口倒過來，把水~乾淨}[3]爽[5]雙2{~子：雙胞胎}"
"k"	"[1]光胱桄1[3]廣獷[5]逛□{用剃刀刮臉、鬍子}"
"kʰ"	"[1]匡誆筐劻眶框1[2]狂誑[3]夼[5]桄2壙礦曠鄺框2況貺"
"x"	"[1]肓荒慌[2]黃潢璜磺蟥簧惶煌遑徨凰皇[3]謊恍幌□{物體因過高或過長而顯得不穩重}[5]晃"
"Ø"	"[1]汪[2]亡王1[3]往1枉罔惘魍網[5]往2忘妄望旺王2□{～蛋：散了黃子的禽蛋}"
	
"#ɔŋ"	
"p"	"[1]崩嘣繃1[2]甭[3]繃2[5]蚌=迸蹦"
"pʰ"	"[1]烹怦砰澎1蚌-[2]彭澎2蟛膨蓬篷朋棚鵬[3]捧[5]碰"
"m"	"[1]懵[2]檬蠓萌盟=矇朦濛蒙[3]虻蠓蜢錳猛蒙[5]夢孟"
"f"	"[1]豐風封烽蜂峰鋒瘋楓[2]馮逢縫1[3]諷[5]奉俸縫2鳳"
"t"	"[1]東冬咚鼕[3]董懂[5]動凍棟洞恫1侗"
"tʰ"	"[1]恫2通[2]童潼曈瞳同茼桐銅仝彤酮[3]統筒桶□{挪動、搬遷、移位置}[5]捅慟痛"
"n"	"[2]農濃儂噥膿□{窮對付：~日子}[5]弄=□{呈腐爛狀的物體}"
"l"	"[2]龍瓏聾昽籠1隆戎絨茸[3]壟攏籠2隴冗[5]礱弄"
"ts"	"[1]中忠衷鐘終宗綜棕鬃蹤盅淙鍾[3]種1腫踵塚總傯[5]種2中2仲眾重1粽縱衆"
"tsʰ"	"[1]充沖1忡春憧囪聰匆蔥[2]蟲崇重2從叢[3]寵[5]銃沖2誦-"
"s"	"[1]松淞忪嵩鬆[2]□{精液的俗稱；人無能}[3]竦悚掇慫聳[5]宋訟頌送誦="
"k"	"[1]工攻功紅1龔恭公蚣肱觥弓躬宮[2]□{物體數量少或體積小：一~~、~~大}[3]鞏汞拱[5]貢共供□{鑽或冒}"
"kʰ"	"[1]空1悾[3]恐倥孔[5]空2控"
"x"	"[1]烘鬨1薨轟訇[2]鴻黌虹紅2洪宏弘泓[3]哄[5]鬨2訌橫"
"Ø"	"[1]翁嗡[5]甕齆□{行為粗魯}"
	
"#iɔŋ"	
"tɕ"	"[1]扃垌[3]窘炯迥"
"tɕʰ"	"[1]傾-[2]瓊蛩跫邛穹窮煢"
"ɕ"	"[1]兄凶洶胸兇[2]雄熊[5]诇"
"Ø"	"[1]庸慵雍壅饔臃癰傭1邕[2]喁容溶熔蓉榕榮蠑嶸融[3]永泳詠甬湧恿蛹踴俑勇擁冗*[5]用"
	
"#ən"	
"p"	"[1]奔1錛賁[3]本苯[5]奔2笨畚=坌"
"pʰ"	"[1]噴1{～水}[2]盆"
"m"	"[1]燜悶-[2]明*們捫鍆[3]母2{丈~娘}[5]懣悶="
"f"	"[1]分1芬吩紛[2]墳焚汾棼[3]粉[5]畚-糞憤忿奮僨份氛分2"
"t"	"[1]燈登蹬瞪敦墩噸蹲澄1[3]等戥躉盹[5]凳鄧燉頓囤鈍盾遁飩"
"tʰ"	"[1]熥吞暾□{掏}□{用熱氣溫暖：~死了，用熱毛巾~一下}[2]謄滕藤騰疼屯豚臀[3]氽□{在爛泥裏踩}[5]褪2□{~子：喉嚨；嗓音}"
"n"	"[2]能[5]恁嫩"
"l"	"[1]扔愣-1[2]棱1楞侖淪論1掄輪圇倫綸2人任1仁壬仍崙[3]冷論荏稔忍紉[5]愣=2論2認刃韌仞任2飪妊閏潤"
"ts"	"[1]蓁榛臻斟砧甄真貞禎偵箴針珍胗怔症1鉦征正1蒸猙錚掙1箏崢睜爭幀肫尊遵樽贈曾1憎增罾診1{門~}徵[3]縝疹診2軫整拯枕1怎=[5]鴆辰振賑鎮圳朕陣正2症2鄭證政諍掙2甑枕2"
"tsʰ"	"[1]參2琛嗔抻撐瞠稱1蟶村[2]岑涔曾2層沉忱諶辰宸晨橙臣塵陳成逞晟1存承澄2誠城盛1呈程乘1丞[3]磣騁懲[5]剩蹭櫬襯讖趁齔稱2秤寸"
"s"	"[1]森僧莘1深娠申砷呻伸紳身參3聲生甥牲升飧孫蓀猻[2]蹲神繩[3]沈嬸哂諗省1眚吮損筍隼榫[5]慎甚蜃腎滲晟2盛2勝聖"
"k"	"[1]根跟庚賡羹耕更1粳今-[3]艮2耿埂梗哽鯁綆哏[5]亙莨2更2"
"kʰ"	"[1]坑吭鏗傾*{低頭}[3]肯啃懇墾[5]裉撳□{垢}"
"ŋ"	"[1]恩[5]摁硬"
"x"	"[1]亨哼[2]痕恒姮衡蘅[3]很狠[5]恨"
	
"#in"	
"p"	"[1]瀕賓濱檳儐繽斌彬鬢殯臏冰兵[3]稟餅屏1丙炳秉摒1[5]擯柄病並"
"pʰ"	"[1]拼姘娉乒[2]嬪頻顰貧瓶屏2平蘋坪評萍憑[3]品[5]聘牝噴1{～香}"
"m"	"[2]盟-民緡明名鳴銘茗[3]母3閔憫閩皿黽敏泯抿酩溟冥瞑[5]命"
"t"	"[1]丁疔酊1叮盯釘仃[3]酊頂鼎[5]定啶錠腚訂釘澱"
"tʰ"	"[1]汀廳聽1烴[2]桯-亭停婷婷廷庭霆蜓[3]梃1挺鋌艇[5]梃2聽2"
"l"	"[1]拎[2]寧聹檸獰擰麟遴磷嶙鄰臨霖淋林粼鱗淩菱棱2輪{~流}陵綾羚零〇玲苓聆瓴齡囹蛉鈴伶瓴靈欞[3]凜廩檁領嶺[5]佞吝藺躪賃另令甯"
"tɕ"	"[1]侵津禁1襟巾今衿金筋斤京驚鯨旌經兢精晶涇莖[3]堇謹瑾饉阱僅緊錦巹井警儆景憬頸儘盡1{~喫：夠吃}[5]進晉禁2噤近勁浸盡2燼競竟境鏡淨靜靖敬痙徑勁睛"
"tɕʰ"	"[1]親1衾欽青清蜻卿輕氫傾=[2]尋-秦勤芹禽擒琴情晴擎[3]請寢檾頃=怎-{~安：怎么}[5]沁唚撳親2慶罄"
"ɕ"	"[1]心芯1馨鑫辛鋅新欣歆囟興1猩星惺腥薪[2]桁刑形邢型行2[3]醒擤省2[5]芯2信釁興2幸悻杏性姓□{震動：雷聲~人}"
"Ø"	"[1]音喑因茵洇姻殷2陰蔭應1膺鷹英鶯罌嬰櫻攖嚶鸚纓[2]凝淫寅夤狺吟垠銀贏瑩塋熒營縈盈楹迎[3]飲尹引蚓隱癮影穎[5]印胤應2映"
	
"#uən"	
"ts"	"[1]諄[3]准準"
"tsʰ"	"[1]春椿蝽[3]蠢"
"s"	"[2]淳醇鶉純[5]舜瞬順"
"k"	"[3]袞滾滾緄鯀輥[5]棍"
"kʰ"	"[1]坤昆堃鯤崑[3]捆悃[5]困睏"
"x"	"[1]葷昏婚[2]渾魂餛[5]混諢"
"Ø"	"[1]溫瘟[2]文雯蚊紋聞[3]穩刎吻[5]問紊往*{~那裏去}"
	
"#yn"	
"tɕ"	"[1]軍皸均鈞菌君[5]浚竣峻俊駿捃郡"
"tɕʰ"	"[2]唇麂群裙"
"ɕ"	"[1]勳熏醺勛[2]尋=循旬洵詢荀峋殉徇巡[5]蕈訓訊汛遜巽馴"
"Ø"	"[1]暈[2]雲耘芸紜勻筠昀[3]殞隕允[5]泳-詠-運醞慍蘊韻孕熨惲"
	
"#æʔ"	
"p"	"[7]八捌拔跋魃"
"m"	"[7]抹2螞2{~蚱}"
"f"	"[7]發罰伐閥垡筏法砝髮"
"t"	"[7]褡搭答嗒達笪韃遝1"
"tʰ"	"[7]溻遢塌踏塔獺撻榻遝2"
"n"	"[7]捺衲鈉納"
"l"	"[7]邋蠟臘辣瘌□{意近“濫”、“猛”}□{喻下垂或滑塌之勢}□{~慌：撒謊}"
"ts"	"[7]紮匝咂砸雜閘鍘劄軋1炸2"
"tsʰ"	"[7]擦察嚓餷{～粥}插"
"s"	"[7]撒2靸薩卅殺刹煞霎楔{木頭～子}揳{~一個木頭楔子}"
"k"	"[7]夾莢軋2"
"kʰ"	"[7]掐"
"ŋ"	"[7]壓押鴨"
"x"	"[7]匣瞎轄狹"
	
"#uæʔ"	
"ts"	"[7]□{用掃帚掃除灰塵和其他雜物的動作}"
"s"	"[7]刷"
"k"	"[7]括刮颳"
"x"	"[7]滑猾"
"Ø"	"[7]挖襪□{“～缺”：心術不正，愛要猾頭}"
	
"#ɑk"	
"p"	"[7]剝雹薄博礴搏膊泊1箔舶駁柏白{鲹~條子}柏{~油}"
"pʰ"	"[7]粕珀樸1泊2魄□{用雙手接住他人拋來的東西}□{咂：~嘴；~一口香煙}□{象聲詞，~托}拍1{~子}迫*"
"m"	"[7]摸膜莫漠寞瘼幕陌"
"f"	"[7]縛"
"t"	"[7]汰耷度1踱鐸單沰"
"tʰ"	"[7]托庹拓柝"
"n"	"[7]諾喏搦"
"l"	"[7]落洛烙酪絡樂1葷駱路若籍弱□{~子：籃子}雒"
"ts"	"[7]著作酌斫鑿著"
"tsʰ"	"[7]綽焯□{收攏成片雜物：~沫子}"
"s"	"[7]索碩爍勺芍灼□{抖動：把他~倒下地}"
"k"	"[7]擱閣各角莢覺-1{~著}"
"kʰ"	"[7]殼□{~雞蛋}□{~定~：指某些物體的體積、數量或重量等條件恰好適應某種特定的要求}"
"ŋ"	"[7]惡1噩愕齶鄂鱷"
"x"	"[7]頜貉鶴郝學-壑涸□{拿近、貼近}"
	
"#iɑk"	
"n"	"[7]瘧虐"
"l"	"[7]掠略"
"tɕ"	"[7]嚼爵腳覺2玨甲鉀頰墼"
"tɕʰ"	"[7]卻鵲椎雀確洽恰怯□{物體因重力打擊變形或鼓出}"
"ɕ"	"[7]峽=俠=狹=匣=削學=挾□{偏離：那場大雨朝西頭~掉了}"
"Ø"	"[7]約藥鑰嶽樂2躍"
	
"#uɑk"	
"ts"	"[7]捉桌卓琢濁鐲□{將成捆的棒狀物體在平面物體上撞擊使之整齊：把筷子~整齊}擢"
"tsʰ"	"[7]戳"
"s"	"[7]嗍塑2朔溯2"
"k"	"[7]郭□{被波浪衝擊}"
"kʰ"	"[7]廓擴"
"x"	"[7]攉霍藿"
"Ø"	"[7]沃*握幄□{水~子：低窪的小水坑}□{嘔吐}□{掀~tɕin²¹¹：打耳光}□{支撐起來的棚布等中間下垂的現象}"
	
"#ɔk"	
"p"	"[7]掰白百柏佰北擘帛伯"
"pʰ"	"[7]拍迫粕魄撲僕噗蹼"
"m"	"[7]麥脈驀墨默木沐目苜睦牧穆"
"f"	"[7]福輻幅蝠匐伏茯服複覆蝮馥腹袱復複"
"t"	"[7]督毒瀆櫝黷犢牘獨篤讀□{去掉：~樹枝，把紙~下來}□{kuəʔ5~：象聲詞，表示敲擊聲或倒塌聲}□{煮}"
"tʰ"	"[7]禿□{回落；高度降低，數量減少，甚至職位下降：~下來}"
"l"	"[7]六陸碌鹿漉麓轆戮錄祿逐綠肉-辱褥蓐縟"
"ts"	"[7]粥軸燭逐竺築竹囑矚祝足妯瘃筑"
"tsʰ"	"[7]族畜1搐怵魔觸蹴猝簇蹙促蛐"
"s"	"[7]熟叔淑菽倏孰塾贖蜀屬束縮俗宿1速粟夙肅續"
"k"	"[7]國虢蟈穀幗□{戳，插：把竹竿子朝地上一~}谷"
"kʰ"	"[7]哭酷"
"x"	"[7]摑獲或惑蠖斛穫"
"Ø"	"[7]屋喔齷沃"
	
"#iɔk"	
"tɕ"	"[7]鞠掬菊局鋦□{抓牢}"
"tɕʰ"	"[7]曲麴"
"ɕ"	"[7]旭酗蓄宿2畜2"
"Ø"	"[7]育玉1鬱獄浴欲郁抈*{弄彎或板直：~樹條子}"
	
"#ʊʔ"	
"p"	"[7]餑撥缽脖勃渤"
"pʰ"	"[7]潑"
"m"	"[7]末沫茉秣□{抄寫}□{鋸子鋸東西}"
"t"	"[7]奪咄□{移動或挪動}"
"tʰ"	"[7]脫"
"l"	"[7]劣*擄□{~tʊʔ5：謂人悉拙、死板、不靈活}"
"ts"	"[7]嘬撮1茁拙{凍瘡叫“凍~子”}"
"tsʰ"	"[7]撮2絀"
"s"	"[7]說𢶍"
"k"	"[7]割鴿葛蛤2合1□{腳~子：蹄子}盒{紙~子}閤"
"kʰ"	"[7]磕瞌渴溘闊"
"x"	"[7]豁1直闔翮曷合2盒褐喝活□{抖動：把衣服拾起來~~，把灰~掉}搕{~𢶍：細小的垃圾}"
"Ø"	"[7]遏□{~sʊʔ5：細碎的垃圾}"
	
"#əʔ"	
"p"	"[7]不鈈□{製作麵食時用以防止生面製品粘連的幹麵粉}蔔"
"pʰ"	"[7]抔□{用手聚攏或刮去細碎雜物}"
"m"	"[7]沒2歿"
"f"	"[7]佛弗拂沸"
"t"	"[7]得德得□{~腳：用腳使勁擊地，發出響聲}□{雞喫食}特{~為}"
"tʰ"	"[7]特忑忒突□{下陷，下沉}"
"n"	"[7]□{用手緊握}"
"l"	"[7]日入勒泐仂肋"
"ts"	"[7]賊塞{瓶~子}滓責嘖則澤擇仄摘宅翟窄謫只織職值直植殖執侄幟秩識*質窒擲汁熾炙這=蟄{驚~}祇"
"tsʰ"	"[7]測側側策冊拆尺赤吒飭斥笞□{~~：}"
"s"	"[7]塞澀瑟嗇色濕失虱實識十什石拾食蝕室式釋筮噬適飾弑□{摔打或抽打出打：拿樹條子~他一頓}"
"k"	"[7]疙格胳革隔膈隔骼虼軛□{單腳著地向前蹦跳}"
"kʰ"	"[7]客克刻恪咳2□{~ti³³⁴頭子：膝蓋}可{~汗}剋"
"x"	"[7]額厄扼核"
"Ø"	"[7]閡核劾赫嚇黑龁"
	
"#uəʔ"	
"ts"	"[7]术"
"tsʰ"	"[7]出齣"
"s"	"[7]術述沭率2蟀"
"k"	"[7]骨"
"kʰ"	"[7]窟磕{~頭}"
"x"	"[7]忽惚𣝗□{木頭、木器腐朽}"
"Ø"	"[7]兀杌勿物□{被水淹}扤□{肢體受扭或受崴}"
	
"#iɪʔ"	
"p"	"[7]逼鼻筆匕潷必秕碧畢璧壁弼癟憋鱉蹩別彆辟{復~}"
"pʰ"	"[7]辟霹劈匹癖僻撇瞥闢"
"m"	"[7]必蜜密謐冪汨覓滅蔑篾衊"
"t"	"[7]滴嘀滌鏑嫡敵覿迪笛的狄糴跌諜碟蝶牃垤耋迭疊□{拔：~雞毛}喋蹀"
"tʰ"	"[7]剔踢惕帖貼鐵"
"n"	"[7]逆匿溺睨昵捏聶囁躡鑷孽=涅齧臬怩嚙囓"
"l"	"[7]律劣立粒笠栗礫力曆瀝咧2列烈獵冽裂獵熱率1歷"
"tɕ"	"[7]劇給激跡績積擊唧汲圾緝疾嫉瘠脊級吉詰佶髻藉籍棘楫輯1戢集及極岌笈急戟即亟寂結節癤接揭潔拮劫截捷睫婕竭碣偈傑桀孢孑折1哲褶浙蜇轍輒簀桔這-吃{~子：口吃的人}"
"tɕʰ"	"[7]徹澈撤沏輯2泣迄訖切妾挈竊"
"ɕ"	"[7]色-{顏~}設血-涉攝折2舌懾昔惜析淅晰錫吸悉翕歙息媳夕汐席檄揭{~鍋蓋}螅熄習隙鬩燮楔=蠍歇擷協脅勰叶"
"Ø"	"[7]一壹揖乙瘞亦奕益溢縊懿弋抑易2邑悒挹刈軼屹逸憶譯驛翼噎咽3掖液腋謁業頁葉曳燁孽-{作~}"
	
"#yɪʔ"	
"tɕ"	"[7]撅厥蕨蹶獗矍攫譎訣決抉掘崛倔孓絕橘"
"tɕʰ"	"[7]詘屈闕缺撅?闋黢"
"ɕ"	"[7]薛穴踅噱雪戲謔血=泄屑戍熏*{臭氣或其他有氣味的氣體嗆人：臭氣~人}"
"Ø"	"[7]役疫日悅閱越粵月域蜮"
	
"#iəʔ"	
"tɕʰ"	"[7]喫七柒乞漆戚嘁"
	
"#m̩"	
"Ø"	"[3]姆-{~媽}"
	
"#ŋ̍"	
"Ø"	"[3]我-"
	
"#n̩"	
"Ø"	"[1]嗯"
