"繁"	"簡"	"IPA"	"IPA無調"	"拼音"	"調值"	"解釋"
"資"	"资"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"姿"	"姿"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"諮"	"谘"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"咨"	"咨"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"祗"	"祗"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"~候，書面語"
"髭"	"髭"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"茲"	"兹"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"玆"	"玆"	"ʑᶶm̩¹¹³"	"ʑᶶm̩"	"zhium2"	113	
"玆"	"兹"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"滋"	"滋"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"孳"	"孳"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"淄"	"淄"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"緇"	"缁"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"錙"	"锱"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"輜"	"辎"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"鯔"	"鲻"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"~魚"
"齜"	"龇"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"露，~牙齒"
"孜"	"孜"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"吱"	"吱"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"支"	"支"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"肢"	"肢"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"枝"	"枝"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"衹"	"只"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"~有"
"只"	"只"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"衹俗字"
"知"	"知"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"甾"	"甾"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"蜘"	"蜘"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"䵹"	"蜘"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"脂"	"脂"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"~油"
"之"	"之"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"芝"	"芝"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"栀"	"栀"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"~子花"
"卮"	"卮"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	
"疻"	"疻"	"tsz̩⁴⁴"	"tsz̩"	"tsy1"	44	"~水"
"只"	"只"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	"詩經「母也天~」，書面語"
"紫"	"紫"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"子"	"子"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"梓"	"梓"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"滓"	"滓"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	"渣~"
"籽"	"籽"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"紙"	"纸"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"旨"	"旨"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"指"	"指"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"止"	"止"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"趾"	"趾"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	"腳~頭"
"址"	"址"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"仔"	"仔"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	"~細"
"咫"	"咫"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"徵"	"徵"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	"古代五音之一"
"枳"	"枳"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"酯"	"酯"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"仔"	"仔"	"tsz̩"	"tsz̩"	"tsy0"	"輕聲"	"語助，相當於了1"
"姊"	"姊"	"tsz̩⁵¹"	"tsz̩"	"tsy3"	51	
"姊"	"姊"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"~妹"
"䆅"	"䆅"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"制"	"制"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"~度"
"輊"	"轾"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"製"	"制"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"~造"
"智"	"智"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"衹"	"只"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"~有,又音"
"誌"	"𰵧"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"至"	"至"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"致"	"致"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"置"	"置"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"志"	"志"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"痣"	"痣"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"幟"	"帜"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"摯"	"挚"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	
"質"	"质"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"人~"
"翅"	"翅"	"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"~膀"
"□"		"tsz̩³³⁴"	"tsz̩"	"tsy5"	334	"引誘：伲~我上當"
"雌"	"雌"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"差"	"差"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	"參~不齊"
"差"	"差"	"tʃʰyo⁴⁴"	"tʃʰyo"	"chiuo1"	44	"~不多"
"眵"	"眵"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	"眼~"
"癡"	"痴"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"蚩"	"蚩"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"嗤"	"嗤"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"㿳"	"㿳"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"跐"	"跐"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"螭"	"螭"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"魑"	"魑"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"离"	"离"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"㷰"	"㷰"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	"火~"
"黐"	"黐"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	"黏"
"鴟"	"鸱"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"粢"	"粢"	"tsʰz̩⁴⁴"	"tsʰz̩"	"tshy1"	44	
"此"	"此"	"tsʰz̩⁵¹"	"tsʰz̩"	"tshy3"	51	
"侈"	"侈"	"tsʰz̩⁵¹"	"tsʰz̩"	"tshy3"	51	
"恥"	"耻"	"tsʰz̩⁵¹"	"tsʰz̩"	"tshy3"	51	
"齒"	"齿"	"tsʰz̩⁵¹"	"tsʰz̩"	"tshy3"	51	
"褫"	"褫"	"tsʰz̩⁵¹"	"tsʰz̩"	"tshy3"	51	
"刺"	"刺"	"tsʰz̩ ³³⁴"	"tsʰz̩"	"tshy5"	334	
"朿"	"朿"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	
"熾"	"炽"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	
"賜"	"赐"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	
"次"	"次"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	
"啻"	"啻"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	
"疵"	"疵"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	"吹毛求~"
"伺"	"伺"	"tsʰz̩³³⁴"	"tsʰz̩"	"tshy5"	334	"~候"
"慈"	"慈"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"磁"	"磁"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"礠"	"磁"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"池"	"池"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"馳"	"驰"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"遲"	"迟"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"踟"	"踟"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"豸"	"豸"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"遟"	"迟"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"瓷"	"瓷"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	"又音"
"遲"	"迟"	"zz̩¹¹³"	"zz̩"	"zy2"	113	"又音"
"持"	"持"	"dzz̩¹¹³"	"dzz̩"	"dzy2"	113	
"滯"	"滞"	"dzz̩²¹³"	"dzz̩"	"dzy6"	213	"~銷"
"治"	"治"	"dzz̩²¹³"	"dzz̩"	"dzy6"	213	
"雉"	"雉"	"dzz̩²¹³"	"dzz̩"	"dzy6"	213	
"痔"	"痔"	"dzz̩²¹³"	"dzz̩"	"dzy6"	213	
"彘"	"彘"	"dzz̩²¹³"	"dzz̩"	"dzy6"	213	
