"繁體"	"简体"	"音標"		"1：˧˧"	"2：˧˩"
"肌"	"肌"	"tsɿ1"		"3：˧˥"	
"肌"	"肌"	"tsɿ1"		"5：˥˨"	"6：˨˨"
"饑"	"饥"	"tsɿ1"		"7：˨˩˧"	
"姬"	"姬"	"tsɿ1"			
"基"	"基"	"tsɿ1"			
"箕"	"箕"	"tsɿ1"			
"稽"	"稽"	"tsɿ1"			
"機"	"机"	"tsɿ1"			
"磯"	"几"	"tsɿ1"			
"雞"	"鸡"	"tsɿ1"			
"譏"	"讥"	"tsɿ1"			
"饑"	"饥"	"tsɿ1"			
"雞"	"鸡"	"tsɿ1"			
"羈"	"羁"	"tsɿ1"			
"幾"	"几"	"tsɿ1"			
"幾"	"几"	"tsɿ1"			
"期"	"期"	"tsɿ1"			
"奇"	"奇"	"tsɿ1"			
"萁"	"萁"	"tsɿ1"			
"蛆"	"蛆"	"tsɿ1"			
"之"	"之"	"tsɿ1"			
"知"	"知"	"tsɿ1"			
"蜘"	"蜘"	"tsɿ1"			
"朱"	"朱"	"tsɿ1"			
"珠"	"珠"	"tsɿ1"			
"株"	"株"	"tsɿ1"			
"朱"	"朱"	"tsɿ1"			
"蛛"	"蛛"	"tsɿ1"			
"誅"	"诛"	"tsɿ1"			
"諸"	"诸"	"tsɿ1"			
"追"	"追"	"tsɿ1"			
"錐"	"锥"	"tsɿ1"			
"孜"	"孜"	"tsɿ1"			
"孜"	"孜"	"tsɿ1"			
"茲"	"兹"	"tsɿ1"			
"咨"	"咨"	"tsɿ1"			
"姿"	"姿"	"tsɿ1"			
"淄"	"淄"	"tsɿ1"			
"滋"	"滋"	"tsɿ1"			
"資"	"资"	"tsɿ1"			
"輜"	"辎"	"tsɿ1"			
"己"	"己"	"tsɿ3"			
"幾"	"几"	"tsɿ3"			
"麂"	"麂"	"tsɿ3"			
"蟣"	"虮"	"tsɿ3"			
"紀"	"纪"	"tsɿ3"			
"仔"	"仔"	"tsɿ3"			
"止"	"止"	"tsɿ3"			
"旨"	"旨"	"tsɿ3"			
"址"	"址"	"tsɿ3"			
"指"	"指"	"tsɿ3"			
"趾"	"趾"	"tsɿ3"			
"主"	"主"	"tsɿ3"			
"子"	"子"	"tsɿ3"			
"姊"	"姊"	"tsɿ3"			
"籽"	"籽"	"tsɿ3"			
"梓"	"梓"	"tsɿ3"			
"紫"	"紫"	"tsɿ3"			
"滓"	"滓"	"tsɿ3"			
"嘴"	"嘴"	"tsɿ3"			
"計"	"计"	"tsɿ5"			
"既"	"既"	"tsɿ5"			
"記"	"记"	"tsɿ5"			
"寄"	"寄"	"tsɿ5"			
"冀"	"冀"	"tsɿ5"			
"系"	"系"	"tsɿ5"			
"繼"	"继"	"tsɿ5"			
"識"	"识"	"tsɿ5"			
"至"	"至"	"tsɿ5"			
"志"	"志"	"tsɿ5"			
"智"	"智"	"tsɿ5"			
"痣"	"痣"	"tsɿ5"			
"置"	"置"	"tsɿ5"			
"摯"	"挚"	"tsɿ5"			
"幟"	"帜"	"tsɿ5"			
"致"	"致"	"tsɿ5"			
"拄"	"拄"	"tsɿ5"			
"注"	"注"	"tsɿ5"			
"著"	"着"	"tsɿ5"			
"蛀"	"蛀"	"tsɿ5"			
"注"	"注"	"tsɿ5"			
"駐"	"驻"	"tsɿ5"			
"鑄"	"铸"	"tsɿ5"			
"綴"	"缀"	"tsɿ5"			
"贅"	"赘"	"tsɿ5"			
"醉"	"醉"	"tsɿ5"			
"只"	"只"	"tsɿ7"			
"差"	"差"	"tsʰɿ1"			
"嗤"	"嗤"	"tsʰɿ1"			
"癡"	"痴"	"tsʰɿ1"			
"吹"	"吹"	"tsʰɿ1"			
"炊"	"炊"	"tsʰɿ1"			
"疵"	"疵"	"tsʰɿ1"			
"雌"	"雌"	"tsʰɿ1"			
"欺"	"欺"	"tsʰɿ1"			
"趨"	"趋"	"tsʰɿ1"			
"溪"	"溪"	"tsʰɿ1"			
"侈"	"侈"	"tsʰɿ3"			
"恥"	"耻"	"tsʰɿ3"			
"齒"	"齿"	"tsʰɿ3"			
"礎"	"础"	"tsʰɿ3"			
"處"	"处"	"tsʰɿ3"			
"此"	"此"	"tsʰɿ3"			
"企"	"企"	"tsʰɿ3"			
"杞"	"杞"	"tsʰɿ3"			
"起"	"起"	"tsʰɿ3"			
"豈"	"岂"	"tsʰɿ3"			
"啟"	"启"	"tsʰɿ3"			
"取"	"取"	"tsʰɿ3"			
"娶"	"娶"	"tsʰɿ3"			
"翅"	"翅"	"tsʰɿ5"			
"出"	"出"	"tsʰɿ5"			
"處"	"处"	"tsʰɿ5"			
"次"	"次"	"tsʰɿ5"			
"刺"	"刺"	"tsʰɿ5"			
"汽"	"汽"	"tsʰɿ5"			
"契"	"契"	"tsʰɿ5"			
"棄"	"弃"	"tsʰɿ5"			
"器"	"器"	"tsʰɿ5"			
"趣"	"趣"	"tsʰɿ5"			
"吃"	"吃"	"tsʰɿ7"			
"赤"	"赤"	"tsʰɿ7"			
"持"	"持"	"tsʰɿ7"			
"馳"	"驰"	"tsʰɿ7"			
"遲"	"迟"	"tsʰɿ7"			
"除"	"除"	"tsʰɿ7"			
"廚"	"厨"	"tsʰɿ7"			
"儲"	"储"	"tsʰɿ7"			
"垂"	"垂"	"tsʰɿ7"			
"槌"	"槌"	"tsʰɿ7"			
"錘"	"锤"	"tsʰɿ7"			
"期"	"期"	"tsʰɿ7"			
"祁"	"祁"	"tsʰɿ7"			
"岐"	"岐"	"tsʰɿ7"			
"其"	"其"	"tsʰɿ7"			
"奇"	"奇"	"tsʰɿ7"			
"祈"	"祈"	"tsʰɿ7"			
"棋"	"棋"	"tsʰɿ7"			
"旗"	"旗"	"tsʰɿ7"			
"騎"	"骑"	"tsʰɿ7"			
"鰭"	"鳍"	"tsʰɿ7"			
"茄"	"茄"	"tsʰɿ7"			
"褚"	"褚"	"dzɿ3"			
"技"	"技"	"dzɿ3"			
"妓"	"妓"	"dzɿ3"			
"企"	"企"	"dzɿ3"			
"署"	"署"	"dzɿ3"			
"峙"	"峙"	"dzɿ3"			
"痔"	"痔"	"dzɿ3"			
"雉"	"雉"	"dzɿ3"			
"稚"	"稚"	"dzɿ3"			
"渚"	"渚"	"dzɿ3"			
"柱"	"柱"	"dzɿ3"			
"忌"	"忌"	"dzɿ6"			
"治"	"治"	"dzɿ6"			
"住"	"住"	"dzɿ6"			
"墜"	"坠"	"dzɿ6"			
"極"	"极"	"dzɿ7"			
"尿"	"尿"	"sɿ1"			
"腮"	"腮"	"sɿ1"			
"鰓"	"鳃"	"sɿ1"			
"篩"	"筛"	"sɿ1"			
"施"	"施"	"sɿ1"			
"屍"	"尸"	"sɿ1"			
"師"	"师"	"sɿ1"			
"獅"	"狮"	"sɿ1"			
"詩"	"诗"	"sɿ1"			
"書"	"书"	"sɿ1"			
"梳"	"梳"	"sɿ1"			
"舒"	"舒"	"sɿ1"			
"輸"	"输"	"sɿ1"			
"司"	"司"	"sɿ1"			
"私"	"私"	"sɿ1"			
"思"	"思"	"sɿ1"			
"斯"	"斯"	"sɿ1"			
"絲"	"丝"	"sɿ1"			
"撕"	"撕"	"sɿ1"			
