"声母"	"韵母"	"声调"	"字"	"注释"
"ts"	"ɿ"	"3"	"祖"	"～翁"
"ts"	"ɿ"	"5"	"济"	"～南，救～，人才～～"
"ts"	"ɿ"	"5"	"滞"	"～留，～纳，停～"
"tsʰ"	"ɿ"	"3"	"且"	"而～"
"tsʰ"	"ɿ"	"5"	"契"	"房～，塍～"
"tsʰ"	"ɿ"	"5"	"饲"	"喂"
"dz"	"ɿ"	"2"	"齐"	"～国"
"dz"	"ɿ"	"2"	"荠"	"荸～，～菜"
"dz"	"ɿ"	"2"	"岐"	"前岐，地名"
"dz"	"ɿ"	"2"	"迟"	"文"
"s"	"ɿ"	"1"	"撕"	"文"
"s"	"ɿ"	"1"	"筛"	"～选施"
"s"	"ɿ"	"3"	"屎"	"文"
"s"	"ɿ"	"3"	"驶"	"文"
"z"	"ɿ"	"2"	"锄"	"～锥"
"z"	"ɿ"	"6"	"事"	"～干"
"p"	"i"	"3"	"鄙"	"卑～"
"p"	"i"	"3"	"庇"	"一护"
"p"	"i"	"5"	"蔽"	"隐～"
"p"	"i"	"5"	"包"	"～痹"
"b"	"i"	"2"	"蓖"	"～麻"
"b"	"i"	"2"	"皮"	"～鞋"
"m"	"i"	"6"	"味"	"～道，～精"
"f"	"i"	"1"	"飞"	"～机"
"f"	"i"	"1"	"妃"	"～宫"
"f"	"i"	"3"	"匪"	"土～"
"v"	"i"	"2"	"肥"	"～料"
"v"	"i"	"2"	"微"	"显～镜，～生物"
"v"	"i"	"6"	"未"	"～来"
"t"	"i"	"1"	"爹"	"丈夫的父亲"
"t"	"i"	"3"	"底"	"走～（走进去），彻～"
"t"	"i"	"3"	"抵"	"～达，～命"
"tʰ"	"i"	"1"	"梯"	"文"
"tʰ"	"i"	"3"	"体"	"文，一育"
"d"	"i"	"6"	"第"	"落～，门～"
"d"	"i"	"6"	"递"	"投～，邮～员，～增"
"n"	"i"	"轻声"	"呢"	"语气词"
"l"	"i"	"2"	"犁"	"文"
"tɕʰ"	"i"	"1"	"车"	"水～"
"ȵ"	"i"	"2"	"儿"	"～婿"
"ȵ"	"i"	"2"	"泥"	"水～，又"
"ɕ"	"i"	"1"	"捨"	"四～五入"
"ɕ"	"i"	"1"	"西"	"东～"
"ɕ"	"i"	"3"	"写"	"～字眼"
"ɕ"	"i"	"3"	"舍"	"宿～"
"ɕ"	"i"	"5"	"系"	"～统，关～，联～"
"ɕ"	"i"	"5"	"系"	"又"
"ʑ"	"i"	"6"	"藉"	"～口"
"ʑ"	"i"	"6"	"屿"	"前～山（在炎亭外的海上）"
"ʑ"	"i"	"6"	"誓"	"又"
"ʑ"	"i"	"6"	"籍"	"书～"
"ɦ"	"i"	"6"	"系"	"中文～"
"零"	"i"	"1"	"衣"	"～裳"
"零"	"i"	"3"	"伊"	"第三人称单数"
"p"	"u"	"3"	"谱"	"宗～，五线～"
"p"	"u"	"5"	"剥"	"～皮"
"pʰ"	"u"	"3"	"谱"	"文"
"pʰ"	"u"	"3"	"脯"	"杨梅～"
"pʰ"	"u"	"5"	"破"	"文"
"b"	"u"	"6"	"伏"	"孵"
"m"	"u"	"3"	"母"	"文"
"f"	"u"	"1"	"乎"	"文"
"f"	"u"	"3"	"火"	"文，～车"
"f"	"u"	"3"	"伙"	"～计"
"f"	"u"	"3"	"脯"	"明～鲞"
"v"	"u"	"2"	"河"	"文"
