"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"	"重复数"
"拗"	"a53"	""	""	"a"	"53"	"1"
"阿"	"a223"	""	""	"a"	"223"	"1"
"鸦"	"a223"	""	""	"a"	"223"	"2"
"亚"	"a223"	""	""	"a"	"223"	"1"
"也"	"a213"	"~是"	""	"a"	"213"	"2"
"鴉"	"a223"	""	""	"a"	"223"	"2"
"亞"	"a223"	""	""	"a"	"223"	"1"
"柴"	"tsʰa44"	""	"tsʰ"	"a"	"44"	"1"
"樵"	"tsʰa44"	""	"tsʰ"	"a"	"44"	"1"
"炒"	"tsʰa53"	""	"tsʰ"	"a"	"53"	"1"
"差"	"tsʰa223"	""	"tsʰ"	"a"	"223"	"2"
"早"	"tsa53"	""	"ts"	"a"	"53"	"1"
"昔"	"tsa53"	"训"	"ts"	"a"	"53"	"2"
"楂"	"tsa223"	""	"ts"	"a"	"223"	"1"
"查"	"tsa223"	""	"ts"	"a"	"223"	"2"
"渣"	"tsa223"	""	"ts"	"a"	"223"	"1"
"榨"	"tsa21"	""	"ts"	"a"	"21"	"1"
"炸"	"tsa21"	""	"ts"	"a"	"21"	"1"
"咋"	"tsua311"	"又"	"ts"	"ua"	"311"	"2"
"咋"	"tsa311"	"~~叫，被冷水冲过的寒意"	"ts"	"a"	"311"	"2"
"诈"	"tsa21"	""	"ts"	"a"	"21"	"2"
"詐"	"tsa21"	""	"ts"	"a"	"21"	"2"
"他"	"tʰa223"	""	"tʰ"	"a"	"223"	"1"
"禾"	"ta44"	""	"t"	"a"	"44"	"1"
"打"	"ta53"	""	"t"	"a"	"53"	"3"
"焦"	"ta223"	""	"t"	"a"	"223"	"2"
"罩"	"ta21"	"maŋ53~(蚊帐)"	"t"	"a"	"21"	"3"
"沙"	"sa223"	"~茶"	"s"	"a"	"223"	"2"
"抓"	"sa223"	"训"	"s"	"a"	"223"	"3"
"洒"	"sa21"	""	"s"	"a"	"21"	"3"
"洒"	"sa21"	"又"	"s"	"a"	"21"	"3"
"傻"	"sa213"	""	"s"	"a"	"213"	"2"
"灑"	"sa21"	""	"s"	"a"	"21"	"3"
"灑"	"sa21"	"又"	"s"	"a"	"21"	"3"
"泡"	"pʰa213"	""	"pʰ"	"a"	"213"	"1"
"爸"	"pa44"	"口"	"p"	"a"	"44"	"2"
"背"	"pa44"	""	"p"	"a"	"44"	"4"
"把"	"pa53"	""	"p"	"a"	"53"	"3"
"饱"	"pa53"	""	"p"	"a"	"53"	"1"
"背"	"pa223"	"背~"	"p"	"a"	"223"	"4"
"巴"	"pa223"	""	"p"	"a"	"223"	"1"
"芭"	"pa223"	""	"p"	"a"	"223"	"1"
"笆"	"pa223"	""	"p"	"a"	"223"	"1"
"爸"	"pa223"	""	"p"	"a"	"223"	"2"
"疤"	"pa223"	""	"p"	"a"	"223"	"1"
"包"	"pa223"	""	"p"	"a"	"223"	"2"
"霸"	"pa21"	""	"p"	"a"	"21"	"1"
"坝"	"pa21"	""	"p"	"a"	"21"	"1"
"豹"	"pa21"	""	"p"	"a"	"21"	"1"
"罢"	"pa213"	""	"p"	"a"	"213"	"1"
"飽"	"pa53"	""	"p"	"a"	"53"	"1"
"壩"	"pa21"	""	"p"	"a"	"21"	"1"
"罷"	"pa213"	""	"p"	"a"	"213"	"1"
"南"	"na44"	""	"n"	"a"	"44"	"2"
"蓝"	"na44"	""	"n"	"a"	"44"	"2"
"篮"	"na44"	""	"n"	"a"	"44"	"1"
"林"	"na44"	"乡名用字"	"n"	"a"	"44"	"2"
"哪"	"na53"	""	"n"	"a"	"53"	"1"
"那"	"na53"	""	"n"	"a"	"53"	"2"
"拿"	"na53"	""	"n"	"a"	"53"	"1"
"榄"	"na53"	""	"n"	"a"	"53"	"1"
"若"	"na223"	"~是(如果)"	"n"	"a"	"223"	"3"
"那"	"na21"	""	"n"	"a"	"21"	"2"
"藍"	"na44"	"姓"	"n"	"a"	"44"	"2"
"籃"	"na44"	""	"n"	"a"	"44"	"1"
"欖"	"na53"	""	"n"	"a"	"53"	"1"
"妈"	"ma44"	"口"	"m"	"a"	"44"	"3"
"妈"	"ma53"	"祖母"	"m"	"a"	"53"	"3"
"马"	"ma53"	"马上"	"m"	"a"	"53"	"3"
"玛"	"ma53"	""	"m"	"a"	"53"	"1"
"蚂"	"ma53"	""	"m"	"a"	"53"	"1"
"妈"	"ma223"	"母亲"	"m"	"a"	"223"	"3"
"马"	"ma223"	"~虎"	"m"	"a"	"223"	"3"
"明"	"ma21"	"~起(明天)"	"m"	"a"	"21"	"2"
"媽"	"ma44"	"口"	"m"	"a"	"44"	"3"
"媽"	"ma53"	"祖母"	"m"	"a"	"53"	"3"
"馬"	"ma53"	"~上"	"m"	"a"	"53"	"3"
"瑪"	"ma53"	""	"m"	"a"	"53"	"1"
"螞"	"ma53"	""	"m"	"a"	"53"	"1"
"媽"	"ma223"	"母亲"	"m"	"a"	"223"	"3"
"馬"	"ma223"	"~虎"	"m"	"a"	"223"	"3"
"朥"	"la44"	"猪油"	"l"	"a"	"44"	"1"
"膋"	"la44"	"猪油"	"l"	"a"	"44"	"1"
"拉"	"la223"	""	"l"	"a"	"223"	"1"
"菈"	"la223"	""	"l"	"a"	"223"	"1"
"垃"	"la223"	""	"l"	"a"	"223"	"2"
"岂"	"kʰa53"	"又"	"kʰ"	"a"	"53"	"2"
"巧"	"kʰa53"	""	"kʰ"	"a"	"53"	"1"
"尻"	"kʰa223"	""	"kʰ"	"a"	"223"	"1"
"骹"	"kʰa223"	""	"kʰ"	"a"	"223"	"1"
"敲"	"kʰa21"	""	"kʰ"	"a"	"21"	"1"
"扣"	"kʰa21"	"又，~掉"	"kʰ"	"a"	"21"	"2"
"豈"	"kʰa53"	""	"kʰ"	"a"	"53"	"2"
"绞"	"ka53"	""	"k"	"a"	"53"	"1"
"搅"	"ka53"	""	"k"	"a"	"53"	"1"
"家"	"ka223"	"训，家自"	"k"	"a"	"223"	"3"
"咳"	"ka223"	"~嗽"	"k"	"a"	"223"	"2"
"交"	"ka223"	""	"k"	"a"	"223"	"2"
"胶"	"ka223"	""	"k"	"a"	"223"	"1"
"铰"	"ka223"	""	"k"	"a"	"223"	"1"
"教"	"ka21"	""	"k"	"a"	"21"	"1"
"滘"	"ka21"	""	"k"	"a"	"21"	"1"
"窖"	"ka21"	""	"k"	"a"	"21"	"1"
"校"	"ka21"	""	"k"	"a"	"21"	"2"
"咬"	"ka213"	""	"k"	"a"	"213"	"2"
"絞"	"ka53"	""	"k"	"a"	"53"	"1"
"攪"	"ka53"	""	"k"	"a"	"53"	"1"
"膠"	"ka223"	""	"k"	"a"	"223"	"1"
"鉸"	"ka223"	""	"k"	"a"	"223"	"1"
"孝"	"ha21"	""	"h"	"a"	"21"	"2"
"猫"	"ba44"	"老"	"b"	"a"	"44"	"2"
"爬"	"ba21"	"口"	"b"	"a"	"21"	"3"
"貓"	"ba44"	"老"	"b"	"a"	"44"	"2"
"掩"	"ã223"	""	""	"ã"	"223"	"2"
"馅"	"ã311"	""	""	"ã"	"311"	"2"
"餡"	"ã311"	""	""	"ã"	"311"	"2"
"□"	"tsã213"	"˭挖"	"ts"	"ã"	"213"	"38"
"胆"	"tã53"	""	"t"	"ã"	"53"	"2"
"打"	"tã53"	""	"t"	"ã"	"53"	"3"
"担"	"tã223"	""	"t"	"ã"	"223"	"2"
"罩"	"tã21"	"又"	"t"	"ã"	"21"	"3"
"帐"	"tã21"	"蚊~"	"t"	"ã"	"21"	"2"
"淡"	"tã213"	""	"t"	"ã"	"213"	"1"
"赚"	"tã311"	""	"t"	"ã"	"311"	"1"
"膽"	"tã53"	""	"t"	"ã"	"53"	"2"
"擔"	"tã223"	""	"t"	"ã"	"223"	"2"
"帳"	"tã21"	"蚊~"	"t"	"ã"	"21"	"2"
"賺"	"tã311"	""	"t"	"ã"	"311"	"1"
"三"	"sã223"	""	"s"	"ã"	"223"	"3"
"衫"	"sã223"	""	"s"	"ã"	"223"	"1"
"怕"	"pʰã21"	""	"pʰ"	"ã"	"21"	"1"
"冇"	"pʰã21"	"~粟，俗字"	"pʰ"	"ã"	"21"	"1"
"泛"	"pʰã21"	"~粟"	"pʰ"	"ã"	"21"	"3"
"衔"	"kã44"	""	"k"	"ã"	"44"	"2"
"敢"	"kã53"	""	"k"	"ã"	"53"	"1"
"鸦"	"ã223"	"~片"	""	"ã"	"223"	"2"
"鴉"	"ã223"	"~片"	""	"ã"	"223"	"2"
"柑"	"kã223"	""	"k"	"ã"	"223"	"1"
"酵"	"kã21"	""	"k"	"ã"	"21"	"1"
"橄"	"kã223"	""	"k"	"ã"	"223"	"1"
"銜"	"kã44"	""	"k"	"ã"	"44"	"2"
"姨"	"ai44"	""	""	"ai"	"44"	"2"
"蔼"	"ai53"	""	""	"ai"	"53"	"1"
"隘"	"ai53"	""	""	"ai"	"53"	"1"
"哀"	"ai223"	""	""	"ai"	"223"	"1"
"埃"	"ai223"	""	""	"ai"	"223"	"1"
"藹"	"ai53"	""	""	"ai"	"53"	"1"
"才"	"tsʰai44"	""	"tsʰ"	"ai"	"44"	"2"
"材"	"tsʰai44"	""	"tsʰ"	"ai"	"44"	"1"
"财"	"tsʰai44"	""	"tsʰ"	"ai"	"44"	"1"
"裁"	"tsʰai44"	""	"tsʰ"	"ai"	"44"	"1"
"菜"	"tsʰai21"	""	"tsʰ"	"ai"	"21"	"1"
"猜"	"tsʰai223"	""	"tsʰ"	"ai"	"223"	"1"
"財"	"tsʰai44"	""	"tsʰ"	"ai"	"44"	"1"
"才"	"tsai44"	"秀才"	"ts"	"ai"	"44"	"2"
"者"	"tsai53"	"合"	"ts"	"ai"	"53"	"3"
"宰"	"tsai53"	""	"ts"	"ai"	"53"	"1"
"载"	"tsai53"	""	"ts"	"ai"	"53"	"3"
"怎"	"tsai53"	"戏音"	"ts"	"ai"	"53"	"2"
"灾"	"tsai223"	""	"ts"	"ai"	"223"	"1"
"栽"	"tsai223"	""	"ts"	"ai"	"223"	"1"
"知"	"tsai223"	""	"ts"	"ai"	"223"	"2"
"载"	"tsai21"	""	"ts"	"ai"	"21"	"3"
"再"	"tsai21"	""	"ts"	"ai"	"21"	"1"
"在"	"tsai213"	""	"ts"	"ai"	"213"	"2"
"載"	"tsai53"	""	"ts"	"ai"	"53"	"3"
"災"	"tsai223"	""	"ts"	"ai"	"223"	"1"
"載"	"tsai21"	""	"ts"	"ai"	"21"	"3"
"台"	"tʰai44"	""	"tʰ"	"ai"	"44"	"2"
"抬"	"tʰai44"	""	"tʰ"	"ai"	"44"	"1"
"治"	"tʰai44"	"杀"	"tʰ"	"ai"	"44"	"2"
"台"	"tʰai223"	""	"tʰ"	"ai"	"223"	"2"
"筛"	"tʰai223"	""	"tʰ"	"ai"	"223"	"1"
"㛿"	"tʰai53"	"哭闹"	"tʰ"	"ai"	"53"	"1"
"态"	"tʰai21"	""	"tʰ"	"ai"	"21"	"1"
"太"	"tʰai21"	""	"tʰ"	"ai"	"21"	"1"
"泰"	"tʰai21"	""	"tʰ"	"ai"	"21"	"1"
"汰"	"tʰai21"	""	"tʰ"	"ai"	"21"	"1"
"待"	"tʰai213"	""	"tʰ"	"ai"	"213"	"1"
"篩"	"tʰai223"	""	"tʰ"	"ai"	"223"	"1"
"態"	"tʰai21"	""	"tʰ"	"ai"	"21"	"1"
"埋"	"tai44"	"训"	"t"	"ai"	"44"	"2"
"呆"	"tai223"	""	"t"	"ai"	"223"	"2"
"贷"	"tai21"	""	"t"	"ai"	"21"	"1"
"代"	"tai21"	""	"t"	"ai"	"21"	"3"
"带"	"tai21"	"文"	"t"	"ai"	"21"	"2"
"舵"	"tai213"	"白"	"t"	"ai"	"213"	"2"
"大"	"tai213"	"大家"	"t"	"ai"	"213"	"2"
"貸"	"tai21"	""	"t"	"ai"	"21"	"1"
"帶"	"tai21"	"文"	"t"	"ai"	"21"	"2"
"屎"	"sai53"	""	"s"	"ai"	"53"	"1"
"使"	"sai53"	""	"s"	"ai"	"53"	"2"
"驶"	"sai53"	""	"s"	"ai"	"53"	"1"
"鳃"	"sai223"	""	"s"	"ai"	"223"	"1"
"腮"	"sai223"	""	"s"	"ai"	"223"	"1"
"西"	"sai223"	""	"s"	"ai"	"223"	"2"
"犀"	"sai223"	""	"s"	"ai"	"223"	"1"
"私"	"sai223"	""	"s"	"ai"	"223"	"4"
"柿"	"sai223"	"又"	"s"	"ai"	"223"	"2"
"赛"	"sai21"	""	"s"	"ai"	"21"	"1"
"洒"	"sai21"	""	"s"	"ai"	"21"	"3"
"晒"	"sai21"	""	"s"	"ai"	"21"	"1"
"使"	"sai21"	""	"s"	"ai"	"21"	"2"
"塞"	"sai21"	"边~"	"s"	"ai"	"21"	"2"
"柿"	"sai213"	""	"s"	"ai"	"213"	"2"
"駛"	"sai53"	""	"s"	"ai"	"53"	"1"
"鰓"	"sai223"	""	"s"	"ai"	"223"	"1"
"賽"	"sai21"	""	"s"	"ai"	"21"	"1"
"灑"	"sai21"	""	"s"	"ai"	"21"	"3"
"曬"	"sai21"	""	"s"	"ai"	"21"	"1"
"沛"	"pʰai21"	""	"pʰ"	"ai"	"21"	"1"
"派"	"pʰai21"	""	"pʰ"	"ai"	"21"	"1"
"排"	"pai44"	""	"p"	"ai"	"44"	"1"
"牌"	"pai44"	""	"p"	"ai"	"44"	"1"
"摆"	"pai53"	""	"p"	"ai"	"53"	"1"
"拜"	"pai21"	""	"p"	"ai"	"21"	"1"
"败"	"pai311"	""	"p"	"ai"	"311"	"1"
"擺"	"pai53"	""	"p"	"ai"	"53"	"1"
"敗"	"pai311"	""	"p"	"ai"	"311"	"1"
"呆"	"ŋai44"	""	"ŋ"	"ai"	"44"	"2"
"涯"	"ŋai44"	""	"ŋ"	"ai"	"44"	"1"
"崖"	"ŋai44"	""	"ŋ"	"ai"	"44"	"1"
"捱"	"ŋai44"	""	"ŋ"	"ai"	"44"	"1"
"眼"	"ŋai53"	""	"ŋ"	"ai"	"53"	"2"
"研"	"ŋai53"	""	"ŋ"	"ai"	"53"	"3"
"艾"	"ŋai213"	""	"ŋ"	"ai"	"213"	"2"
"岸"	"ŋai213"	"文"	"ŋ"	"ai"	"213"	"2"
"莲"	"nai44"	""	"n"	"ai"	"44"	"1"
"奶"	"nai53"	""	"n"	"ai"	"53"	"2"
"乃"	"nai53"	""	"n"	"ai"	"53"	"1"
"耐"	"nai213"	""	"n"	"ai"	"213"	"1"
"奈"	"nai213"	""	"n"	"ai"	"213"	"1"
"赖"	"nai213"	""	"n"	"ai"	"213"	"2"
"捺"	"nai213"	""	"n"	"ai"	"213"	"1"
"荔"	"nai311"	""	"n"	"ai"	"311"	"2"
"蓮"	"nai44"	""	"n"	"ai"	"44"	"1"
"賴"	"nai213"	""	"n"	"ai"	"213"	"2"
"埋"	"mai44"	""	"m"	"ai"	"44"	"2"
"跛"	"mai53"	"又"	"m"	"ai"	"53"	"3"
"勿"	"mai21"	""	"m"	"ai"	"21"	"2"
"迈"	"mai213"	""	"m"	"ai"	"213"	"1"
"邁"	"mai213"	""	"m"	"ai"	"213"	"1"
"来"	"lai44"	""	"l"	"ai"	"44"	"1"
"梨"	"lai44"	""	"l"	"ai"	"44"	"1"
"狸"	"lai44"	""	"l"	"ai"	"44"	"2"
"内"	"lai213"	"训"	"l"	"ai"	"213"	"1"
"里"	"lai213"	""	"l"	"ai"	"213"	"2"
"利"	"lai311"	""	"l"	"ai"	"311"	"2"
"來"	"lai44"	""	"l"	"ai"	"44"	"1"
"內"	"lai213"	"训"	"l"	"ai"	"213"	"1"
"裡"	"lai213"	""	"l"	"ai"	"213"	"2"
"凯"	"kʰai53"	""	"kʰ"	"ai"	"53"	"1"
"楷"	"kʰai53"	""	"kʰ"	"ai"	"53"	"1"
"开"	"kʰai223"	""	"kʰ"	"ai"	"223"	"2"
"恺"	"kʰai21"	""	"kʰ"	"ai"	"21"	"1"
"概"	"kʰai21"	""	"kʰ"	"ai"	"21"	"1"
"慨"	"kʰai21"	""	"kʰ"	"ai"	"21"	"1"
"铠"	"kʰai213"	""	"kʰ"	"ai"	"213"	"1"
"凱"	"kʰai53"	""	"kʰ"	"ai"	"53"	"1"
