"漢字"	"拼音"	"IPA"	"注釋"	"说明"
"多"	"to1"	"to˧˧"		"拼音IPA转换说明:阴平1:˧˧ 阴上2:˥˨ 阴去3:˨˩˨ 阴入4:˨ 阳平5:˥˥ 阳上6:˧˥ 阳去7:˧˩ 阳入8:˥˦"
"他"	"tha1"	"tʰa˧˧"		
"舵"	"tua6"	"tua˧˥"		"ur表示ɯ,th表示tʰ, ph表示pʰ,tsh表示tsʰ，(tsi,tshi,si 为tɕi ,tɕʰi ,ɕi), kh表示kʰ , ng表示ŋ , nn表示 ̃，h表示ʔ ,其余同。"
"大"	"tua7"	"tua˧˩"		
"大"	"tai6"	"tai˧˥"	"文"	
"拖"	"thua1"	"tʰua˧˧"		
"拖"	"tho1"	"tʰo˧˧"	"推~"	
"駝"	"thoh8"	"tʰoʔ˥˦"		
"陀"	"tho5"	"tʰo˥˥"		
"馱"	"tho5"	"tʰo˥˥"		
"挪"	"no5"	"no˥˥"		
"羅"	"lo5"	"lo˥˥"		
"鑼"	"lo5"	"lo˥˥"		
"籮"	"lo5"	"lo˥˥"		
"左"	"tso2"	"tso˥˨"		
"佐"	"tso2"	"tso˥˨"		
"做"	"tso3"	"tso˨˩˨"		
"搓"	"so1"	"so˧˧"		
"搓"	"tsho1"	"tsʰo˧˧"	"文"	
"娑"	"so1"	"so˧˧"		
"歌"	"kua1"	"kua˧˧"		
"歌"	"ko1"	"ko˧˧"	"文"	
"哥"	"ko5"	"ko˥˥"	"口"	
"哥"	"ko1"	"ko˧˧"		
"個"	"kai5"	"kai˥˥"	"白"	
"個"	"ko6"	"ko˧˥"	"文"	
"軻"	"ko1"	"ko˧˧"		
"可"	"kho2"	"kʰo˥˨"		
"蛾"	"ngo5"	"ŋo˥˥"		
"鵝"	"go5"	"go˥˥"		
"俄"	"ngo5"	"ŋo˥˥"		
"我"	"ua2"	"ua˥˨"		
"我"	"ngo2"	"ŋo˥˨"	"文"	
"餓"	"go7"	"go˧˩"		
"何"	"ho5"	"ho˥˥"		
"河"	"ho5"	"ho˥˥"		
"荷"	"o6"	"o˧˥"	"負~"	
