#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴
#z̩	
tsʰ	[1]叉1杈1差2{~不多}喳2碴2[2]茬茶查2碴2楂搽□{皮肤被锋锐物体碰击}[3]叉2镲□{用嘴收取撤落的食物}[5]汊杈2岔衩诧□{跨越}□{用铁锹斩物}
s	[1]飒沙1砂纱痧鲨撒1{某些物体下垂或下漏}[2]斜*[3]洒撒2傻[5]沙厦1歃散*1□{蚕屎：蚕~}
k	[1]家嘎[2]尕[5]尬架-嫁-
kʰ	[1]拤[2]□{~强：霸道欺人}[3]咯卡□{把器皿口朝下放置}[5]□{把东西拿在手里}
ŋ	[1]丫桠挜[2]伢-牙□{半掩着门}[3]哑[5]砑
x	[1]哈[2]蛤1{~蟆}□{财大气粗的样子}[3]□{大~：装着慨阔的样子}[5]下-虾-
Ø	[1]啊1[2]啊2
	
#ia	
t	[1]爹{父亲}[3]嗲
tɕ	[1]家=佳加嘉[3]假[5]嫁=驾架=价借-
tɕʰ	[1]笡□{言行不庄重：鸦~、鸦里不鸦~}□{小睡}[2]斜□{蛮横：这个人真～；~横拐竖}瘸-邪-
ɕ	[1]虾=[2]伢{小伢合音}霞遐瑕暇□{~不重：看不中，看不起}[3]些-[5]下=夏厦2卸=
Ø	[1]耶-椰-丫=鸦□{言行不庄重或缺乏分寸：～嘘，~tɕia⁵²：~死}[2]牙=芽蚜玡衙涯[3]雅□{近乎痴呆：~子，不痴又不～}[5]亚娅讶迓
	
#ua	
ts	[1]抓[2]□{棟雀，又叫“灰喜鹊”，俗称“山~~”}[3]爪1
s	[3]耍[5]□{~净，即干净}□{淀粉勾芡的菜肴变得不粘稠：羹~掉了}
k	[1]瓜挂1{耷拉下来：～下来}[2]□{像声词，常拟鸭叫}[3]□{扯闲叫“拉~”}寡剐[5]挂2褂卦
kʰ	[1]夸[2]□{用刀子等利器在某些物体上刮的动作：~山芋}[3]垮侉胯-{大～骨，即胯骨}[5]挎跨胯
x	[1]花划1哗1化1[2]划2华1哗1骅[3]□{挥霍，乱花钱}[5]话画划3化2华2
Ø	[1]蛙=哇□{用指甲搔}[2]娃[3]瓦1佤□{用器皿取物}[5]洼瓦2{~匠、~工、~刀}
	
#ɤɯ	
f	[3]否/2缶/2
t	[1]兜篼[3]斗1抖陡蚪[5]对*斗2豆逗痘窦
tʰ	[1]偷[2]头投骰=[5]透
l	[1]搂-[2]娄楼偻喽蝼耧髅柔揉糅蹂[3]搂=篓[5]陋漏瘘镂露1{~出来}肉=
ts	[1]州舟周洲诌[2]□{拧}[3]肘帚走[5]宙咒胄昼纣皱绉骤邹奏揍
tsʰ	[1]抽[2]仇1惆酬筹愁稠绸畴踌□{搓揉：~面，~衣裳}[3]丑瞅[5]臭凑腠
s	[1]搜嗖艘馊飕收[3]擞叟薮溲守手狩[5]嗽兽寿受绶瘦售授
k	[1]勾1沟钩篝构1[2]□{双方债务相互抵销或比赛出现平局：“直~”}[3]苟狗枸5构2购垢勾2够诟媾个1{量词}
kʰ	[1]抠眍扣1[3]口[5]扣2叩寇蔻
ŋ	[1]区1讴瓯鸥欧殴[2]牛-[3]藕偶呕□{带有暗火的物体酿成明火的过程：草堆里的火~着了}[5]沤怄
x	[1]齁□{~摸，即“制载”或“打击”之意}[2]侯瘊喉猴骰*□{怒睁圆眼：~眼}[3]吼[5]逅后厚候
Ø	
	
#iu	
t	[1]丢
n	[1]扭{拧，摘取：~瓜}[2]牛[3]忸扭钮纽[5]拗3谬
l	[1]溜1熘[2]刘浏流1琉硫留瘤榴镏[3]柳绺[5]溜2遛馏流2
tɕ	[1]鸠阉鬏揪啾赳纠□{撅着嘴}[3]酒韭九酒久玖灸[5]究就厩救旧臼舅疚柩咎皱?
tɕʰ	[1]秋鳅丘蚯㞗邱[2]酋遒求球逑囚泅仇2虬全-[3]□{折腾、打击、胡搞、搏斗：瞎~；~架；~他一下}
ɕ	[1]羞馐休咻修[2]□{吮吸}[3]朽[5]袖岫秀锈绣嗅
Ø	[1]忧优幽攸悠□{摔打、摆动：~他一个巴掌；小狗尾巴直~直~的}[2]游猷尤鱿犹由油蚰邮[3]有莠友酉[5]又右佑宥囿侑柚釉幼诱鼬
	
#ɔ	
p	[1]包苞胞[3]保宝饱堡葆鸨煲褒褓[5]报抱刨1暴爆鲍豹
pʰ	[1]抛泡1脬[2]刨2袍庖[3]跑[5]泡2疱炮奅
