#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴
#z̩	
ts	[1]中1忠衷钟终宗综棕鬃踪盅淙[3]种1肿踵冢总偬[5]种2中2仲众重1粽纵
tsʰ	[1]充冲1忡春憧囱聪匆葱[2]虫崇重2从丛[3]宠[5]铳冲2诵-
s	[1]松淞忪嵩[2]□{精液的俗称；人无能}[3]竦悚掇怂耸[5]宋讼颂送诵=
k	[1]工攻功红1龚恭公蚣肱觥弓躬宫[2]□{物体数量少或体积小：一~~、~~大}[3]巩汞拱[5]贡共供□{钻或冒}
kʰ	[1]空1悾[3]恐倥孔[5]空2控
ŋ	[1]烘哄1薨轰訇[2]鸿黉虹红2洪宏弘泓[3]哄2[5]哄3讧横
x	[1]翁嗡[5]瓮齆□{行为粗鲁}
	
#iɔŋ	
tɕ	[1]扃垌[3]窘炯迥
tɕʰ	[1]倾-[2]琼蛩跫邛穹穷茕
ɕ	[1]兄凶汹胸[2]雄熊[5]诇
Ø	[1]庸慵雍壅饔臃痈佣1邕[2]喁容溶熔蓉榕荣蝾嵘融[3]永泳咏甬涌恿蛹踊俑勇拥冗*[5]用
	
#ən	
p	[1]奔1锛贲[3]本苯[5]奔2笨畚=坌
pʰ	[1]喷1[2]盆[5]喷2
m	[1]焖闷1[2]明*们扪钔[3]母2{丈~娘}[5]懑闷2
f	[1]分1芬吩纷[2]坟焚汾棼[3]粉[5]畚-粪愤忿奋偾份氛分2
t	[1]灯登蹬瞪敦墩吨蹲澄1[3]等戥趸盹[5]凳邓炖顿囤钝盾遁饨
tʰ	[1]熥吞暾□{掏}[2]誊滕藤腾疼屯豚臀[3]氽□{在烂泥里踩}[5]褪2□{~子：喉咙；嗓音}
n	[2]能[5]恁嫩
l	[1]扔愣-1[2]棱1楞仑沦论1抡轮囵伦纶2人任1仁壬仍[3]冷论荏稔忍纫[5]愣=2论2认刃韧仞任2饪妊闰润
ts	[1]蓁榛臻斟砧甄真贞祯侦箴针珍胗怔症1钲征正1蒸狰铮挣1筝峥睁争帧肫尊遵樽赠曾1憎增罾诊1{门~}[3]缜疹诊2轸整拯枕1怎=[5]鸩辰振赈镇圳朕阵正2症2郑证政诤挣2甑枕2
tsʰ	[1]参2琛嗔抻撑瞠称1蛏村[2]岑涔曾2层沉忱谌辰宸晨橙臣尘陈成逞晟1存承澄2诚城盛1呈程乘1丞[3]碜骋惩[5]剩蹭榇衬谶趁龀称2秤寸
s	[1]森僧莘1深娠申砷呻伸绅身参3声生甥牲升飧孙荪狲[2]蹲神绳[3]沈婶哂谂省1眚吮损笋隼榫[5]慎甚蜃肾渗晟2盛2胜圣
k	[1]根跟庚赓羹耕更1粳今-[3]艮2耿埂梗哽鲠绠哏[5]亘莨2更2
kʰ	[1]坑吭铿倾*{低头}[3]肯啃恳垦[5]裉揿□{垢}
ŋ	[1]恩[5]摁硬
x	[1]亨哼[2]痕恒姮衡蘅[3]很狠[5]恨
	
#in	
p	[1]濒宾滨槟傧缤斌彬鬓殡膑冰兵[3]禀饼屏1丙炳秉摒1[5]摈柄病并
pʰ	[1]拼姘娉乒[2]嫔频颦贫瓶屏2平苹坪评萍凭[3]品[5]聘牝
m	[2]盟-民缗明名鸣铭茗[3]母3闵悯闽皿黾敏泯抿酩溟冥瞑[5]命
t	[1]丁疔酊1叮盯钉仃[3]酊顶鼎[5]定啶锭腚订钉淀
tʰ	[1]汀厅听1烃[2]桯-亭停婷婷廷庭霆蜓[3]梃1挺铤艇[5]梃2听2
l	[1]拎[2]宁聍柠狞拧麟遴磷嶙邻临霖淋林粼鳞凌菱棱2轮{~流}陵绫羚零〇玲苓聆瓴龄囹蛉铃伶瓴灵棂[3]凛廪檩领岭[5]佞吝蔺躏赁另令
tɕ	[1]侵津禁1襟巾今衿金筋斤京惊鲸旌经兢精晶泾茎[3]堇谨瑾馑阱仅紧锦尽1卺井警儆景憬颈[5]进晋禁2噤近劲浸尽2烬竞竟境镜净静靖敬痉径劲睛
tɕʰ	[1]亲1衾钦青清蜻卿轻氢倾=[2]寻-秦勤芹禽擒琴情晴擎[3]请寝苘顷=[5]沁吣揿亲2庆罄
ɕ	[1]心芯1馨鑫辛锌新欣歆囟兴1猩星惺腥薪[2]桁刑形邢型行2[3]醒擤省2[5]芯2信衅兴2幸悻杏性姓□{震动：雷声~人}
Ø	[1]音喑因茵洇姻殷2阴荫应1膺鹰英莺罂婴樱撄嘤鹦缨[2]凝淫寅夤狺吟垠银赢莹茔荧营萦盈楹迎[3]饮尹引蚓隐瘾影颖[5]印胤应2映
	
#uən	
ts	[1]谆[3]准
tsʰ	[1]春椿蝽[3]蠢
s	[2]淳醇鹑纯[5]舜瞬顺
k	[3]衮滚磙绲鲧辊[5]棍
kʰ	[1]坤昆堃鲲[3]捆悃[5]困
x	[1]荤昏婚[2]浑魂馄[5]混诨
Ø	[1]温瘟[2]文雯蚊纹闻[3]稳刎吻[5]问紊
	
#yn	
tɕ	[1]军皲均钧菌君[5]浚竣峻俊骏捃郡
tɕʰ	[2]唇麂群裙
ɕ	[1]勋熏醺[2]寻=循旬洵询荀峋殉徇巡[5]蕈训讯汛逊巽驯
Ø	[1]晕[2]云耘芸纭匀筠[3]殒陨允[5]泳-咏-运酝愠蕴韵孕熨恽
	
#æʔ	
p	[7]八捌拔跋魃
m	[7]抹2蚂2{~蚱}
f	[7]发罚伐阀垡筏法砝
t	[7]褡搭答嗒达笪鞑沓1
tʰ	[7]溻遢塌踏塔獭挞榻沓2
n	[7]捺衲钠纳
l	[7]邋蜡腊辣瘌□{意近“滥”、“猛”}□{喻下垂或滑塌之势}□{~慌：撒谎}
ts	[7]扎匝咂砸杂闸铡札轧1炸2
tsʰ	[7]擦察嚓馇{～粥}插
s	[7]撒2靸萨卅杀刹煞霎楔{木头～子}揳{~一个木头楔子}
k	[7]夹荚轧2
kʰ	[7]掐
ŋ	[7]压押鸭
x	[7]匣瞎辖狭
	
#uæʔ	
ts	[7]□{用扫帚扫除灰尘和其他杂物的动作}
s	[7]刷
k	[7]括刮
x	[7]滑猾
Ø	[7]挖袜□{“～缺”：心术不正，爱要猾头}
	
#ɑk	
p	[7]剥雹薄博礴搏膊泊1箔舶驳柏白{鲹~条子}柏{~油}
pʰ	[7]粕珀朴1泊2魄□{用双手接住他人抛来的东西}□{咂：~嘴；~一口香烟}□{象声词，~托}拍1{~子}迫*
m	[7]摸膜莫漠寞瘼幕陌
f	[7]缚
t	[7]汰耷度1踱铎单沰
tʰ	[7]托庹拓柝
n	[7]诺喏搦
l	[7]落洛烙酪络乐1荤骆路若籍弱□{~子：篮子}
ts	[7]着作酌斫凿著
tsʰ	[7]绰焯□{收拢成片杂物：~沫子}
s	[7]索硕烁勺芍灼□{抖动：把他~倒下地}
k	[7]搁阁各角荚觉-1{~着}
kʰ	[7]壳□{~鸡蛋}□{~定~：指某些物体的体积、数量或重量等条件恰好适应某种特定的要求}
ŋ	[7]恶1噩愕腭鄂鳄
x	[7]颌貉鹤郝学-壑涸□{拿近、贴近}
	
#iɑk	
n	[7]疟虐
l	[7]掠略
tɕ	[7]嚼爵脚觉2珏甲钾颊墼
tɕʰ	[7]却鹊椎雀确洽恰怯□{物体因重力打击变形或鼓出}
ɕ	[7]峡=侠=狭=匣=削学=挟□{偏离：那场大雨朝西头~掉了}
Ø	[7]约药钥岳乐2跃
	
#uɑk	
ts	[7]捉桌卓琢浊镯□{将成捆的棒状物体在平面物体上撞击使之整齐：把筷子~整齐}擢
tsʰ	[7]戳
s	[7]嗍塑2朔溯2
k	[7]郭□{被波浪冲击}
kʰ	[7]廓扩
x	[7]攉霍藿
Ø	[7]沃*握幄□{水~子：低洼的小水坑}□{呕吐}□{掀~tɕin²¹¹：打耳光}□{支撑起来的棚布等中间下垂的现象}
	
#ɔk	
p	[7]掰白百柏佰北擘卜帛伯
pʰ	[7]拍迫粕魄扑仆噗蹼
m	[7]麦脉蓦墨默木沐目苜睦牧穆
f	[7]福辐幅蝠匐伏茯服复覆蝮馥腹袱
t	[7]督毒渎椟黩犊牍独笃读□{去掉：~树枝，把纸~下来}□{kuəʔ5~：象声词，表示敲击声或倒塌声}□{煮}
tʰ	[7]秃□{回落；高度降低，数量减少，甚至职位下降：~下来}
l	[7]六陆碌鹿漉麓辘戮录禄逐绿肉-辱褥蓐缛
ts	[7]粥轴烛逐竺筑竹嘱瞩祝足妯瘃
tsʰ	[7]族畜1搐怵魔触蹴猝簇蹙促蛐
s	[7]熟叔淑菽倏孰塾赎蜀属束缩俗宿1速粟夙肃续
k	[7]国虢蝈谷帼□{戳，插：把竹竿子朝地上一~}
kʰ	[7]哭酷
x	[7]掴获或惑蠖斛
Ø	[7]屋喔龌沃
	
#iɔk	
tɕ	[7]鞠掬菊局锔
tɕʰ	[7]曲
ɕ	[7]旭酗蓄宿2畜2
Ø	[7]育玉1郁狱浴欲抈*{弄弯或板直：~树条子}
	
#ʊʔ	
p	[7]饽拨钵脖勃渤
pʰ	[7]泼
m	[7]末沫茉秣□{抄写}□{锯子锯东西}
t	[7]夺咄□{移动或挪动}
tʰ	[7]脱
l	[7]劣*掳□{~tʊʔ5：谓人悉拙、死板、不灵活}
ts	[7]嘬撮1茁拙{冻疮叫“冻~子”}
tsʰ	[7]撮2绌
s	[7]说
k	[7]割鸽葛蛤2合1□{脚~子：蹄子}
kʰ	[7]磕瞌渴溘阔
x	[7]豁1直阖翮曷合2盒褐喝活□{抖动：把衣术拾起来~~，把灰~掉}
Ø	[7]遏□{~sʊʔ5：细碎的垃圾}
	
#əʔ	
p	[7]不钚□{制作面食时用以防止生面制品粘连的干面粉}
pʰ	[7]抔□{用手聚拢或刮去细碎杂物}
m	[7]没2殁
f	[7]佛弗拂沸
t	[7]得德得□{~脚：用脚使劲击地，发出响声}□{鸡吃食}特{~为}
tʰ	[7]特忑忒突□{下陷，下沉}
n	[7]□{用手紧握}
l	[7]日入勒泐仂肋
ts	[7]贼塞{瓶~子}滓责啧则泽择仄摘宅翟窄谪只织职值直植殖执侄帜秩识*质窒掷汁炽炙这=蛰{惊~}
tsʰ	[7]测侧侧策册拆尺赤咤饬斥笞□{~~：}
s	[7]塞涩瑟啬色湿失虱实识十什石拾食蚀室式释筮噬适饰弑□{摔打或抽打出打：拿树条子~他一顿}
k	[7]疙格胳革隔膈隔骼虼轭□{单脚着地向前蹦跳}
kʰ	[7]客克刻恪咳2□{~ti³³5头子：膝盖}
x	[7]额厄扼
Ø	[7]阂核劾赫吓黑龁
	
#uəʔ	
ts	[7]术1
tsʰ	[7]出
s	[7]术2述沭率2蟀
k	[7]骨
kʰ	[7]窟磕{~头}
x	[7]忽惚核2{果~}□{木头、木器腐朽}
Ø	[7]兀杌勿物□{被水淹}扤□{肢体受扭或受崴}
	
#iɪʔ	
p	[7]逼鼻笔匕滗必秕碧毕璧壁弼瘪憋鳖蹩别
pʰ	[7]辟霹劈匹癖僻撇瞥
m	[7]必蜜密谧幂汨觅灭蔑篾
t	[7]滴嘀涤镝嫡敌觌迪笛的狄籴跌谍碟蝶牃垤耋迭叠□{拔：~鸡毛}喋蹀
tʰ	[7]剔踢惕帖贴铁
n	[7]逆匿溺睨昵捏聂嗫蹑镊孽=涅啮臬怩
l	[7]律劣立粒笠栗砾力历沥咧2列烈猎冽裂猎热率1
tɕ	[7]剧给激迹绩积击唧汲圾缉疾嫉瘠脊级吉诘佶髻藉籍棘楫辑1戢集及极岌笈急戟即亟寂结节疖接揭洁拮劫截捷睫婕竭碣偈杰桀孢孑折1哲褶浙蜇辙辄箦桔这-
tɕʰ	[7]彻澈撤沏辑2泣迄讫切妾挈窃
ɕ	[7]色-{颜~}设血-涉摄折2舌慑昔惜析淅晰锡吸悉翕歙息媳夕汐席檄揭{~锅盖}螅熄习隙阋燮楔=蝎歇撷协胁勰
Ø	[7]一壹揖乙瘗亦奕益溢缢懿弋抑易2邑悒挹刈轶屹逸忆译驿翼噎咽3掖液腋谒业页叶曳烨孽-{作~}
	
#yɪʔ	
tɕ	[7]撅厥蕨蹶獗矍攫谲诀决抉掘崛倔孓绝橘
tɕʰ	[7]诎屈阙缺撅?阕黢
ɕ	[7]薛穴踅噱雪戏谑血=泄屑戍熏*{臭气或其他有气味的气体呛人：臭气~人}
Ø	[7]役疫日悦阅越粤月域蜮
	
#iəʔ	
tɕʰ	[7]吃七柒乞漆戚嘁
	
#m̩	
Ø	[3]姆-{~妈}
	
#ŋ̍	
Ø	[3]我-
	
#n̩	
Ø	[1]嗯
