"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"84"	"騾"	"骡"	"lo阳平"	""	""	""	""
"85"	"螺"	"螺"	"lo阳平"	""	""	""	""
"86"	"腡"	"脶"	"lo阳平"	""	""	""	""
"87"	"裸"	"裸"	"lua阴上"	"白"	""	""	""
"88"	"裸"	"裸"	"lo阴上"	"文"	""	""	""
"89"	"摞"	"摞"	"lo阳平"	""	""	""	""
"90"	"銼"	"锉"	"tsʰo去声"	"文"	""	""	""
"91"	"銼"	"锉"	"tsʰok阳入"	"文"	""	""	""
"92"	"矬"	"矬"	"tsʰo阳平"	"文"	""	""	""
"93"	"矬"	"矬"	"tso阴平"	""	""	""	""
"94"	"坐"	"坐"	"tso阳上"	""	""	""	""
"95"	"座"	"座"	"tso去声"	""	""	""	""
"96"	"蓑"	"蓑"	"sui阴平"	"文"	""	""	""
"97"	"蓑"	"蓑"	"so阴平"	"文"	""	""	""
"98"	"梭"	"梭"	"so阴平"	""	""	""	""
"99"	"唆"	"唆"	"so阴平"	""	""	""	""
"100"	"鎖"	"锁"	"so阴上"	""	""	""	""
"101"	"瑣"	"琐"	"so阴上"	""	""	""	""
"102"	"鍋"	"锅"	"ue阴平"	"白"	""	""	""
"103"	"鍋"	"锅"	"ko阴平"	"文"	""	""	""
"104"	"過"	"过"	"kue去声"	""	""	""	""
"105"	"戈"	"戈"	"kʰo阴平"	"文"	""	""	""
"106"	"戈"	"戈"	"kue阴平"	"白"	""	""	""
"107"	"果"	"果"	"kue阴上"	"白"	""	""	""
"108"	"果"	"果"	"kua阴上"	"文"	""	""	""
"109"	"裹"	"裹"	"kue阴上"	""	""	""	""
"110"	"科"	"科"	"kʰue阴平"	""	""	""	""
"111"	"棵"	"棵"	"kʰo阴上"	""	""	""	""
"112"	"窠"	"窠"	"kʰue阴平"	"白"	""	""	""
"113"	"窠"	"窠"	"kʰo阴平"	"文"	""	""	""
"114"	"顆"	"颗"	"kʰue阴上"	"白"	""	""	""
"115"	"顆"	"颗"	"kʰo阴上"	"文"	""	""	""
"116"	"課"	"课"	"kʰue去声"	""	""	""	""
"117"	"訛"	"讹"	"ue阳平"	""	""	""	""
"118"	"臥"	"卧"	"o去声"	"文"	""	""	""
"119"	"臥"	"卧"	"ŋoʔ阳入"	"又"	""	""	""
