"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"1300"	"牝"	"牝"	"pʰiŋ阴上"	""	""	""	""
"1301"	"備"	"备"	"pi阳上"	""	""	""	""
"1302"	"鼻"	"鼻"	"pʰĩ去声"	""	""	""	""
"1303"	"篦"	"篦"	"pi阴平"	""	""	""	""
"1304"	"眉"	"眉"	"bai阳平"	"白"	""	""	""
"1305"	"眉"	"眉"	"mi阳平"	"文"	""	""	""
"1306"	"楣"	"楣"	"bai阳平"	""	""	""	""
"1307"	"霉"	"霉"	"mue阳平"	""	""	""	""
"1308"	"美"	"美"	"mi阴上"	"文"	""	""	""
"1309"	"美"	"美"	"mui阴上"	"文"	""	""	""
"1310"	"媚"	"媚"	"mi去声"	""	""	""	""
"1311"	"寐"	"寐"	"mue阳上"	""	""	""	""
"1312"	"地"	"地"	"ti去声"	"文"	""	""	""
"1313"	"地"	"地"	"to去声"	"俗"	""	""	""
"1314"	"尼"	"尼"	"ni阳平"	""	""	""	""
"1315"	"呢"	"呢"	"ni阳平"	""	""	""	""
"1316"	"呢"	"呢"	"ne阳平"	""	""	""	""
"1317"	"膩"	"腻"	"dzu阳上"	"俗"	""	""	""
"1318"	"膩"	"腻"	"ni阳上"	"文"	""	""	""
"1319"	"梨"	"梨"	"lai阳平"	"白"	""	""	""
"1320"	"梨"	"梨"	"li阳平"	"文"	""	""	""
"1321"	"履"	"履"	"li阴上"	""	""	""	""
"1322"	"利"	"利"	"li去声"	"文"	""	""	""
"1323"	"利"	"利"	"lai去声"	"白"	""	""	""
"1324"	"痢"	"痢"	"li去声"	""	""	""	""
"1325"	"咨"	"咨"	"tsu阴平"	""	""	""	""
"1326"	"資"	"资"	"tsu阴平"	""	""	""	""
"1327"	"姿"	"姿"	"tsu阴平"	""	""	""	""
"1328"	"姊"	"姊"	"tsi阴上"	""	""	""	""
"1329"	"次"	"次"	"tsʰu去声"	""	""	""	""
"1330"	"瓷"	"瓷"	"tsʰu阳平"	""	""	""	""
"1331"	"糍"	"糍"	"tsʰu阳平"	"文"	""	""	""
"1332"	"糍"	"糍"	"tsi阳平"	"白"	""	""	""
"1333"	"自"	"自"	"tsu去声"	""	""	""	""
"1334"	"私"	"私"	"su阴平"	"文"	""	""	""
"1335"	"私"	"私"	"si阴平"	"文"	""	""	""
"1336"	"私"	"私"	"sai阴平"	"白"	""	""	""
"1337"	"死"	"死"	"si阴上"	"白"	""	""	""
"1338"	"死"	"死"	"su阴上"	"文"	""	""	""
"1339"	"四"	"四"	"si去声"	"白"	""	""	""
"1340"	"四"	"四"	"su去声"	"文"	""	""	""
"1341"	"肆"	"肆"	"si去声"	"白"	""	""	""
"1342"	"肆"	"肆"	"su去声"	"文"	""	""	""
"1343"	"致"	"致"	"ti去声"	"白"	""	""	""
"1344"	"致"	"致"	"tsi去声"	"文"	""	""	""
"1345"	"遲"	"迟"	"ti阳平"	"白"	""	""	""
"1346"	"遲"	"迟"	"tsʰi阳平"	"文"	""	""	""
"1347"	"雉"	"雉"	"ti阳上"	""	""	""	""
"1348"	"稚"	"稚"	"ti去声"	"白"	""	""	""
"1349"	"稚"	"稚"	"tsi去声"	"文"	""	""	""
"1350"	"師"	"师"	"sai阴平"	"白"	""	""	""
"1351"	"師"	"师"	"su阴平"	"文"	""	""	""
"1352"	"獅"	"狮"	"sai阴平"	"白"	""	""	""
"1353"	"獅"	"狮"	"su阴平"	"文"	""	""	""
"1354"	"脂"	"脂"	"tsi阴平"	""	""	""	""
"1355"	"指"	"指"	"tsi阴上"	"文"	""	""	""
"1356"	"指"	"指"	"tsaĩ阴上"	"白"	""	""	""
"1357"	"指"	"指"	"ki阴上"	"白"	""	""	""
"1358"	"旨"	"旨"	"tsi阴上"	""	""	""	""
"1359"	"至"	"至"	"tsi去声"	""	""	""	""
"1360"	"鴟"	"鸱"	"tsʰi阴平"	""	""	""	""
"1361"	"示"	"示"	"si去声"	""	""	""	""
"1362"	"尸"	"尸"	"si阴平"	""	""	""	""
"1363"	"鈰"	"铈"	"tsʰi阳上"	""	""	""	""
"1364"	"矢"	"矢"	"si阴上"	""	""	""	""
"1365"	"屎"	"屎"	"sai阴上"	""	""	""	""
"1366"	"嗜"	"嗜"	"si去声"	""	""	""	""
"1367"	"視"	"视"	"si阳上"	""	""	""	""
"1368"	"視"	"视"	"si去声"	""	""	""	""
"1369"	"二"	"二"	"dzi阳上"	"文"	""	""	""
"1370"	"二"	"二"	"o去声"	"新文"	""	""	""
"1371"	"貳"	"贰"	"dzi阳上"	""	""	""	""
"1372"	"肌"	"肌"	"ki阴平"	""	""	""	""
"1373"	"飢"	"饥"	"ki阴平"	""	""	""	""
"1374"	"几"	"几"	"ki阴上"	"文"	""	""	""
"1375"	"几"	"几"	"kui阴上"	"白"	""	""	""
"1376"	"几"	"几"	"kua阴上"	"俗"	""	""	""
"1377"	"冀"	"冀"	"ki去声"	""	""	""	""
"1378"	"器"	"器"	"kʰi去声"	""	""	""	""
"1379"	"棄"	"弃"	"kʰi去声"	""	""	""	""
"1380"	"祈"	"祈"	"kʰi阳平"	""	""	""	""
"1381"	"鰭"	"鳍"	"ki阳平"	""	""	""	""
"1382"	"耆"	"耆"	"ki阳平"	""	""	""	""
"1383"	"伊"	"伊"	"i阴平"	""	""	""	""
"1384"	"懿"	"懿"	"i阳上"	""	""	""	""
"1385"	"夷"	"夷"	"i阳平"	""	""	""	""
"1386"	"姨"	"姨"	"i阳平"	""	""	""	""
"1387"	"肄"	"肄"	"i去声"	""	""	""	""
"1388"	"你"	"你"	"lu阴上"	"替"	""	""	""
"1389"	"你"	"你"	"ni阴上"	""	""	""	""
"1390"	"厘"	"厘"	"li阳平"	""	""	""	""
"1391"	"李"	"李"	"li阴上"	""	""	""	""
"1392"	"理"	"理"	"li阴上"	""	""	""	""
"1393"	"里"	"里"	"li阴上"	"文"	""	""	""
"1394"	"里"	"里"	"lai阳上"	"白"	""	""	""
"1395"	"裏"	"里"	"li阴上"	"文"	""	""	""
"1396"	"裏"	"里"	"lai阳上"	"白"	""	""	""
"1397"	"鯉"	"鲤"	"li阴上"	""	""	""	""
"1398"	"吏"	"吏"	"li去声"	""	""	""	""
"1399"	"兹"	"兹"	"tsu阴平"	""	""	""	""
"1400"	"兹"	"兹"	"tsʰu阳平"	""	""	""	""
"1401"	"滋"	"滋"	"tsu阴平"	""	""	""	""
"1402"	"子"	"子"	"tsi阴上"	"白"	""	""	""
"1403"	"子"	"子"	"tsu阴上"	"文"	""	""	""
"1404"	"梓"	"梓"	"tsi阴上"	""	""	""	""
"1405"	"磁"	"磁"	"tsʰu阳平"	""	""	""	""
"1406"	"磁"	"磁"	"tsʰi阳平"	""	""	""	""
"1407"	"慈"	"慈"	"tsʰu阳平"	""	""	""	""
"1408"	"字"	"字"	"dzi去声"	""	""	""	""
"1409"	"司"	"司"	"si阴平"	"白"	""	""	""
"1410"	"司"	"司"	"su阴平"	"文"	""	""	""
"1411"	"絲"	"丝"	"si阴平"	""	""	""	""
"1412"	"思"	"思"	"si阴平"	"白"	""	""	""
"1413"	"思"	"思"	"su阴平"	"文"	""	""	""
"1414"	"思"	"思"	"su去声"	"文"	""	""	""
"1415"	"伺"	"伺"	"si去声"	""	""	""	""
"1416"	"辭"	"辞"	"si阳平"	"白"	""	""	""
"1417"	"辭"	"辞"	"su阳平"	"文"	""	""	""
"1418"	"詞"	"词"	"su阳平"	""	""	""	""
"1419"	"祠"	"祠"	"su阳平"	""	""	""	""
"1420"	"祠"	"祠"	"su阳上"	"又"	""	""	""
"1421"	"巳"	"巳"	"dzi阳上"	""	""	""	""
"1422"	"祀"	"祀"	"su阳上"	""	""	""	""
"1423"	"似"	"似"	"si阳上"	"白"	""	""	""
"1424"	"似"	"似"	"su阳上"	"文"	""	""	""
"1425"	"寺"	"寺"	"tsĩ去声"	""	""	""	""
"1426"	"嗣"	"嗣"	"si去声"	"白"	""	""	""
"1427"	"嗣"	"嗣"	"su阳上"	"文"	""	""	""
"1428"	"飼"	"饲"	"tsʰi去声"	""	""	""	""
"1429"	"置"	"置"	"ti去声"	"白"	""	""	""
"1430"	"置"	"置"	"tsi去声"	"文"	""	""	""
"1431"	"痴"	"痴"	"tsʰi阴平"	""	""	""	""
"1432"	"耻"	"耻"	"tsʰi阴上"	""	""	""	""
"1433"	"持"	"持"	"tʰi阳平"	"白"	""	""	""
"1434"	"持"	"持"	"tsʰi阳平"	"文"	""	""	""
"1435"	"峙"	"峙"	"si阳上"	"白"	""	""	""
"1436"	"峙"	"峙"	"su阳上"	"文"	""	""	""
"1437"	"痔"	"痔"	"ti阳上"	""	""	""	""
"1438"	"治"	"治"	"ti阳平"	"文"	""	""	""
"1439"	"治"	"治"	"ti去声"	"文"	""	""	""
"1440"	"治"	"治"	"tʰai阳平"	"白"	""	""	""
"1441"	"輜"	"辎"	"tsu阴平"	""	""	""	""
"1442"	"廁"	"厕"	"tsʰe去声"	""	""	""	""
"1443"	"俟"	"俟"	"su阳上"	""	""	""	""
"1444"	"俟"	"俟"	"kʰi阳平"	"姓氏音"	""	""	""
"1445"	"士"	"士"	"si阳上"	"白"	""	""	""
"1446"	"士"	"士"	"su阳上"	"文"	""	""	""
"1447"	"事"	"事"	"su阳上"	""	""	""	""
"1448"	"事"	"事"	"su去声"	""	""	""	""
"1449"	"事"	"事"	"tai去声"	"替"	""	""	""
"1450"	"史"	"史"	"su阴上"	"文"	""	""	""
"1451"	"使"	"使"	"sai阴上"	"白"	""	""	""
"1452"	"使"	"使"	"sai去声"	"白"	""	""	""
"1453"	"使"	"使"	"su阴上"	"文"	""	""	""
"1454"	"使"	"使"	"su去声"	"文"	""	""	""
"1455"	"駛"	"驶"	"sai阴上"	"白"	""	""	""
"1456"	"駛"	"驶"	"su阴上"	"文"	""	""	""
"1457"	"芝"	"芝"	"tsu阴平"	""	""	""	""
"1458"	"之"	"之"	"tsu阴平"	""	""	""	""
"1459"	"址"	"址"	"tsi阴上"	""	""	""	""
"1460"	"止"	"止"	"tsi阴上"	""	""	""	""
"1461"	"趾"	"趾"	"tsi阴上"	""	""	""	""
"1462"	"志"	"志"	"tsi去声"	""	""	""	""
"1463"	"誌"	"志"	"tsi去声"	""	""	""	""
"1464"	"痣"	"痣"	"ki去声"	"白"	""	""	""
"1465"	"痣"	"痣"	"tsi去声"	"文"	""	""	""
"1466"	"嗤"	"嗤"	"tsʰi阴平"	""	""	""	""
"1467"	"齒"	"齿"	"kʰi阴上"	"白"	""	""	""
"1468"	"齒"	"齿"	"tsʰi阴上"	"文"	""	""	""
"1469"	"詩"	"诗"	"si阴平"	""	""	""	""
"1470"	"始"	"始"	"si阴上"	""	""	""	""
"1471"	"試"	"试"	"tsʰi去声"	""	""	""	""
"1472"	"時"	"时"	"si阳平"	""	""	""	""
"1473"	"鰣"	"鲥"	"si阳平"	""	""	""	""
"1474"	"市"	"市"	"tsʰi阳上"	""	""	""	""
""	"市"	"市"	"su阴上"	""	""	""	""
"1475"	"恃"	"恃"	"si阳上"	""	""	""	""
"1476"	"侍"	"侍"	"si去声"	""	""	""	""
"1477"	"而"	"而"	"dzu阳平"	""	""	""	""
"1478"	"而"	"而"	"dzi阳平"	""	""	""	""
"1479"	"耳"	"耳"	"hĩ阳上"	"白"	""	""	""
"1480"	"耳"	"耳"	"dzi阴上"	"文"	""	""	""
"1481"	"餌"	"饵"	"dzi去声"	""	""	""	""
"1482"	"基"	"基"	"ki阴平"	""	""	""	""
"1483"	"姬"	"姬"	"ki阴平"	""	""	""	""
"1484"	"己"	"己"	"ki阴上"	""	""	""	""
"1485"	"己"	"己"	"ki去声"	"用于家己"	""	""	""
"1486"	"紀"	"纪"	"ki阴上"	""	""	""	""
"1487"	"紀"	"纪"	"ki去声"	"俗"	""	""	""
"1488"	"記"	"记"	"ki去声"	""	""	""	""
"1489"	"欺"	"欺"	"kʰi阴平"	""	""	""	""
"1490"	"起"	"起"	"kʰi阴上"	""	""	""	""
"1491"	"杞"	"杞"	"ki阴上"	""	""	""	""
"1492"	"棋"	"棋"	"ki阳平"	""	""	""	""
"1493"	"其"	"其"	"kʰi阳平"	""	""	""	""
"1494"	"旗"	"旗"	"ki阳平"	""	""	""	""
"1495"	"期"	"期"	"kʰi阳平"	""	""	""	""
"1496"	"期"	"期"	"ki阴平"	""	""	""	""
"1497"	"忌"	"忌"	"ki去声"	""	""	""	""
"1498"	"忌"	"忌"	"kʰi去声"	""	""	""	""
"1499"	"疑"	"疑"	"ŋi阳平"	""	""	""	""
"1500"	"擬"	"拟"	"ŋi阴上"	""	""	""	""
"1501"	"嘻"	"嘻"	"hi阴平"	""	""	""	""
"1502"	"嬉"	"嬉"	"hi阴平"	""	""	""	""
"1503"	"禧"	"禧"	"hi阴平"	""	""	""	""
"1504"	"熙"	"熙"	"hi阴平"	""	""	""	""
"1505"	"喜"	"喜"	"hi阴上"	""	""	""	""
"1506"	"醫"	"医"	"ui阴平"	"白"	""	""	""
"1507"	"醫"	"医"	"i阴平"	"文"	""	""	""
"1508"	"意"	"意"	"i去声"	""	""	""	""
"1509"	"矣"	"矣"	"hi阴上"	""	""	""	""
"1510"	"怡"	"怡"	"i阳平"	""	""	""	""
"1511"	"貽"	"贻"	"i阳平"	""	""	""	""
"1512"	"已"	"已"	"i阴上"	""	""	""	""
"1513"	"已"	"已"	"ĩ阴上"	""	""	""	""
"1514"	"以"	"以"	"i阴上"	""	""	""	""
"1515"	"以"	"以"	"ĩ阴上"	""	""	""	""
"1516"	"異"	"异"	"i去声"	""	""	""	""
"1517"	"機"	"机"	"kui阴平"	"白"	""	""	""
"1518"	"機"	"机"	"ki阴平"	"文"	""	""	""
"1519"	"鉿"	"铪"	"kap阴入"	""	""	""	""
"1520"	"譏"	"讥"	"ki阴平"	""	""	""	""
"1521"	"饑"	"饥"	"ki阴平"	""	""	""	""
"1522"	"幾"	"几"	"ki阴上"	"文"	""	""	""
"1523"	"幾"	"几"	"kui阴上"	"白"	""	""	""
"1524"	"幾"	"几"	"kua阴上"	"又"	""	""	""
"1525"	"既"	"既"	"ki去声"	""	""	""	""
"1526"	"豈"	"岂"	"kʰi阴上"	""	""	""	""
"1527"	"氣"	"气"	"kʰui去声"	"白"	""	""	""
"1528"	"氣"	"气"	"kʰi去声"	"文"	""	""	""
"1529"	"汽"	"汽"	"kʰi去声"	""	""	""	""
"1530"	"沂"	"沂"	"gi阳平"	""	""	""	""
"1531"	"毅"	"毅"	"ŋi去声"	""	""	""	""
"1532"	"希"	"希"	"hi阴平"	""	""	""	""
"1533"	"稀"	"稀"	"hi阴平"	""	""	""	""
"1534"	"依"	"依"	"i阴平"	""	""	""	""
"1535"	"衣"	"衣"	"i阴平"	"文"	""	""	""
"1536"	"衣"	"衣"	"ui阴平"	"白"	""	""	""
"1537"	"累"	"累"	"lui阴上"	""	""	""	""
"1538"	"累"	"累"	"lui去声"	""	""	""	""
"1539"	"嘴"	"嘴"	"tsʰui去声"	""	""	""	""
"1540"	"髓"	"髓"	"sue阴上"	"白"	""	""	""
"1541"	"髓"	"髓"	"sui阴上"	"文"	""	""	""
"1542"	"隨"	"随"	"sui阳平"	""	""	""	""
"1543"	"揣"	"揣"	"tsʰui阴上"	""	""	""	""
"1544"	"吹"	"吹"	"tsʰue阴平"	""	""	""	""
"1545"	"吹"	"吹"	"tsʰe阴平"	"风筝口语"	""	""	""
"1546"	"炊"	"炊"	"tsʰue阴平"	""	""	""	""
"1547"	"垂"	"垂"	"sue阳平"	"白"	""	""	""
"1548"	"垂"	"垂"	"sui阳平"	"文"	""	""	""
"1549"	"睡"	"睡"	"sui阳上"	""	""	""	""
"1550"	"瑞"	"瑞"	"sui去声"	""	""	""	""
"1551"	"蕊"	"蕊"	"lui阴上"	""	""	""	""
"1552"	"規"	"规"	"kui阴平"	""	""	""	""
"1553"	"詭"	"诡"	"kui阴上"	""	""	""	""
"1554"	"虧"	"亏"	"kʰui阴平"	""	""	""	""
"1555"	"窺"	"窥"	"kʰui阴平"	""	""	""	""
"1556"	"跪"	"跪"	"kui阳上"	""	""	""	""
"1557"	"危"	"危"	"ŋui阳平"	""	""	""	""
"1558"	"危"	"危"	"mui阳平"	"又"	""	""	""
"1559"	"偽"	"伪"	"ŋui阳上"	""	""	""	""
"1560"	"麾"	"麾"	"hui阴平"	""	""	""	""
"1561"	"毁"	"毁"	"hui阴上"	""	""	""	""
"1562"	"委"	"委"	"ui阴上"	""	""	""	""
"1563"	"喂"	"喂"	"ue去声"	""	""	""	""
"1564"	"為"	"为"	"ui阳平"	""	""	""	""
"1565"	"為"	"为"	"ui去声"	""	""	""	""
"1566"	"壘"	"垒"	"lui阴上"	""	""	""	""
"1567"	"類"	"类"	"lui去声"	""	""	""	""
"1568"	"淚"	"泪"	"lui阳上"	""	""	""	""
"1569"	"醉"	"醉"	"tsui去声"	""	""	""	""
"1570"	"翠"	"翠"	"tsʰui去声"	""	""	""	""
"1571"	"悴"	"悴"	"tsui去声"	""	""	""	""
"1572"	"綏"	"绥"	"sui阴平"	""	""	""	""
"1573"	"雖"	"虽"	"sui阴平"	""	""	""	""
"1574"	"粹"	"粹"	"tsʰui去声"	""	""	""	""
"1575"	"遂"	"遂"	"sui去声"	""	""	""	""
"1576"	"隧"	"隧"	"sui阳上"	""	""	""	""
"1577"	"穗"	"穗"	"sui去声"	""	""	""	""
"1578"	"追"	"追"	"tui阴平"	""	""	""	""
"1579"	"槌"	"槌"	"tʰui阳平"	""	""	""	""
"1580"	"錘"	"锤"	"tui阳平"	""	""	""	""
"1581"	"錘"	"锤"	"tʰui阳平"	""	""	""	""
"1582"	"墜"	"坠"	"tui去声"	""	""	""	""
"1583"	"衰"	"衰"	"sue阴平"	"白"	""	""	""
"1584"	"衰"	"衰"	"sui阴平"	"文"	""	""	""
"1585"	"摔"	"摔"	"suk阴入"	"替"	""	""	""
"1586"	"摔"	"摔"	"siak阴入"	"替"	""	""	""
"1587"	"摔"	"摔"	"sek阴入"	"替"	""	""	""
"1588"	"摔"	"摔"	"siaŋ去声"	"替"	""	""	""
"1589"	"帥"	"帅"	"sue去声"	"白"	""	""	""
"1590"	"帥"	"帅"	"sui去声"	"文"	""	""	""
"1591"	"率"	"率"	"suk阴入"	""	""	""	""
"1592"	"錐"	"锥"	"tsui阴平"	""	""	""	""
"1593"	"水"	"水"	"tsui阴上"	"白"	""	""	""
"1594"	"水"	"水"	"sui阴上"	"文"	""	""	""
"1595"	"誰"	"谁"	"sui阳平"	""	""	""	""
"1596"	"龜"	"龟"	"ku阴平"	"白"	""	""	""
"1597"	"龜"	"龟"	"kiu阴平"	"文"	""	""	""
"1598"	"龜"	"龟"	"kʰiu阴平"	"文"	""	""	""
"1599"	"軌"	"轨"	"kui阴上"	""	""	""	""
"1600"	"癸"	"癸"	"kui阴上"	""	""	""	""
"1601"	"晷"	"晷"	"kui阴上"	""	""	""	""
"1602"	"愧"	"愧"	"kʰui去声"	""	""	""	""
"1603"	"季"	"季"	"kʰui去声"	"白"	""	""	""
"1604"	"季"	"季"	"ki去声"	"文"	""	""	""
"1605"	"葵"	"葵"	"kue阳平"	"白"	""	""	""
"1606"	"葵"	"葵"	"kʰui阳平"	"文"	""	""	""
"1607"	"逵"	"逵"	"kʰui阳平"	""	""	""	""
"1608"	"夔"	"夔"	"kʰui阳平"	""	""	""	""
"1609"	"揆"	"揆"	"kʰui阳平"	""	""	""	""
"1610"	"櫃"	"柜"	"kui去声"	""	""	""	""
"1611"	"帷"	"帷"	"ui阳平"	""	""	""	""
"1612"	"位"	"位"	"ui去声"	""	""	""	""
"1613"	"維"	"维"	"dzui阳平"	""	""	""	""
"1614"	"惟"	"惟"	"dzui阳平"	""	""	""	""
"1615"	"遺"	"遗"	"dzui阳平"	""	""	""	""
"1616"	"唯"	"唯"	"dzui阳平"	""	""	""	""
"1617"	"飛"	"飞"	"pue阴平"	"白"	""	""	""
"1618"	"飛"	"飞"	"hui阴平"	"文"	""	""	""
"1619"	"非"	"非"	"hui阴平"	""	""	""	""
"1620"	"匪"	"匪"	"huĩ阴上"	""	""	""	""
"1621"	"沸"	"沸"	"pui去声"	"白"	""	""	""
"1622"	"沸"	"沸"	"hui去声"	"文"	""	""	""
"1623"	"痱"	"痱"	"mui去声"	""	""	""	""
"1624"	"妃"	"妃"	"hui阴平"	""	""	""	""
"1625"	"菲"	"菲"	"hui阴平"	""	""	""	""
"1626"	"費"	"费"	"hui去声"	"文"	""	""	""
"1627"	"肥"	"肥"	"pui阳平"	"白"	""	""	""
"1628"	"肥"	"肥"	"hui阳平"	"文"	""	""	""
"1629"	"薇"	"薇"	"mui阳平"	""	""	""	""
"1630"	"微"	"微"	"mui阳平"	""	""	""	""
"1631"	"微"	"微"	"mi阳平"	""	""	""	""
"1632"	"微"	"微"	"bi阳平"	""	""	""	""
"1633"	"尾"	"尾"	"bue阴上"	"白"	""	""	""
"1634"	"未"	"未"	"bue去声"	"白"	""	""	""
"1635"	"未"	"未"	"bi去声"	"文"	""	""	""
"1636"	"味"	"味"	"bi去声"	""	""	""	""
"1637"	"歸"	"归"	"kui阴平"	""	""	""	""
"1638"	"鬼"	"鬼"	"kui阴上"	""	""	""	""
"1639"	"貴"	"贵"	"kui去声"	""	""	""	""
"1640"	"巍"	"巍"	"ŋui阳平"	""	""	""	""
"1641"	"魏"	"魏"	"ŋui去声"	""	""	""	""
"1642"	"揮"	"挥"	"hui阴平"	""	""	""	""
"1643"	"輝"	"辉"	"hui阴平"	""	""	""	""
"1644"	"徽"	"徽"	"hui阴平"	""	""	""	""
"1645"	"諱"	"讳"	"hui去声"	""	""	""	""
"1646"	"卉"	"卉"	"hui阴上"	""	""	""	""
"1647"	"威"	"威"	"ui阴平"	""	""	""	""
"1648"	"畏"	"畏"	"ui去声"	""	""	""	""
"1649"	"慰"	"慰"	"ue去声"	"白"	""	""	""
"1650"	"慰"	"慰"	"ui去声"	"文"	""	""	""
"1651"	"違"	"违"	"ui阳平"	""	""	""	""
"1652"	"圍"	"围"	"ui阳平"	""	""	""	""
"1653"	"葦"	"苇"	"ui阴上"	""	""	""	""
"1654"	"偉"	"伟"	"ui阴上"	""	""	""	""
"1655"	"緯"	"纬"	"hui去声"	"白"	""	""	""
"1656"	"緯"	"纬"	"ui阴上"	"俗"	""	""	""
"1657"	"胃"	"胃"	"ui去声"	""	""	""	""
"1658"	"謂"	"谓"	"ui去声"	""	""	""	""
"1659"	"謂"	"谓"	"ui阳上"	""	""	""	""
"1660"	"猬"	"猬"	"ui去声"	""	""	""	""
"1661"	"褒"	"褒"	"pau阴平"	""	""	""	""
"1662"	"保"	"保"	"po阴上"	"白"	""	""	""
"1663"	"保"	"保"	"pau阴上"	"文"	""	""	""
"1664"	"堡"	"堡"	"pau阴上"	""	""	""	""
"1665"	"寶"	"宝"	"po阴上"	"白"	""	""	""
"1666"	"寶"	"宝"	"pau阴上"	"文"	""	""	""
"1667"	"報"	"报"	"po去声"	"白"	""	""	""
"1668"	"報"	"报"	"pau去声"	"文"	""	""	""
"1669"	"袍"	"袍"	"pʰau阳平"	""	""	""	""
"1670"	"抱"	"抱"	"po阳上"	"白"	""	""	""
"1671"	"抱"	"抱"	"pau阳上"	"文"	""	""	""
"1672"	"暴"	"暴"	"pau阳上"	""	""	""	""
"1673"	"暴"	"暴"	"pʰak阳入"	""	""	""	""
"1674"	"毛"	"毛"	"mo阳平"	"白"	""	""	""
"1675"	"毛"	"毛"	"mau阳平"	"文"	""	""	""
"1676"	"冒"	"冒"	"mau阳上"	""	""	""	""
"1677"	"冒"	"冒"	"mok阳入"	"冒顿"	""	""	""
"1678"	"帽"	"帽"	"bo去声"	""	""	""	""
"1679"	"刀"	"刀"	"to阴平"	"白"	""	""	""
"1680"	"刀"	"刀"	"tau阴平"	"文"	""	""	""
"1681"	"叨"	"叨"	"tʰau阴平"	""	""	""	""
"1682"	"叨"	"叨"	"tau阴平"	""	""	""	""
"1683"	"倒"	"倒"	"to阴上"	"白"	""	""	""
"1684"	"倒"	"倒"	"to去声"	"白"	""	""	""
"1685"	"倒"	"倒"	"tau阴上"	"文"	""	""	""
"1686"	"倒"	"倒"	"tau去声"	"文"	""	""	""
"1687"	"島"	"岛"	"tau阴上"	""	""	""	""
"1688"	"禱"	"祷"	"tau阴上"	""	""	""	""
"1689"	"到"	"到"	"tau去声"	""	""	""	""
"1690"	"到"	"到"	"kau去声"	"训"	""	""	""
"1691"	"掏"	"掏"	"tʰau阴平"	""	""	""	""
"1692"	"掏"	"掏"	"tʰau阳平"	""	""	""	""
"1693"	"滔"	"滔"	"tʰau阴平"	""	""	""	""
"1694"	"討"	"讨"	"tʰo阴上"	"白"	""	""	""
"1695"	"討"	"讨"	"tʰau阴上"	"文"	""	""	""
"1696"	"套"	"套"	"tʰau去声"	""	""	""	""
"1697"	"桃"	"桃"	"to阳平"	"白"	""	""	""
"1698"	"桃"	"桃"	"tʰo阳平"	"白"	""	""	""
"1699"	"桃"	"桃"	"tʰau阳平"	"文"	""	""	""
"1700"	"逃"	"逃"	"to阳平"	""	""	""	""
"1701"	"陶"	"陶"	"tʰau阳平"	""	""	""	""
"1702"	"陶"	"陶"	"iau阳平"	""	""	""	""
"1703"	"萄"	"萄"	"tʰo阳平"	""	""	""	""
"1704"	"濤"	"涛"	"tʰiu阳平"	"白"	""	""	""
"1705"	"濤"	"涛"	"tʰau阳平"	"文"	""	""	""
"1706"	"稻"	"稻"	"tiu阳上"	"白"	""	""	""
"1707"	"稻"	"稻"	"tau阳上"	"文"	""	""	""
"1708"	"道"	"道"	"tau阳上"	"文"	""	""	""
"1709"	"道"	"道"	"to阳上"	"白"	""	""	""
"1710"	"導"	"导"	"tau阳上"	""	""	""	""
"1711"	"盗"	"盗"	"tau阳上"	""	""	""	""
"1712"	"腦"	"脑"	"nau阴上"	"文"	""	""	""
"1713"	"腦"	"脑"	"lo阴上"	"白"	""	""	""
"1714"	"惱"	"恼"	"nau阴上"	"文"	""	""	""
"1715"	"惱"	"恼"	"lo阴上"	"白"	""	""	""
"1716"	"勞"	"劳"	"lau阳平"	"文"	""	""	""
"1717"	"勞"	"劳"	"lo阳平"	"白"	""	""	""
"1718"	"撈"	"捞"	"lau阳平"	"文"	""	""	""
"1719"	"撈"	"捞"	"lio阳平"	"俗"	""	""	""
"1720"	"撈"	"捞"	"liau阳平"	"俗"	""	""	""
"1721"	"嘮"	"唠"	"lau阳平"	""	""	""	""
"1722"	"牢"	"牢"	"lau阳平"	"文"	""	""	""
"1723"	"牢"	"牢"	"lo阳平"	"白"	""	""	""
"1724"	"牢"	"牢"	"tiau阳平"	"俗"	""	""	""
"1725"	"老"	"老"	"lau阳上"	"白"	""	""	""
"1726"	"老"	"老"	"lau阴上"	"文"	""	""	""
"1727"	"遭"	"遭"	"tsau阴平"	""	""	""	""
"1728"	"糟"	"糟"	"tsau阴平"	""	""	""	""
"1729"	"糟"	"糟"	"tso阴平"	""	""	""	""
"1730"	"早"	"早"	"tsau阴平"	"文"	""	""	""
"1731"	"早"	"早"	"tsa阴平"	"白"	""	""	""
"1732"	"棗"	"枣"	"tsau阴上"	"文"	""	""	""
"1733"	"棗"	"枣"	"tso阴上"	"白"	""	""	""
"1734"	"蚤"	"蚤"	"tsau阴上"	""	""	""	""
"1735"	"澡"	"澡"	"tsau阴上"	""	""	""	""
"1736"	"躁"	"躁"	"tsau去声"	""	""	""	""
"1737"	"灶"	"灶"	"tsau去声"	""	""	""	""
"1738"	"操"	"操"	"tsʰau阴平"	""	""	""	""
"1739"	"操"	"操"	"tsʰau去声"	""	""	""	""
"1740"	"造"	"造"	"tsau阳上"	"文"	""	""	""
"1741"	"造"	"造"	"tso阳上"	"白"	""	""	""
"1742"	"草"	"草"	"tsʰau阴上"	"文"	""	""	""
