"繁體"	"简体"	"拼音"	"音標"	"註釋"	"聲"	"韻"	"調"
"多"	"多"	"tou1"	"tɤu˦˦"		"t"	"ɤu"	"˦˦"
"他"	"他"	"thao1"	"tʰɔ˦˦"		"tʰ"	"ɔ"	"˦˦"
"舵"	"舵"	"dou4"	"dɤu˩˧"		"d"	"ɤu"	"˩˧"
"大"	"大"	"dou6"	"dɤu˨˨"	"大，大個之物"	"d"	"ɤu"	"˨˨"
"拖"	"拖"	"thou1"	"tʰɤu˦˦"		"tʰ"	"ɤu"	"˦˦"
"駝"	"驼"	"dou2"	"dɤu˧˩"		"d"	"ɤu"	"˧˩"
"陀"	"陀"	"dou2"	"dɤu˧˩"		"d"	"ɤu"	"˧˩"
"馱"	"驮"	"dou2"	"dɤu˧˩"		"d"	"ɤu"	"˧˩"
"挪"	"挪"	"no6"	"no˨˨"		"n"	"o"	"˨˨"
"羅"	"罗"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"鑼"	"锣"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"籮"	"箩"	"lou2"	"lɤu˧˩"		"l"	"ɤu"	"˧˩"
"左"	"左"	"tsou3"	"tsɤu˧˥"		"ts"	"ɤu"	"˧˥"
"佐"	"佐"	"tsou3"	"tsɤu˧˥"		"ts"	"ɤu"	"˧˥"
"做"	"做"	"tsou5"	"tsɤu˥˨"		"ts"	"ɤu"	"˥˨"
"搓"	"搓"	"tshou1"	"tsʰɤu˦˦"		"tsʰ"	"ɤu"	"˦˦"
"娑"	"娑"	"sou1"	"sɤu˦˦"		"s"	"ɤu"	"˦˦"
"歌"	"歌"	"ku1"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"哥"	"哥"	"ku1"	"kʋ˦˦"		"k"	"ʋ"	"˦˦"
"個"	"个"	"i0"	"ʔiØ"	"的、地"	"ʔ"	"i"	"Ø"
"個"	"个"	"kai5"	"kai˥˨"	"個，這"	"k"	"ai"	"˥˨"
"軻"	"轲"	"kho3"	"kʰo˧˥"		"kʰ"	"o"	"˧˥"
"可"	"可"	"kho3"	"kʰo˧˥"		"kʰ"	"o"	"˧˥"
"蛾"	"蛾"	"me2"	"me˧˩"		"m"	"e"	"˧˩"
"鵝"	"鹅"	"ng2"	"ŋ˧˩"		"Ø"	"ŋ"	"˧˩"
"俄"	"俄"	"ng2"	"ŋ˧˩"		"Ø"	"ŋ"	"˧˩"
"我"	"我"	"ng4"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"餓"	"饿"	"ngai6"	"ŋai˨˨"		"ŋ"	"ai"	"˨˨"
"何"	"何"	"vu2"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"河"	"河"	"vu2"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"荷"	"荷"	"vu6"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
