"繁體"	"简体"	"聲韻"	"聲調"	"注釋"		"1：˧˧"	"2：˧˩"
"□"	"□"	"biɛ"	31	"跨過"		"3：˧˥"	
"□"	"□"	"bo"	31			"5：˦˨"	"6：˨˨"
"便"	"便"	"bei"	31	"便宜"		"7：˨˩˧"	
"便"	"便"	"bi"	31	"～宜"			
"俳"	"俳"	"ba"	31	"～優"			
"傍"	"傍"	"buɔ"	31				
"刨"	"刨"	"buɔ"	31				
"剽"	"剽"	"biɛ"	31				
"匍"	"匍"	"bu"	31				
"咆"	"咆"	"buɔ"	31				
"坌"	"坌"	"baŋ"	31	"坌塵"			
"坒"	"坒"	"bei"	31	"量詞一層，一～磚"			
"坪"	"坪"	"beŋ"	31				
"埤"	"埤"	"bei"	31				
"培"	"培"	"bai"	31				
"塳"	"塳"	"boŋ"	31	"～塵"			
"婆"	"婆"	"bøy"	31				
"嫖"	"嫖"	"biɛ"	31				
"屏"	"屏"	"beŋ"	31				
"巴"	"巴"	"bo"	31				
"巴"	"巴"	"bo"	31	"下～"			
"平"	"平"	"beŋ"	31				
"庖"	"庖"	"buɔ"	31				
"彭"	"彭"	"biɛ"	31				
"彷"	"彷"	"buɔ"	31	"～徨"			
"徘"	"徘"	"bai"	31				
"憑"	"凭"	"beŋ"	31				
"扒"	"扒"	"bo"	31				
"抔"	"抔"	"bɜ"	31				
"掊"	"掊"	"bɜ"	31				
"排"	"排"	"ba"	31				
"描"	"描"	"biɛ"	31				
"搬"	"搬"	"bø"	31				
"旁"	"旁"	"buɔ"	31				
"朋"	"朋"	"boŋ"	31				
"杷"	"杷"	"bo"	31				
"棚"	"棚"	"biɛ"	31				
"棚"	"棚"	"boŋ"	31				
"槃"	"槃"	"bø"	31				
"樸"	"朴"	"biɛ"	31	"姓"			
"氓"	"氓"	"biɛ"	31				
"爬"	"爬"	"bo"	31				
"爿"	"爿"	"ba"	31				
"牌"	"牌"	"ba"	31				
"琵"	"琵"	"bei"	31				
"琶"	"琶"	"bo"	31				
"瓢"	"瓢"	"biɛ"	31				
"瓶"	"瓶"	"beŋ"	31				
"瓿"	"瓿"	"bai"	31	"安～"			
"甍"	"甍"	"biɛ"	31				
"疲"	"疲"	"bei"	31				
"皤"	"皤"	"bu"	31				
"皮"	"皮"	"bei"	31				
"盆"	"盆"	"bø"	31				
"盤"	"盘"	"bø"	31				
"盲"	"盲"	"biɛ"	31				
"瞄"	"瞄"	"biɛ"	31				
"硼"	"硼"	"boŋ"	31				
"磅"	"磅"	"buɔ"	31	"～秤"			
"磐"	"磐"	"bø"	31				
"磻"	"磻"	"bø"	31	"～溪，地名"			
"箄"	"箄"	"ba"	31	"筏"			
"篷"	"篷"	"boŋ"	31				
"繆"	"缪"	"biɛ"	31	"綢～"			
"罷"	"罢"	"bo"	31	"～工；～免"			
"肥"	"肥"	"bei"	31	"肥肉"			
"胼"	"胼"	"bi"	31				
"脯"	"脯"	"bu"	31				
"脾"	"脾"	"bei"	31				
"膀"	"膀"	"buɔ"	31				
"膨"	"膨"	"biɛ"	31				
"般"	"般"	"bø"	31				
"芃"	"芃"	"boŋ"	31				
"苗"	"苗"	"biɛ"	31				
"苞"	"苞"	"buɔ"	31				
"苞"	"苞"	"buɔ"	31	"花～"			
"莆"	"莆"	"bu"	31				
"菩"	"菩"	"bu"	31				
"萌"	"萌"	"biɛ"	31				
"萍"	"萍"	"beŋ"	31				
"葡"	"葡"	"bøy"	31				
