"#注释"	"浙南瓯语(颜逸明)，有一定的修改，转录者落橙"	""
"#调值"	"[1]⁵⁵[2]³¹[3]³⁵[4]²⁴[5]⁵²[6]²²[7]³²³[8]²¹²"	""
"#ɹ"	""	""
"ts"	"[1]资姿兹滋咨之芝知蜘脂[3]紫姊子梓止址趾旨指[5]至致志痣智置帜[7]只{～有}"	""
"tsʰ"	"[1]雌疵差{参～}痴[3]此耻齿[5]次剌翅眙"	""
"dz"	"[2]迟驰[4]痔恃[6]治"	""
"s"	"[1]思私司丝斯撕师狮筛诗施梳{头～}[3]死矢始史驶使[5]四肆赐试"	""
"z"	"[2]词祠饲辞慈磁機瓷嗜[[4]似巳祀是士仕市柿耳[6]字自寺侍时事视示氏而锄{～头}"	""
"#i"	""	""
"tɕ"	"[1]鸡基几{茶～}机讥饥猪支枝肢[3]己纪{年～}匹{～个}纸煮姐[5]计寄继记纪济剂挤祭际制[7]积职织浙绩迹脊只{量词，两～脚}"	""
"tɕʰ"	"[1]欺溪妻凄栖[3]起启岂且鼠[5]气汽弃器契[7]吃尺赤"	""
"dʑ"	"[2]其棋旗期麒奇骑池[4]苎[6]技妓忌箸[8]极直值植殖"	""
"ȵ"	"[1]粘[2]尼泥宜疑严研[4]你议[6]义艺毅腻验"	""
"ɕ"	"[1]希稀犀腮[3]喜[5]戏"	""
"kʰ"	"[5]去"	""
"ɡ"	"[2]佢"	""
"ˀ"	"[1]衣依医伊[2]夷姨移怡贻奚肆系{～统}[3]椅倚已[5]亿忆意以[6]夜[7]益抑[8]亦逸译易翼异液腋"	""
"#ei"	""	""
"p"	"[3]比彼毙鄙{卑～}[5]闭敝蔽鄙{～人}[7]逼臂毕必壁璧秘"	""
"pʰ"	"[1]批披[3]譬丕[5]屁[7]劈"	""
"b"	"[2]皮[4]被[6]避币弊备疲脾篦"	""
"m"	"[2]迷谜[4]米美尾[6]味未"	""
"f"	"[1]非菲斐飞[3]匪[5]肺瘁废费"	""
"v"	"[2]肥微薇[6]未"	""
"t"	"[1]低爹[3]底抵[5]帝蒂[7]的滴嫡"	""
"tʰ"	"[1]梯[3]体替{代～}[5]涕剃替{～身}[7]踢剔"	""
"d"	"[2]堤提题啼蹄[4]弟第{～～}[6]地递第{及～}[8]敌笛狄"	""
"l"	"[2]离篱梨犁黎狸厘来[4]李礼里理鲤[6]利痢吏丽厉励隶荔[8]力历"	""
"ɕ"	"[1]西牺[3]洗舍[5]细世势赦卸泻泄[7]息熄设锡薛惜识式适释"	""
"z"	"[2]齐脐徐邪蛇匙[4]社[6]射谢誓逝[8]食石蚀席籍藉"	""
"#o"	""	""
"p"	"[1]波玻坡菠[3]补谱[5]播布"	""
"pʰ"	"[1]铺{动词}[3]普颇[5]破铺{店～}"	""
"b"	"[2]婆蒲葡[4]部簿[6]步埠捕腹[8]卜仆"	""
