"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"00533"	"吵"		"tsh"	"au"	2		
"00534"	"吶"	"呐"	"n"	"eeh"		"呐喊"	
	"吶"	"呐"	"n"	"eh"			"同“讷”"
"00535"	"吠"		"v"	"i"	3		
"00536"	"吼"		"h"	"eu"	2		
							
"00538"	"吱"		"ts"	"y"	1		
"00539"	"含"		"gh"	"ee"	1		
"00540"	"吟"		"ng"	"in"	1		
"00541"	"味"		"v"	"i"	3	"吟味"	
	"味"		"m"	"i"	3	"味道"	"口语音"
"00542"	"呵"		"h"	"ou"	1		
"00543"	"咖"		"kh"	"a"	1	"咖啡"	
	"咖"		"k"	"a"	1	"咖喱"	
"00544"	"呸"		"ph"	"ei"			
"00545"	"咕"		"k"	"u"	1		
"00546"	"咀"		"ts"	"i"	2	"咀嚼"	
"00547"	"呻"		"sh"	"in"	1		
"00548"	"呷"		"h"	"aeh"			
"00549"	"咄"		"t"	"eh"			
"00550"	"咒"		"c"	"ieu"	3		
"00551"	"咆"		"b"	"au"	1		
"00552"	"呼"		"h"	"u"	1		
"00553"	"咐"		"f"	"u"	3		
"00554"	"呱"		"k"	"u"	1	"呱呱墜地"	
"00555"	"呶"		"n"	"au"	1		
"00556"	"和"		"gh"	"ou"	1	"和平"	
	"和"		"gh"	"ou"	3	"附和"	
"00557"	"咚"		"t"	"on"	1		
"00558"	"呢"		"n"	"i"	1	"呢喃"	
"00559"	"周"		"c"	"ieu"	1		
"00560"	"咋"		"z"	"ah"			
"00561"	"命"		"m"	"ieon"	3		
"00562"	"咎"		"g"	"ieu"	2		
"00563"	"咬"		"ng"	"au"	2		
"00564"	"哀"			"ai"	1		
"00565"	"咨"		"ts"	"y"	1		
"00566"	"哎"		"ng"	"ai"	3		
"00567"	"哉"		"ts"	"ai"	1		
"00568"	"咸"		"gh"	"ae"	1		
"00569"	"咦"		"gh"	"i"			
"00570"	"咳"		"kh"	"eoh"			
"00571"	"哇"			"ua"			
"00572"	"哂"		"sh"	"in"	2		
"00573"	"咽"			"ie"	1	"咽喉"	
	"咽"			"ieh"		"哽咽"	
"00574"	"咪"		"mh"	"i"	1		
"00575"	"品"		"ph"	"in"	2		
"00576"	"哄"		"h"	"on"	1	"哄鬧"	
	"哄"		"h"	"on"	2	"哄騙"	
	"哄"		"h"	"on"	3	"起哄"	
"00577"	"哈"		"h"	"a"	1		
"00578"	"咯"		"k"	"aoh"			"野鸡叫声"
"00579"	"咫"		"ts"	"y"	2		
							
"00581"	"咻"		"h"	"ieu"	1		
"00582"	"哨"		"s"	"au"	3		
"00583"	"唐"		"d"	"aon"	1		
"00584"	"唁"		"ng"	"ie"	3		
"00585"	"唷"		"gh"	"ioh"			
"00586"	"哼"		"h"	"an"	1		
"00587"	"哥"		"k"	"ou"	1		
"00588"	"哲"		"c"	"ieh"			
"00589"	"唆"		"s"	"ou"	1		
"00590"	"哺"		"b"	"u"	3		
"00591"	"唔"		"ng"	"u"			
	"唔"		"ngh"				"感叹词"
"00592"	"哩"		"l"	"i"			
"00593"	"哭"		"kh"	"oh"			
"00594"	"員"	"员"	"gh"	"ioe"	1		
"00595"	"唉"			"ai"			
"00596"	"哮"		"h"	"au"	3		
"00597"	"哪"		"n"	"o"	2		
"00598"	"哦"		"ng"	"ou"	1		
"00599"	"唧"		"ts"	"ieoh"			
"00600"	"商"		"sh"	"ian"	1		
"00601"	"啪"		"ph"	"ah"			
"00602"	"啦"		"l"	"a"			
"00603"	"啄"		"ts"	"iaoh"			
	"啄"		"t"	"oh"			"口语音"
"00604"	"啞"	"哑"		"o"	2		
"00605"	"啡"		"f"	"i"	1		
"00606"	"啃"		"kh"	"eon"	2		
"00607"	"啊"			"a"			
"00608"	"唱"		"ch"	"ian"	3		
"00609"	"啖"		"d"	"ae"	2		
"00610"	"問"	"问"	"v"	"en"	3	"問題"	
	"問"	"问"	"m"	"en"	3		"口语音"
"00611"	"啕"		"d"	"au"	1		
"00612"	"唯"		"gh"	"iu"	1	"唯獨"	
	"唯"		"gh"	"iu"	2	"唯唯諾諾"	
"00613"	"啤"		"b"	"i"	1		
"00614"	"唸"	"念"	"n"	"iae"	3		
"00615"	"售"		"zh"	"ieu"	3		
"00616"	"啜"		"ch"	"ioeh"			
"00617"	"唬"		"h"	"u"	2		
"00618"	"啣"	"衔"	"gh"	"ae"	1		
	"啣"	"衔"	"g"	"ae"	1		"口语音"
"00619"	"唳"	"唳"	"l"	"i"	3		
"00620"	"啻"		"s"	"y"	3		
"00621"	"喀"		"kh"	"ah"			
"00622"	"喧"		"h"	"ioe"	1		
"00623"	"啼"		"d"	"i"	1		
"00624"	"喊"		"h"	"ae"	2		
"00625"	"喝"		"h"	"oeh"		"喝彩"	"表示“叫喊”"
	"欱"	"喝"	"h"	"eeh"		"喝水"	"表示“饮”"
"00626"	"喘"		"ch"	"ioe"	2		
							
"00628"	"喜"		"h"	"i"	2		
"00629"	"喪"	"丧"	"s"	"aon"	1	"喪事"	
	"喪"	"丧"	"s"	"aon"	3	"喪失"	
"00630"	"喔"			"uaoh"			"鸡叫声"
							
"00632"	"喋"		"d"	"iaeh"			
"00633"	"喃"		"n"	"ae"	1		
"00634"	"喳"		"ts"	"o"	1		
"00635"	"單"	"单"	"t"	"ae"	1	"單獨，孤單"	
	"單"	"单"	"zh"	"ie"	1	"單于"	
	"單"	"单"	"zh"	"ie"	2		"姓氏"
"00636"	"喟"		"kh"	"iu"	3		
"00637"	"唾"		"th"	"ou"	3		
							
"00639"	"喚"	"唤"	"h"	"uoe"	3		
"00640"	"喻"		"gh"	"iu"	3		
"00641"	"喬"	"乔"	"g"	"iau"	1		
"00642"	"喱"		"l"	"i"	1		
"00643"	"啾"		"ts"	"ieu"	1		
"00644"	"喉"		"gh"	"eu"	1		
"00645"	"嗟"		"ts"	"ia"	1		
							
"00647"	"嗓"		"s"	"aon"	2		
							
"00649"	"嗎"	"吗"	"m"	"o"	2	"嗎啡"	
"00650"	"嗜"		"z"	"y"	3		
"00651"	"嗇"	"啬"	"s"	"eoh"			
							
"00653"	"嗣"		"z"	"y"	3		
"00654"	"嗤"		"tsh"	"y"	1		
							
"00656"	"嗚"	"呜"		"u"	1		
"00657"	"嗡"			"on"	1		
"00658"	"嗅"		"h"	"ieu"	3		
	"嗅"		"h"	"ion"	3		
"00659"	"嗆"	"呛"	"ts"	"ian"	3		
"00660"	"嗥"		"gh"	"au"	1		
"00661"	"嗾"		"s"	"eu"	2		
							
							
"00664"	"嘗"	"尝"	"zh"	"ian"	1		
"00665"	"嗽"		"s"	"eu"	3		
"00666"	"嘔"	"呕"		"eu"	2		
"00667"	"嘆"	"叹"	"th"	"ae"	3		
"00668"	"嘉"		"k"	"o"	1		
"00669"	"嘍"	"喽"	"l"	"eu"	1		
"00670"	"嘎"		"k"	"aeh"			
"00671"	"嗷"		"ng"	"au"	1		
"00672"	"嘖"	"啧"	"ts"	"ah"			
"00673"	"嘟"		"t"	"u"	1		
"00674"	"嘈"		"z"	"au"	1		
"00675"	"嘮"	"唠"	"l"	"au"	1		
"00676"	"嘻"		"h"	"i"	1		
"00677"	"嘹"		"l"	"iau"	1		
"00678"	"嘲"		"ts"	"au"	1		
							
"00680"	"嘩"	"哗"	"h"	"uo"	1		
"00681"	"噓"	"嘘"	"h"	"ei"	1		
"00682"	"噎"			"iaeh"			
							
"00684"	"噴"	"喷"	"ph"	"en"	1		
"00685"	"嘶"		"s"	"y"	1		
"00686"	"嘯"	"啸"	"s"	"iau"	3		
"00687"	"嘰"	"叽"	"k"	"i"	1		
"00688"	"噙"		"g"	"in"	1		
"00689"	"噫"			"i"	1		
"00690"	"噹"	"当"	"t"	"aon"	1		
"00691"	"噩"		"ng"	"aoh"			
"00692"	"噤"		"g"	"in"	3		
"00693"	"噸"	"吨"	"t"	"en"	1		
"00694"	"嘴"		"ts"	"iu"	2		
"00695"	"噪"		"tsh"	"au"	3		
"00696"	"器"		"kh"	"i"	3		
"00697"	"噥"	"哝"	"n"	"on"	1		
"00698"	"噱"		"g"	"iah"			
"00699"	"噯"	"嗳"		"ai"			
"00700"	"噬"		"z"	"y"	3		
"00701"	"噢"			"au"	1		"叫喊"
"00702"	"嚎"		"gh"	"au"	1		
"00703"	"嚀"	"咛"	"n"	"ieon"	1		
"00704"	"嚐"	"尝"	"zh"	"ian"	1		
"00705"	"嚅"		"n"	"iu"	1		
"00706"	"嚇"	"吓"	"h"	"ah"			
"00707"	"嚏"		"th"	"i"	3		
							
							
"00710"	"嚥"	"咽"		"iae"	3	"吞嚥"	
"00711"	"嚨"	"咙"	"l"	"on"	1		
"00712"	"嚷"		"n"	"ian"	2		
"00713"	"嚶"	"嘤"		"an"	1		
"00714"	"嚴"	"严"	"ng"	"ie"	1		
"00715"	"嚼"		"z"	"iah"			
"00716"	"囁"	"嗫"	"n"	"ieh"			
"00717"	"囀"	"啭"	"c"	"ioe"	3		
"00718"	"囂"	"嚣"	"h"	"iau"	1		
"00719"	"囈"	"呓"	"ng"	"i"	3		
"00720"	"囊"	"囊"	"n"	"aon"	1		
"00721"	"囉"	"啰"	"l"	"ou"	1		
							
"00723"	"囑"	"嘱"	"c"	"ioh"			
"00724"	"四"		"s"	"y"	3		
"00725"	"囚"		"z"	"ieu"	1		
"00726"	"因"			"in"	1		
"00727"	"回"		"gh"	"uei"	1		
"00728"	"囪"	"囱"	"tsh"	"on"	1	"煙囪"	
"00729"	"困"		"kh"	"uen"	3		
"00730"	"囤"		"d"	"en"	2		
"00731"	"固"		"k"	"u"	3		
"00732"	"圃"		"p"	"u"	2		
"00733"	"圈"		"kh"	"ioe"	1	"圆圈"	
	"圈"		"g"	"ioe"	2	"圈養，豬圈"	
"00734"	"國"	"国"	"k"	"uoh"			
"00735"	"圍"	"围"	"gh"	"iu"	1		
"00736"	"園"	"园"	"gh"	"ioe"	1		
"00737"	"圓"	"圆"	"gh"	"ioe"			
"00738"	"團"	"团"	"d"	"oe"	1		
"00739"	"圖"	"图"	"d"	"u"	1		
"00740"	"土"		"th"	"u"	3		
"00741"	"圳"		"c"	"iuin"	3	"水圳，深圳"	"引水渠"
"00742"	"地"		"d"	"i"	3		
"00743"	"在"		"z"	"ai"	2		
"00744"	"圭"		"k"	"uei"	1		
							
							
"00747"	"坊"		"f"	"aon"	1	"作坊"	
	"坊"		"v"	"aon"	1	"堤坊"	"堤坝"
"00748"	"坑"		"kh"	"an"	1		
"00749"	"址"		"ts"	"y"	2		
"00750"	"坍"		"th"	"ae"	1		
"00751"	"均"		"k"	"iuin"	1		
"00752"	"坎"		"kh"	"ee"	2		
"00753"	"圾"		"s"	"eeh"		"垃圾"	
"00754"	"坐"		"z"	"ou"	2		
							
"00756"	"垃"		"l"	"eeh"		"垃圾"	
"00757"	"坷"		"kh"	"ou"	2		
"00758"	"坪"		"b"	"ieon"	1		
"00759"	"坩"		"k"	"ee"	1		
"00760"	"坡"		"ph"	"ou"	1		
"00761"	"坦"		"th"	"ae"	2	"平坦"	
	"坦"		"d"	"ae"	3	"草坦"	"平地"
"00762"	"坤"		"kh"	"uen"	1		
"00763"	"坼"		"tsh"	"ah"			
"00764"	"垂"		"zh"	"iu"	1		
"00765"	"型"		"gh"	"ieon"	1		
"00766"	"垠"		"ng"	"in"	1		
"00767"	"垣"		"gh"	"ioe"	1		
"00768"	"垢"		"k"	"eu"	3		
"00769"	"城"		"zh"	"ieon"	1		
"00770"	"垮"		"kh"	"uo"	2		
"00771"	"埂"		"k"	"an"	2		
"00772"	"埔"		"ph"	"u"	2	"黃埔"	
	"埔"		"p"	"u"	3	"大埔"	
"00773"	"埋"		"m"	"a"	1		
"00774"	"埃"			"ai"	1		
"00775"	"域"		"gh"	"ioh"			
"00776"	"堅"	"坚"	"k"	"iae"	1		
"00777"	"堊"	"垩"		"aoh"			
"00778"	"堆"		"t"	"ei"	1		
"00779"	"埠"		"b"	"u"	3		
							
"00781"	"基"		"k"	"i"	1		
"00782"	"堂"		"d"	"aon"	1		
"00783"	"堵"		"t"	"u"	2		
"00784"	"執"	"执"	"c"	"ih"			
"00785"	"培"		"b"	"ei"	1		
"00786"	"堯"	"尧"	"ng"	"iau"	1		
"00787"	"堪"		"kh"	"ee"	1		
"00788"	"場"	"场"	"j"	"ian"	1		
"00789"	"堤"		"d"	"i"	1		
"00790"	"堰"			"ie"	3		
"00791"	"報"	"报"	"p"	"au"	3		
"00792"	"堡"	"堡"	"p"	"au"	2		
"00793"	"塞"		"s"	"ai"	3	"邊塞"	
	"塞"		"s"	"eoh"		"堵塞，閉塞"	
"00794"	"塑"		"s"	"u"	3	"塑膠，塑像"	
"00795"	"塘"		"d"	"aon"	1		
"00796"	"塗"	"涂"	"d"	"u"	1		
							
"00798"	"塔"		"th"	"aeh"			
"00799"	"填"		"d"	"iae"	1		
"00800"	"塌"		"th"	"aeh"			
							
"00802"	"塊"	"块"	"kh"	"uei"	3		
"00803"	"塢"	"坞"		"u"	3		
"00804"	"塵"	"尘"	"j"	"in"	1		
"00805"	"塾"		"zh"	"ioh"			
"00806"	"境"		"k"	"ieon"	2		
"00807"	"墓"		"m"	"u"	3		
"00808"	"墊"	"垫"	"d"	"iae"	3		
"00809"	"塹"	"堑"	"tsh"	"ie"	3		
"00810"	"墅"		"z"	"y"	2		
"00811"	"墀"		"dz"	"y"	1		
"00812"	"墟"	"墟"	"kh"	"ei"	1		
"00813"	"增"		"ts"	"eon"	1		
"00814"	"墳"	"坟"	"v"	"en"	1		
"00815"	"墜"	"坠"	"j"	"iu"	3		
"00816"	"墮"	"堕"	"d"	"ou"	2		
"00817"	"壁"		"p"	"ieoh"			
"00818"	"墾"	"垦"	"kh"	"en"	2		
"00819"	"壇"	"坛"	"d"	"ae"	1	"花壇，天壇"	
"00820"	"壅"			"ion"	3		
"00821"	"壕"		"gh"	"au"	1		
"00822"	"壓"	"厌"		"ie"	3		
"00823"	"壑"		"h"	"aoh"			
"00824"	"壙"	"圹"	"kh"	"uaon"	3		
"00825"	"壘"	"垒"	"l"	"iu"	2		
"00826"	"壞"	"坏"	"gh"	"ua"	3		
"00827"	"壟"	"垄"	"l"	"on"	2		
"00828"	"壢"	"坜"	"l"	"ieoh"			
"00829"	"壤"		"n"	"ian"	2		
"00830"	"壩"	"坝"	"p"	"o"	3	"堤壩"	
"00831"	"士"		"z"	"y"	2		
"00832"	"壬"		"n"	"in"	1		
"00833"	"壯"	"壮"	"c"	"iaon"	3		
"00834"	"壹"			"ih"			
"00835"	"壺"	"壶"	"gh"	"u"	1		
"00836"	"壽"	"寿"	"zh"	"ieu"	3		
"00837"	"夏"		"gh"	"o"	2	"華夏，夏朝"	"姓氏"
	"夏"		"gh"	"o"	3	"夏天"	
"00838"	"夔"		"g"	"iu"	1		
"00839"	"夕"		"z"	"ieoh"			
"00840"	"外"		"ng"	"a"	3		
"00841"	"夙"		"s"	"ioh"			
"00842"	"多"		"t"	"ou"	1		
"00843"	"夜"		"gh"	"ia"	3		
"00844"	"夠"	"够"	"k"	"eu"	3		
"00845"	"夥"	"伙"	"h"	"ou"	2		
"00846"	"夢"	"梦"	"m"	"on"	3		
"00847"	"夤"		"gh"	"in"	1		
"00848"	"大"		"d"	"a"	3		
	"大"		"d"	"ou"	3		
"00849"	"天"		"th"	"iae"	1		
"00850"	"夫"		"f"	"u"	1		
"00851"	"太"		"th"	"a"	3		
"00852"	"夭"			"iau"	1		
"00853"	"央"			"ian"	1		
"00854"	"失"		"sh"	"ih"			
"00855"	"夷"		"gh"	"i"	1		
"00856"	"夸"		"kh"	"uo"	1	"夸克"	
"00857"	"夾"	"夹"	"k"	"aeh"			
"00858"	"奉"		"v"	"on"	2		
"00859"	"奇"		"g"	"i"	1	"奇怪"	
	"奇"		"k"	"i"	1	"奇数"	
"00860"	"奈"		"n"	"a"	3		
"00861"	"奄"			"ie"	2		
"00862"	"奔"		"p"	"en"	1		
"00863"	"奕"		"gh"	"ieoh"			
"00864"	"契"		"kh"	"i"	3	"契約，契合"	
	"契"		"kh"	"iaeh"		"契阔"	
	"契"		"kh"	"ih"		"契丹"	
"00865"	"奏"		"ts"	"eu"	3		
"00866"	"奎"		"kh"	"iu"	1		
"00867"	"奐"	"奂"	"h"	"uoe"	3		
"00868"	"套"		"th"	"au"	3		
"00869"	"奘"		"z"	"aon"	3		
"00870"	"奚"		"gh"	"i"	1		
"00871"	"奢"		"sh"	"ia"	1		
"00872"	"奠"		"d"	"iae"	3		
"00873"	"奧"			"au"	3		
"00874"	"奪"	"夺"	"d"	"oeh"			
"00875"	"奩"	"奁"	"l"	"ie"	1		
"00876"	"奮"	"奋"	"f"	"en"	3		
"00877"	"女"		"n"	"i"	2		
"00878"	"奴"		"n"	"u"	1		
"00879"	"奶"		"n"	"a"	2		
"00880"	"妄"		"v"	"aon"	3		
	"妄"		"m"	"aon"	3		
"00881"	"奸"		"k"	"ae"	1	"奸臣"	
"00882"	"妃"		"f"	"i"	1		
"00883"	"好"		"h"	"au"	2	"好壞"	
	"好"		"h"	"au"	3	"愛好"	
							
"00885"	"如"		"n"	"i"	1		
	"如"		"n"	"a"	1	"如何"	
"00886"	"妁"		"c"	"iah"			
"00887"	"妝"	"妆"	"c"	"iaon"	1		
"00888"	"妒"	"妒"	"t"	"u"	3		
"00889"	"妨"		"f"	"aon"	1		
							
"00891"	"妣"		"p"	"i"	2		
"00892"	"妙"		"m"	"iau"	3		
"00893"	"妖"			"iau"	1		
"00894"	"妍"		"ng"	"iae"	1		
"00895"	"妤"		"gh"	"i"	1		
"00896"	"妓"		"g"	"i"	2		
"00897"	"妊"		"n"	"in"	3		
"00898"	"妥"		"th"	"ou"	2		
"00899"	"妾"		"tsh"	"ieh"			
"00900"	"妻"		"tsh"	"i"	1		
"00901"	"委"			"iu"	2		
"00902"	"妹"		"m"	"ei"	3		
"00903"	"妮"		"n"	"i"	1		
"00904"	"姑"		"k"	"u"	1		
"00905"	"姆"		"m"	"eu"	2		
	"姆"		"m"		2		"口语音"
"00906"	"姐"		"ts"	"ia"	2		
"00907"	"姍"	"姗"	"s"	"ae"	1		
"00908"	"始"		"s"	"y"	2		
"00909"	"姓"		"s"	"ieon"	3		
"00910"	"姊"		"ts"	"y"	2		
"00911"	"妯"		"j"	"ioh"			
							
"00913"	"姒"		"z"	"y"	2		
"00914"	"姜"		"k"	"ian"	1		
"00915"	"姘"		"ph"	"ieon"	1		
"00916"	"姿"		"ts"	"y"	1		
"00917"	"姣"		"k"	"au"	2		
"00918"	"姨"		"gh"	"i"	1		
"00919"	"娃"			"ua"	1		
"00920"	"姥"		"m"	"eu"	2		
"00921"	"姪"	"侄"	"j"	"ih"			
"00922"	"姚"		"gh"	"iau"	1		
"00923"	"姦"	"奸"	"k"	"ae"	1	"姦淫"	
"00924"	"威"			"iu"	1		
"00925"	"姻"			"in"	1		
"00926"	"娑"		"s"	"ou"	1		
"00927"	"娘"		"n"	"ian"	1		
"00928"	"娜"		"n"	"ou"	1	"婀娜"	
"00929"	"娟"		"k"	"ioe"	1		
"00930"	"娛"	"娱"	"ng"	"iu"	1		
"00931"	"娓"		"v"	"i"	2		
"00932"	"姬"		"k"	"i"	1		
"00933"	"娠"		"sh"	"in"	1		
"00934"	"娣"		"d"	"i"	2		
"00935"	"娩"		"m"	"ie"	2		
"00936"	"娥"		"ng"	"ou"	1		
"00937"	"娌"		"l"	"i"	2		
"00938"	"娶"		"tsh"	"iu"	2		
"00939"	"婁"	"娄"	"l"	"eu"	1		
"00940"	"婉"			"ioe"	2		
"00941"	"婦"	"妇"	"v"	"u"	2		
"00942"	"婪"		"l"	"ee"	1		
"00943"	"婀"			"ou"	1		
"00944"	"娼"		"ch"	"ian"	1		
"00945"	"婢"		"b"	"i"	2		
"00946"	"婚"		"h"	"uen"	1		
"00947"	"婆"		"b"	"ou"	1		
"00948"	"婊"		"p"	"iau"	2		
"00949"	"婷"		"d"	"ieon"	1		
"00950"	"媚"		"m"	"i"	3		
"00951"	"婿"		"s"	"i"	3		
"00952"	"媒"		"m"	"ei"	1		
"00953"	"媛"		"gh"	"ioe"	1		
"00954"	"嫁"		"k"	"o"	3		
"00955"	"嫉"		"z"	"ih"			
"00956"	"嫌"		"gh"	"iae"	1		
"00957"	"媾"		"k"	"eu"	3		
"00958"	"媽"	"妈"	"mh"	"a"	1		
"00959"	"媼"	"媪"		"au"	2		
"00960"	"媳"		"s"	"ieoh"			
"00961"	"嫂"		"s"	"au"	2		
"00962"	"媲"		"ph"	"i"	3		
"00963"	"嫡"		"t"	"ieoh"			
"00964"	"嫦"		"zh"	"ian"	1		
"00965"	"嫩"		"n"	"en"	3		
"00966"	"嫗"	"妪"		"iu"	3		
"00967"	"嫖"		"b"	"iau"	1		
"00968"	"嫘"		"l"	"iu"	1		
"00969"	"嫣"			"ie"	1		
"00970"	"嬉"		"h"	"i"	1		
"00971"	"嫻"	"娴"	"gh"	"ae"	1		
"00972"	"嬋"	"婵"	"zh"	"ie"	1		
"00973"	"嫵"	"妩"	"v"	"u"	2		
"00974"	"嬌"	"娇"	"k"	"iau"	1		
							
"00976"	"嬴"		"gh"	"ieon"	1		
"00977"	"嬰"	"婴"		"ieon"	1		
"00978"	"嬪"	"嫔"	"b"	"in"	1		
"00979"	"嬤"	"嬷"	"m"	"ou"	2		
"00980"	"嬸"	"婶"	"sh"	"in"	2		
"00981"	"孀"		"sh"	"iaon"	1		
"00982"	"子"		"ts"	"y"	2		
"00983"	"孑"		"k"	"ieh"			
"00984"	"孓"		"k"	"ioeh"			
"00985"	"孔"		"kh"	"on"	2		
"00986"	"孕"		"gh"	"ieon"	3		
"00987"	"字"		"z"	"y"	3		
"00988"	"存"		"z"	"en"	1		
"00989"	"孝"		"h"	"au"	3		
"00990"	"孜"		"ts"	"y"	1		
"00991"	"孚"		"f"	"u"	1		
"00992"	"孟"		"m"	"an"	3		
"00993"	"孤"		"k"	"u"	1		
"00994"	"季"		"k"	"iu"	3		
"00995"	"孩"		"gh"	"ai"	1		
"00996"	"孫"	"孙"	"s"	"en"	1		
"00997"	"孰"		"zh"	"ioh"			
"00998"	"孳"		"ts"	"y"	1		
"00999"	"孱"		"z"	"ae"	1		
"01000"	"孵"		"f"	"u"	1		
"01001"	"學"	"学"	"gh"	"aoh"			
"01002"	"孺"		"n"	"iu"	1		
"01003"	"孽"		"ng"	"ieh"			
"01004"	"孿"	"孪"	"l"	"oe"	1		
							
"01006"	"宇"		"gh"	"iu"	2		
"01007"	"守"		"sh"	"ieu"	2		
"01008"	"宅"		"dz"	"ah"			
"01009"	"安"			"oe"	1		
"01010"	"完"		"gh"	"uoe"	1		
"01011"	"宋"		"s"	"on"	3		
"01012"	"宏"		"gh"	"uan"	1		
"01013"	"宗"		"ts"	"on"	1		
"01014"	"定"		"d"	"ieon"	3		
"01015"	"官"		"k"	"uoe"	1		
"01016"	"宜"		"ng"	"i"	1		
"01017"	"宙"		"j"	"ieu"	3		
"01018"	"宛"			"ioe"	2	"宛如"	
	"宛"			"ioe"	1	"大宛"	
"01019"	"宣"		"s"	"ioe"	1		
"01020"	"宦"		"gh"	"uae"	3		
"01021"	"室"		"sh"	"ih"			
"01022"	"客"		"kh"	"ah"			
"01023"	"宥"		"gh"	"ieu"	3		
"01024"	"宰"		"ts"	"ai"	2		
"01025"	"害"		"gh"	"ai"	3		
"01026"	"家"		"k"	"o"	1		
"01027"	"宴"			"iae"	3		
"01028"	"宮"		"k"	"ion"	1		
"01029"	"宵"		"s"	"iau"	1		
"01030"	"容"		"gh"	"ion"	1		
"01031"	"宸"		"zh"	"in"	1		
"01032"	"寇"		"kh"	"eu"	3		
"01033"	"寅"		"gh"	"in"	1		
"01034"	"寄"		"k"	"i"	3		
"01035"	"寂"		"z"	"ieoh"			
"01036"	"宿"		"s"	"ioh"			
"01037"	"密"		"m"	"ih"			
"01038"	"寒"		"gh"	"oe"	1		
"01039"	"富"		"f"	"u"	3		
"01040"	"寓"		"ng"	"iu"	3		
"01041"	"寐"		"m"	"i"	3		
"01042"	"寞"		"m"	"aoh"			
"01043"	"寧"	"宁"	"n"	"ieon"	1		
"01044"	"寡"		"k"	"uo"	2		
"01045"	"寥"		"l"	"iau"	1		
"01046"	"實"		"zh"	"ih"			
"01047"	"寨"		"dz"	"a"	3		
"01048"	"寢"	"寝"	"tsh"	"in"	2		
"01049"	"寤"		"ng"	"u"	3		
"01050"	"察"		"tsh"	"aeh"			
"01051"	"寮"		"l"	"iau"	1		
"01052"	"寬"	"宽"	"kh"	"uoe"	1		
"01053"	"審"	"审"	"sh"	"in"	2		
"01054"	"寫"	"写"	"s"	"ia"	2		
"01055"	"寵"	"宠"	"ch"	"ion"	2		
"01056"	"寶"	"宝"	"p"	"au"	2		
"01057"	"寸"		"tsh"	"en"	3		
"01058"	"寺"		"z"	"y"	3		
"01059"	"封"		"f"	"on"	1		
"01060"	"射"		"zh"	"ia"	3	"射擊"	
	"射"		"gh"	"ia"	3	"僕射"	
	"射"		"gh"	"ieoh"		"無射"	
"01061"	"尉"			"iu"	3	"太尉，上尉"	
	"尉"			"iuih"		"尉遲，尉犁"	
"01062"	"專"	"专"	"c"	"ioe"	1		
"01063"	"將"	"将"	"ts"	"ian"	1	"將軍，將來"	
	"將"	"将"	"ts"	"ian"	3	"大將，將領"	
"01064"	"尊"		"ts"	"uen"	1		
"01065"	"尋"	"寻"	"z"	"in"	1		
"01066"	"對"	"对"	"t"	"ei"	3		
"01067"	"導"	"导"	"d"	"au"	3		
"01068"	"小"		"s"	"iau"	2		
"01069"	"少"		"sh"	"iau"	2		
"01070"	"尖"		"ts"	"ie"	1		
"01071"	"尚"		"zh"	"ian"	3		
"01072"	"尤"		"gh"	"ieu"	1		
"01073"	"尬"		"k"	"a"	3		
"01074"	"就"		"z"	"ieu"	3		
"01075"	"尷"	"尴"	"k"	"ae"	1		
"01076"	"尸"		"s"	"y"	1	"尸位素餐"	
"01077"	"尺"		"ch"	"ieoh"			
"01078"	"尼"		"n"	"i"	1		
"01079"	"局"		"g"	"ioh"			
"01080"	"屁"		"ph"	"i"	3		
"01081"	"尿"		"n"	"iau"	3	"泌尿科"	
	"尿"		"s"	"iu"	1		"口语音"
"01082"	"尾"		"v"	"i"	2		
	"尾"		"m"	"i"	2		"口语音"
"01083"	"屈"		"kh"	"iuih"			
"01084"	"居"		"k"	"ei"	1		
"01085"	"屆"	"届"	"k"	"a"	3		
"01086"	"屎"		"s"	"y"	2		
"01087"	"屏"		"b"	"ieon"	1	"屏風，屏蔽"	
	"屏"		"p"	"ieon"	2	"屏氣"	
	"屏"		"p"	"ieon"	1	"屏營"	
"01088"	"屍"	"尸"	"s"	"y"	1	"屍體"	
"01089"	"屋"			"oh"			
"01090"	"屑"		"s"	"iaeh"			
"01091"	"展"		"c"	"ie"	2		
"01092"	"屐"		"g"	"ieoh"			
"01093"	"屠"		"d"	"u"	1		
"01094"	"屜"	"屉"	"th"	"i"	3		
"01095"	"屢"	"屡"	"l"	"iu"	3		
"01096"	"層"	"层"	"z"	"eon"	1		
"01097"	"履"		"l"	"i"	2		
"01098"	"屬"	"属"	"zh"	"ioh"		"歸屬"	
	"屬"	"属"	"c"	"ioh"		"屬文"	
"01099"	"屯"		"d"	"en"	1	"屯兵，屯田"	
	"屯"		"c"	"iuin"	1	"屯難"	
"01100"	"山"		"s"	"ae"	1		
"01101"	"屹"		"ng"	"ih"			
"01102"	"岐"		"g"	"i"	1		
"01103"	"岑"		"z"	"en"	1		
"01104"	"岔"		"tsh"	"o"	3		
"01105"	"岌"		"g"	"ih"			
"01106"	"岷"		"m"	"in"	1		
"01107"	"岡"	"冈"	"k"	"aon"	1	"山岡"	
"01108"	"岸"		"ng"	"oe"	3		
"01109"	"岩"		"ng"	"ae"	1		
