"#符号说明：-白=文/书*俗?待考"	""
"#调值"	"[11]³³⁴ [12]²¹¹ [13]⁵⁵ [16]²¹³ [7]⁵ [8]¹²"
"#ɿ"	""
"ts"	"[1]知姿咨滋[3]滞制{~度}製置"
"tsʰ"	"[1]侈[2]稚慈磁辞词持[3]疵此翅耻"
"s"	"[1]斯厮[3]势逝使驶[6]誓赐豉视嗜侍"

"#i"	""
"p"	"[3]蔽臂鄙秘泌[6]敝弊币被{介词}"
"pʰ"	"[2]疲[3]譬秕"
"m"	"[2]迷谜糜[3]米"
"f"	"[1]非妃翡[2]维惟唯微[3]吠"
"t"	"[6]隶逮"
"tʰ"	"[2]堤[3]替屉"
"n"	"[3]你"
"l"	"[3]吕1旅屡履里{公~}鲤[6]厉励"
"tɕ"	"[1]机讥[3]际济剂稽髻冀己既季"
"tɕʰ"	"[1]栖[2]脐2岐祈[3]砌启企弃器杞{~人忧天}岂"
"ɕ"	"[1]犀奚兮牺希[2]脐1[3]玺[6]係{判断词}"
"Ø"	"[1]衣[2]移宜谊夷饴[3]椅意已以忆亿[6]仪肄异"

"#u"	""
"p"	"[1]波[3]怖剖[6]步"
"pʰ"	"[1]坡[2]婆[3]普浦捕脯"
"f"	"[1]夫敷[2]肤巫孚[3]腑俯甫釜辅侮[6]赴讣"
"t"	"[2]惰[3]妒[6]堕度"
"tʰ"	"[3]舵妥椭"
"l"	"[1]啰[2]奴[3]努虏[6]怒"
"ts"	"[3]左{~右}阻[6]助坐"
"tsʰ"	"[3]措 "
"s"	"[1]唆[3]琐诉所漱[6]座"
"k"	"[1]戈[3]估故{~意}固"
"Ø"	"[2乎1[3]伍{姓}恶{可~}[6]卧互护婺"

"#y"	""
"l"	"[6]吕2"
"tɕ"	"[1]诸[3]著煮据1铸[6]居据2注俱具惧"
"tɕʰ"	"[1]驱[2]储瞿[3]处{动词；名词}趋娶趣"
"ɕ"	"[1]舒虚嘘须{必~}需[3]暑汝[6]恕署薯树"
"Ø"	"[1]淤[2]余渔愚虞娱吁迁于愉[3]乳禹[6]御预豫儒遇寓逾愈芋裕"

"#ɑ"	""
"p"	"[3]霸"
"pʰ"	"[2]爬"
"m"	"[3]马{~铃薯}"
"t"	"[6]大{~哥}"
"tʰ"	"[1]他"
"n"	"[2]拿[3]那"
"s"	"[1]奢[2]豺"
"tɕʰ"	"[2]邪"
"k"	"[3]械"
"Ø"	"[3]隘"

"#iɑ"	""
"tɕ"	"[1]佳[3]驾"
"ɕ"	"[2]霞遐[3]卸[6]厦{~门}峡下{底~}"
"Ø"	"[2]耶[3]雅亚"

"#uɑ"	""
"kʰ"	"[3]垮跨"
"x"	"[2]划{~船}华{中~；姓}[3]化"
"Ø"	"[1]蛙[6]画"

"#o"	""
