"汉字"	"拼音"	"IPA"	"注释"
"多"	"to1"	"to˧˦"	
"他"	"tha1"	"tʰa˧˦"	
"舵"	"tua4"	"tua˨˥"	
"拖"	"thua1"	"tʰua˧˦"	
"駝"	"thoh8"	"tʰoʔ˥˦"	
"陀"	"tho2"	"tʰo˥˥"	
"挪"	"no2"	"no˥˥"	
"馱"	"tho2"	"tʰo˥˥"	
"羅"	"lo2"	"lo˥˥"	
"鑼"	"lo2"	"lo˥˥"	
"籮"	"lo2"	"lo˥˥"	"文"
"籮"	"lua2"	"lua˥˥"	"白"
"蘿"	"lo2"	"lo˥˥"	
"左"	"tso3"	"tso˥˨"	
"佐"	"tso3"	"tso˥˨"	
"做"	"tso5"	"tso˨˩˨"	
"搓"	"tsho1"	"tsʰo˧˦"	
"娑"	"so1"	"so˧˦"	
"歌"	"ko1"	"ko˧˦"	"文"
"歌"	"kua1"	"kua˧˦"	"白"
"哥"	"ko1"	"ko˧˦"	
"個"	"ko4"	"ko˨˥"	"文"
"個"	"kai2"	"kai˥˥"	"訓"
"軻"	"kho1"	"kʰo˧˦"	
"柯"	"kho1"	"kʰo˧˦"	"文"
"柯"	"kua1"	"kua˧˦"	"白"
"可"	"kho3"	"kʰo˥˨"	
"可"	"khiok7"	"kʰiok˧˨"	"~汗"
"坷"	"kho1"	"kʰo˧˦"	
"蛾"	"ngo2"	"ŋo˥˥"	
"鵝"	"go2"	"go˥˥"	
"俄"	"ngo2"	"ŋo˥˥"	
"我"	"ua3"	"ua˥˨"	
"餓"	"go6"	"go˨˨"	
"何"	"ho2"	"ho˥˥"	"文"
"何"	"ua2"	"ua˥˥"	"白"
"河"	"ho2"	"ho˥˥"	
"荷"	"ho2"	"ho˥˥"	
"荷"	"o5"	"o˨˩˨"	"又"
"苛"	"kho1"	"kʰo˧˦"	
"荷"	"o4"	"o˨˥"	
"賀"	"ho6"	"ho˨˨"	
"阿"	"o1"	"o˧˦"	"文"
"阿"	"a1"	"a˧˦"	
"茄"	"kia1"	"kia˧˦"	
"茄"	"kio2"	"kio˥˥"	
"枷"	"ke2"	"kɛ˥˥"	
"波"	"po1"	"po˧˦"	
"播"	"pua5"	"pua˨˩˨"	
"簸"	"pua5"	"pua˨˩˨"	
"坡"	"po1"	"po˧˦"	
"玻"	"po1"	"po˧˦"	
"頗"	"pho3"	"pʰo˥˨"	"文"
"頗"	"phuann3"	"pʰuã˥˨"	"白"
"破"	"phua5"	"pʰua˨˩˨"	
"婆"	"po2"	"po˥˥"	"文"
"婆"	"phua2"	"pʰua˥˥"	
"魔"	"mo1"	"mo˧˦"	
"魔"	"mo2"	"mo˥˥"	"又"
"磨"	"bo6"	"bo˨˨"	
"磨"	"bua2"	"bua˥˥"	
"摩"	"mo1"	"mo˧˦"	"文"
"摩"	"bua2"	"bua˥˥"	"白"
"朵"	"to2"	"to˥˥"	
"躲"	"to2"	"to˥˥"	
"剁"	"to2"	"to˥˥"	
"妥"	"tho3"	"tʰo˥˨"	
"惰"	"tuann4"	"tuã˨˥"	"訓"
"墮"	"tui6"	"tui˨˨"	"俗"
"囉"	"lo1"	"lo˧˦"	
"騾"	"lo2"	"lo˥˥"	
"螺"	"lo2"	"lo˥˥"	
"腡"	"lo2"	"lo˥˥"	
"裸"	"lo3"	"lo˥˨"	
"銼"	"tsho5"	"tsʰo˨˩˨"	
"矬"	"tsho2"	"tsʰo˥˥"	
"坐"	"tso4"	"tso˨˥"	
"座"	"tso6"	"tso˨˨"	
"蓑"	"so1"	"so˧˦"	
"梭"	"so1"	"so˧˦"	
"唆"	"so1"	"so˧˦"	
"鎖"	"so3"	"so˥˨"	
"瑣"	"so3"	"so˥˨"	
"鍋"	"ue1"	"uɛ˧˦"	
"過"	"kua1"	"kua˧˦"	
"過"	"ua1"	"ua˧˦"	"又"
"戈"	"kho1"	"kʰo˧˦"	
"果"	"kuann3"	"kuã˥˨"	"文"
"果"	"kue3"	"kuɛ˥˨"	"白"
"裹"	"kue3"	"kuɛ˥˨"	
"過"	"kue5"	"kuɛ˨˩˨"	
"過"	"kua5"	"kua˨˩˨"	"重~"
"科"	"khue1"	"kʰuɛ˧˦"	
"棵"	"kho1"	"kʰo˧˦"	
"顆"	"kho3"	"kʰo˥˨"	
"課"	"khue5"	"kʰuɛ˨˩˨"	
"訛"	"ho5"	"ho˨˩˨"	
"臥"	"o5"	"o˨˩˨"	
"火"	"hue3"	"huɛ˥˨"	
"夥"	"hue3"	"huɛ˥˨"	
"夥"	"ua4"	"ua˨˥"	"多"
"貨"	"hue5"	"huɛ˨˩˨"	
"禾"	"ta2"	"ta˥˥"	"訓"
"和"	"hua2"	"hua˥˥"	"文"
"和"	"ho4"	"ho˨˥"	"文"
"和"	"hue2"	"huɛ˥˥"	"白，~尚"
"禍"	"hua4"	"hua˨˥"	
