"简体"	"繁體"	"拼音"	"音標"
"爸"	"爸"	"pa1"	"pa˦˦"
"包"	"包"	"pa1"	"pa˦˦"
"胞"	"胞"	"pa1"	"pa˦˦"
"幫"	"幫"	"pa1"	"pa˦˦"
"邦"	"邦"	"pa1"	"pa˦˦"
"梆"	"梆"	"pa1"	"pa˦˦"
"飽"	"飽"	"pa3"	"pa˦˥"
"榜"	"榜"	"pa3"	"pa˦˥"
"綁"	"綁"	"pa3"	"pa˦˥"
"豹"	"豹"	"pa5"	"pa˥˨"
"趵"	"趵"	"pa5"	"pa˥˨"
"烹"	"烹"	"pha1"	"pʰa˦˦"
"拋"	"拋"	"pha1"	"pʰa˦˦"
"脬"	"脬"	"pha1"	"pʰa˦˦"
"像"	"像"	"pha1"	"pʰa˦˦"
"跑"	"跑"	"pha3"	"pʰa˦˥"
"髓"	"髓"	"pha3"	"pʰa˦˥"
"踏"	"踏"	"pha3"	"pʰa˦˥"
"炮"	"炮"	"pha5"	"pʰa˥˨"
"泡"	"泡"	"pha5"	"pʰa˥˨"
"胖"	"胖"	"pha5"	"pʰa˥˨"
"旁"	"旁"	"ba2"	"ba˧˩"
"傍"	"傍"	"ba2"	"ba˧˩"
"癆"	"癆"	"ba2"	"ba˧˩"
"磅"	"磅"	"ba2"	"ba˧˩"
"螃"	"螃"	"ba2"	"ba˧˩"
"苞"	"苞"	"ba2"	"ba˧˩"
"庖"	"庖"	"ba2"	"ba˧˩"
"彭"	"彭"	"ba2"	"ba˧˩"
"膨"	"膨"	"ba2"	"ba˧˩"
"棒"	"棒"	"ba4"	"ba˧˦"
"鮑"	"鮑"	"ba4"	"ba˧˦"
"蚌"	"蚌"	"ba4"	"ba˧˦"
"飽"	"飽"	"ba6"	"ba˨˨"
"罔"	"罔"	"ma4"	"ma˧˦"
"網"	"網"	"ma4"	"ma˧˦"
"卯"	"卯"	"ma4"	"ma˧˦"
"昴"	"昴"	"ma4"	"ma˧˦"
"莽"	"莽"	"ma4"	"ma˧˦"
"蟒"	"蟒"	"ma4"	"ma˧˦"
"孟"	"孟"	"ma4"	"ma˧˦"
"猛"	"猛"	"ma4"	"ma˧˦"
"惘"	"惘"	"ma4"	"ma˧˦"
"輞"	"輞"	"ma4"	"ma˧˦"
"貌"	"貌"	"ma6"	"ma˨˨"
"法"	"法"	"fa7"	"fa˧˨˧"
"發"	"發"	"fa7"	"fa˧˨˧"
"橫"	"橫"	"va2"	"va˧˩"
"衡"	"衡"	"va2"	"va˧˩"
"乏"	"乏"	"va8"	"va˨˩˨"
"活"	"活"	"va8"	"va˨˩˨"
"滑"	"滑"	"va8"	"va˨˩˨"
"猾"	"猾"	"va8"	"va˨˩˨"
"伐"	"伐"	"va8"	"va˨˩˨"
"筏"	"筏"	"va8"	"va˨˩˨"
"閥"	"閥"	"va8"	"va˨˩˨"
"罰"	"罰"	"va8"	"va˨˩˨"
"打"	"打"	"ta3"	"ta˦˥"
