#名稱：肥東古城話
#來源：安徽肥東古城方言同音字彙
#調值	"³¹","³⁵","²¹³","","⁵³","","⁴⁴"
pɿ1	屄
pɿ3	彼比
pɿ5	斃蓖閉2箅陛袐泌庇
pʰɿ1	批胚坯披潽{溢出}
pʰɿ2	皮疲脾1琵枇
pʰɿ3	脾2鄙丕擗痞{頑劣}
pʰɿ5	痹屁蓖騙*
mzɿ1	眯
mzɿ2	迷謎泥彌
mzɿ3	米
mzɿ5	覓
ʦɿ1	低雞齜資姿諮飢饑肌滋基箕機吱*
ʦɿ3	底抵擠紫姊幾子己
ʦɿ5	借1祭際帝弟第1遞濟薺劑稽計繼繫{～鞋帶}寄技妓地自字紀記忌既季
ʦʰɿ1	堤梯妻欺期睇{用餘光看}
ʦʰɿ2	題提蹄啼齊臍雌奇騎岐瓷餈祁鰭茲慈磁辭詞祠其棋
ʦʰɿ3	體啓此企起杞豈
ʦʰɿ5	替涕剃屜砌契刺賜次器棄氣汽泣
nzɿ1	膩{～拉:不清爽,不利落}
nzɿ2	犁黎離籬璃尼梨釐狸
nzɿ3	禮里裏{被～，～外}理
nzɿ5	例勵麗隸荔離利痢
sɿ1	些西溪奚斯廝撕犧私師獅思飼熙希稀
sɿ3	洗璽死使史駛喜蟢
sɿ5	細系戲四肆廁{茅～}士仕柿事侍
zɿ1	醫衣依
zɿ2	倪儀移夷姨疑毅遺
zɿ3	野1倚椅擬已以尾{～巴}
zɿ5	夜藝瞖宜蟻誼義議易冀肄意異憶億翼易{交～}液
ti1	爹
si3	寫釃{斟酒}□{使用}
tʂi1	遮1蔗
tʂʰi1	車䞣{歪斜}
ʂi1	奢賒1
ʂi2	蛇
ʂi3	舍1捨佘
ʂi5	射1麝2赦舍1社
ʨi3	姐
ʨi5	借2
ʨʰi3	且
ȵȡi3	你
ȵȡi5	吏
ɕi2	邪斜1攜
ɕi5	瀉卸謝
kʰi3	剋{打}
kʰi5	去1
i2	爺
i3	野2
ʧy1	居車據拘駒矩屐
ʧy3	舉
ʧy5	鋸巨拒距聚俱句具懼劇
ʧʰy1	蛆趨區驅
ʧʰy2	渠瞿
ʧʰy3	取娶撧{～斷}
ʧʰy5	去1趣
ʃy1	虛噓須鬚{鬍～}需
ʃy2	徐
ʃy3	許䧁{把疊在一起的東西分開}
ʃy5	絮序敘緒續婿
tʂʅ1	知蜘支枝肢梔之芝
tʂʅ3	紙只脂旨指止趾
tʂʅ5	制製智稚至置志痔治
tʂʰʅ1	癡嗤跐
tʂʰʅ2	池馳匙遲持
tʂʰʅ3	矢恥齒
tʂʰʅ5	滯翅
ʂʅ1	施屍詩
ʂʅ2	時
ʂʅ3	屎始
ʂʅ5	世勢誓逝是氏示視嗜試市式
ʐʅ1	之{溜走}
ʦʰʮ2	茄瘸
nzʮ1	鑢{迅速劃割}
nzʮ2	驢
nzʮ3	女呂穭旅縷屢履
nzʮ5	慮濾
sʮ1	靴
jʮ1	於淤迂
jʮ2	魚漁餘愚虞於盂禹榆逾愉
jʮ3	語與娛雨宇羽
jʮ5	御譽預豫遇寓芋愈喻裕玉
pɛ3	擺
pɛ5	拜稗敗
pʰɛ2	排牌
pʰɛ3	□{種:～蒜}
pʰɛ5	派
mɛ2	埋
mɛ3	買
mɛ5	賣邁
tɛ1	呆1
tɛ3	逮
tɛ5	戴貸待怠殆代袋帶大
tʰɛ1	胎
tʰɛ2	臺薹抬
tʰɛ5	態太泰
lɛ2	來
lɛ3	乃奶攋{拔}
lɛ5	耐奈賴癩
ʦɛ1	災栽
ʦɛ3	宰載
ʦɛ5	再在載
ʦʰɛ1	猜
ʦʰɛ2	才材財裁纔{～來}
ʦʰɛ3	彩採睬
ʦʰɛ5	菜蔡
sɛ1	腮鰓塞1
sɛ5	賽
tʂɛ1	齋
tʂɛ3	者䍉{單～:穿的少}
tʂɛ5	債寨側*
tʂʰɛ1	釵差
tʂʰɛ2	豺柴
ʂɛ1	篩
ʂɛ5	曬
kɛ1	該
kɛ3	改解2
kɛ5	蓋丐戒2
kʰɛ1	開揩
kʰɛ3	凱慨楷
kʰɛ5	概溉
ŋɛ1	哀埃挨
ŋɛ2	呆2磑捱
ŋɛ3	矮
ŋɛ5	礙愛
xɛ2	孩核
xɛ3	海蟹{爬～：螃蟹}
xɛ5	亥害駭
ɛ3	藹
ɛ5	艾
ʨiɛ1	皆階秸街
ʨiɛ3	解1
ʨiɛ5	介界芥疥屆戒1械
ɕiɛ2	諧1鞋
ɕiɛ5	懈解{姓}蟹2{～黃}
iɛ2	巖
tʂuɛ1	拽{手凍～了}
tʂuɛ3	轉{狂妄、驕傲}
tʂuɛ5	拽
tʂʰuɛ1	揣
tʂʰuɛ5	踹膪{蠢笨、不利落}
ʂuɛ1	衰
ʂuɛ3	甩
ʂuɛ5	帥率
ʐuɛ5	抐{沒有牙齒的人喫東西的方式}
kuɛ1	乖
kuɛ3	拐
kuɛ5	怪
kʰuɛ3	蒯
kʰuɛ5	會劊塊快筷
xuɛ2	懷槐淮
xuɛ5	壞
uɛ1	歪
uɛ2	□{壓；艱難地前進:日子再難也要向前}
uɛ3	崴{扭傷:～腳}□{～訛:我就碰他一下,他就～我了}
uɛ5	外
pɔ1	褒包胞
pɔ3	保堡寶飽
pɔ5	報抱暴菢豹爆鮑刨雹曝
pʰɔ1	泡拋
