"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"和"	"和"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"禍"	"祸"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"和"	"和"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"倭"	"倭"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"窩"	"窝"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"涴"	"涴"	"ʔʋ˥˨"	"屎，涴臀：屁股"	"ʔʋ"	"Ø"	"˥˨"
"瘸"	"瘸"	"dʑiɤu˧˩"		"dʑ"	"iɤu"	"˧˩"
"靴"	"靴"	"ɕiɤu˦˦"		"ɕ"	"iɤu"	"˦˦"
"巴"	"巴"	"pu˦˦"		"p"	"u"	"˦˦"
"疤"	"疤"	"pu˦˦"		"p"	"u"	"˦˦"
"芭"	"芭"	"pu˦˦"		"p"	"u"	"˦˦"
"把"	"把"	"pu˧˥"		"p"	"u"	"˧˥"
"爸"	"爸"	"pa˦˦"		"p"	"a"	"˦˦"
"欛"	"欛"	"pa˥˨"		"p"	"a"	"˥˨"
"壩"	"坝"	"pa˥˨"		"p"	"a"	"˥˨"
"壩"	"坝"	"pa˥˨"		"p"	"a"	"˥˨"
"霸"	"霸"	"pa˥˨"		"p"	"a"	"˥˨"
"怕"	"怕"	"pʰu˥˨"		"pʰ"	"u"	"˥˨"
"琶"	"琶"	"bu˧˩"		"b"	"u"	"˧˩"
"爬"	"爬"	"bu˧˩"		"b"	"u"	"˧˩"
"麻"	"麻"	"mu˧˩"		"m"	"u"	"˧˩"
"蟆"	"蟆"	"mu˧˩"		"m"	"u"	"˧˩"
"媽"	"妈"	"ʔma˦˦"	"媽媽"	"ʔm"	"a"	"˦˦"
"媽"	"妈"	"ʔma˧˥"	"媽媽"	"ʔm"	"a"	"˧˥"
"馬"	"马"	"mu˧˩"		"m"	"u"	"˧˩"
"碼"	"码"	"mu˧˩"		"m"	"u"	"˧˩"
"罵"	"骂"	"mu˧˩"		"m"	"u"	"˧˩"
"拿"	"拿"	"nɔ˧˩"		"n"	"ɔ"	"˧˩"
"詫"	"诧"	"tsʰu˥˨"		"tsʰ"	"u"	"˥˨"
"茶"	"茶"	"dzu˧˩"		"dz"	"u"	"˧˩"
"搽"	"搽"	"dzu˧˩"	"搽掃：掃帚"	"dz"	"u"	"˧˩"
"查"	"查"	"tsu˦˦"		"ts"	"u"	"˦˦"
"渣"	"渣"	"tsu˦˦"		"ts"	"u"	"˦˦"
"□"	"□"	"tsu˧˥"	"東西拿著"	"ts"	"u"	"˧˥"
"詐"	"诈"	"tsu˥˨"		"ts"	"u"	"˥˨"
"榨"	"榨"	"tsu˥˨"		"ts"	"u"	"˥˨"
"炸"	"炸"	"tsu˥˨"		"ts"	"u"	"˥˨"
"叉"	"叉"	"tsʰu˦˦"		"tsʰ"	"u"	"˦˦"
"杈"	"杈"	"tsʰu˦˦"		"tsʰ"	"u"	"˦˦"
"差"	"差"	"tsʰu˦˦"		"tsʰ"	"u"	"˦˦"
"差"	"差"	"tsʰa˦˦"		"tsʰ"	"a"	"˦˦"
"岔"	"岔"	"tsʰu˥˨"		"tsʰ"	"u"	"˥˨"
"汊"	"汊"	"tsʰu˥˨"		"tsʰ"	"u"	"˥˨"
"查"	"查"	"dzu˧˩"		"dz"	"u"	"˧˩"
"乍"	"乍"	"dzu˧˩"		"dz"	"u"	"˧˩"
"沙"	"沙"	"su˦˦"		"s"	"u"	"˦˦"
"紗"	"纱"	"su˦˦"		"s"	"u"	"˦˦"
"灑"	"洒"	"su˥˨"		"s"	"u"	"˥˨"
"灑"	"洒"	"sa˧˥"		"s"	"a"	"˧˥"
"嘉"	"嘉"	"ku˦˦"		"k"	"u"	"˦˦"
"家"	"家"	"ku˦˦"		"k"	"u"	"˦˦"
"家"	"家"	"ku˦˦"		"k"	"u"	"˦˦"
"加"	"加"	"ku˦˦"		"k"	"u"	"˦˦"
"假"	"假"	"ku˧˥"		"k"	"u"	"˧˥"
"賈"	"贾"	"ku˧˥"		"k"	"u"	"˧˥"
"稼"	"稼"	"ku˥˨"		"k"	"u"	"˥˨"
"假"	"假"	"ku˥˨"		"k"	"u"	"˥˨"
"價"	"价"	"ku˥˨"		"k"	"u"	"˥˨"
"架"	"架"	"ku˥˨"		"k"	"u"	"˥˨"
"駕"	"驾"	"ku˥˨"		"k"	"u"	"˥˨"
"嫁"	"嫁"	"ku˥˨"		"k"	"u"	"˥˨"
"牙"	"牙"	"ŋu˧˩"		"ŋ"	"u"	"˧˩"
"芽"	"芽"	"ŋu˧˩"		"ŋ"	"u"	"˧˩"
"衙"	"衙"	"ŋu˧˩"		"ŋ"	"u"	"˧˩"
"雅"	"雅"	"ŋu˩˧"		"ŋ"	"u"	"˩˧"
"訝"	"讶"	"ŋu˨˨"		"ŋ"	"u"	"˨˨"
"迓"	"迓"	"ŋu˨˨"		"ŋ"	"u"	"˨˨"
"蝦"	"虾"	"hu˦˦"		"h"	"u"	"˦˦"
"嚇"	"吓"	"hu˨˩˩"		"h"	"u"	"˧˨˨"
"霞"	"霞"	"ɦu˧˩"		"ɦ"	"u"	"˧˩"
"遐"	"遐"	"ɦu˧˩"		"ɦ"	"u"	"˧˩"
"瑕"	"瑕"	"ɦu˧˩"		"ɦ"	"u"	"˧˩"
"下"	"下"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"夏"	"夏"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"廈"	"厦"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"暇"	"暇"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"夏"	"夏"	"ɦu˨˨"		"ɦ"	"u"	"˨˨"
"丫"	"丫"	"ʔyɔ˦˦"		"ʔ"	"yɔ"	"˦˦"
"丫"	"丫"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"鴉"	"鸦"	"ʔu˦˦"		"ʔ"	"u"	"˦˦"
"啞"	"哑"	"ʔu˥˨"	"啞佬：啞巴"	"ʔ"	"u"	"˥˨"
"亞"	"亚"	"ʔu˥˨"		"ʔ"	"u"	"˥˨"
"嗟"	"嗟"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"姐"	"姐"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"□"	"□"	"tsa˦˦"	"姐姐"	"ts"	"a"	"˦˦"
