"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"烏"	"乌"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"汙"	"污"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"塢"	"坞"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"惡"	"恶"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"女"	"女"	"ȵy˩˧"		"ȵ"	"y"	"˩˧"
"廬"	"庐"	"lɵʉ˧˩"		"l"	"ɵʉ"	"˧˩"
"驢"	"驴"	"lɵʉ˧˩"		"l"	"ɵʉ"	"˧˩"
"呂"	"吕"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"侶"	"侣"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"旅"	"旅"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"慮"	"虑"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"濾"	"滤"	"lɵʉ˨˨"		"l"	"ɵʉ"	"˨˨"
"蛆"	"蛆"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"疽"	"疽"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"胥"	"胥"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"絮"	"絮"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"徐"	"徐"	"zei˧˩"	"白讀，姓氏"	"z"	"ei"	"˧˩"
"序"	"序"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"緒"	"绪"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"敘"	"叙"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"豬"	"猪"	"tsei˦˦"	"白讀"	"ts"	"ei"	"˦˦"
"著"	"着"	"tɕyɔ˧˥"		"tɕ"	"yɔ"	"˧˥"
"著"	"着"	"dʑyɔ˩˧"		"dʑ"	"yɔ"	"˩˧"
"著"	"着"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"褚"	"褚"	"dzɵʉ˩˧"		"dz"	"ɵʉ"	"˩˧"
"除"	"除"	"dzɵʉ˧˩"		"dz"	"ɵʉ"	"˧˩"
"儲"	"储"	"dzɵʉ˧˩"		"dz"	"ɵʉ"	"˧˩"
"苧"	"苎"	"dzei˩˧"		"dz"	"ei"	"˩˧"
"箸"	"箸"	"dzei˧˩"	"筷子"	"dz"	"ei"	"˧˩"
"阻"	"阻"	"tsɤu˧˥"		"ts"	"ɤu"	"˧˥"
"初"	"初"	"tsʰɤu˦˦"		"tsʰ"	"ɤu"	"˦˦"
"楚"	"楚"	"tsʰɤu˧˥"		"tsʰ"	"ɤu"	"˧˥"
"鋤"	"锄"	"zɤu˨˨"		"z"	"ɤu"	"˨˨"
"鋤"	"锄"	"zɿ˨˨"	"鋤頭"	"z"	"ɿ"	"˨˨"
"疏"	"疏"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"蔬"	"蔬"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"梳"	"梳"	"sɿ˦˦"	"頭梳：梳子"	"s"	"ɿ"	"˦˦"
"所"	"所"	"su˧˥"		"s"	"u"	"˧˥"
"疏"	"疏"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"諸"	"诸"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"煮"	"煮"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"處"	"处"	"tsʰɵʉ˧˥"		"tsʰ"	"ɵʉ"	"˧˥"
"處"	"处"	"tsʰɵʉ˥˨"		"tsʰ"	"ɵʉ"	"˥˨"
"書"	"书"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"舒"	"舒"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"鼠"	"鼠"	"tsʰei˧˥"	"老鼠"	"tsʰ"	"ei"	"˧˥"
"暑"	"暑"	"sɵʉ˧˥"		"s"	"ɵʉ"	"˧˥"
"黍"	"黍"	"sɵʉ˧˥"		"s"	"ɵʉ"	"˧˥"
"庶"	"庶"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"恕"	"恕"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"墅"	"墅"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"薯"	"薯"	"zei˧˩"	"地瓜"	"z"	"ei"	"˧˩"
"署"	"署"	"dzɵʉ˩˧"		"dz"	"ɵʉ"	"˩˧"
"如"	"如"	"zɵʉ˧˩"		"z"	"ɵʉ"	"˧˩"
"汝"	"汝"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"居"	"居"	"ke˨˩˩"	"居日：今天"	"k"	"e"	"˧˨˨"
"居"	"居"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"車"	"车"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"舉"	"举"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"鋸"	"锯"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"據"	"据"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"墟"	"墟"	"ɕy˦˦"		"ɕ"	"y"	"˦˦"
"去"	"去"	"kʰe˥˨"	"白讀"	"kʰ"	"e"	"˥˨"
"去"	"去"	"tɕʰy˥˨"		"tɕʰ"	"y"	"˥˨"
"渠"	"渠"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"渠"	"渠"	"ge˧˩"	"白讀"	"g"	"e"	"˧˩"
"巨"	"巨"	"dʑy˩˧"		"dʑ"	"y"	"˩˧"
"距"	"距"	"dʑy˩˧"		"dʑ"	"y"	"˩˧"
"拒"	"拒"	"dʑy˩˧"		"dʑ"	"y"	"˩˧"
"遽"	"遽"	"dʑy˨˨"		"dʑ"	"y"	"˨˨"
"魚"	"鱼"	"ȵy˧˩"		"ȵ"	"y"	"˧˩"
"漁"	"渔"	"ȵy˧˩"		"ȵ"	"y"	"˧˩"
"語"	"语"	"ȵy˩˧"		"ȵ"	"y"	"˩˧"
"禦"	"御"	"ȵy˨˨"		"ȵ"	"y"	"˨˨"
"禦"	"御"	"ȵy˩˧"		"ȵ"	"y"	"˩˧"
"□"	"□"	"sɵʉ˦˦"	"身體虛弱"	"s"	"ɵʉ"	"˦˦"
"虛"	"虚"	"ɕy˦˦"		"ɕ"	"y"	"˦˦"
"噓"	"嘘"	"ɕy˦˦"		"ɕ"	"y"	"˦˦"
"許"	"许"	"he˧˥"	"那"	"h"	"e"	"˧˥"
"許"	"许"	"ɕy˧˥"		"ɕ"	"y"	"˧˥"
"淤"	"淤"	"ʔʋʉ˦˦"		"ʔʋ"	"ʉ"	"˦˦"
"於"	"于"	"ʔʋʉ˦˦"		"ʔʋ"	"ʉ"	"˦˦"
"餘"	"余"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"餘"	"余"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"與"	"与"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"與"	"与"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"譽"	"誉"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"預"	"预"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"豫"	"豫"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"夫"	"夫"	"fʋ˦˦"		"f"	"ʋ"	"˦˦"
"夫"	"夫"	"fʉ˦˦"		"f"	"ʉ"	"˦˦"
"膚"	"肤"	"fʉ˦˦"		"f"	"ʉ"	"˦˦"
"甫"	"甫"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"斧"	"斧"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"府"	"府"	"fʉ˧˥"		"f"	"ʉ"	"˧˥"
"腑"	"腑"	"fʉ˧˥"		"f"	"ʉ"	"˧˥"
"俯"	"俯"	"fʉ˧˥"		"f"	"ʉ"	"˧˥"
"賦"	"赋"	"fʉ˥˨"		"f"	"ʉ"	"˥˨"
"傅"	"傅"	"fʉ˥˨"		"f"	"ʉ"	"˥˨"
"付"	"付"	"fʉ˥˨"		"f"	"ʉ"	"˥˨"
"敷"	"敷"	"fʋ˦˦"		"f"	"ʋ"	"˦˦"
"俘"	"俘"	"fʋ˦˦"		"f"	"ʋ"	"˦˦"
"撫"	"抚"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"赴"	"赴"	"fʉ˥˨"		"f"	"ʉ"	"˥˨"
"赴"	"赴"	"fʋ˥˨"		"f"	"ʋ"	"˥˨"
"訃"	"讣"	"fʋ˥˨"		"f"	"ʋ"	"˥˨"
"符"	"符"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"扶"	"扶"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"扶"	"扶"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"釜"	"釜"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"腐"	"腐"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"輔"	"辅"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"父"	"父"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"父"	"父"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"附"	"附"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"毋"	"毋"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"巫"	"巫"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"誣"	"诬"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"無"	"无"	"ŋ˧˩"	"無娘教"	"Ø"	"ŋ"	"˧˩"
"無"	"无"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"舞"	"舞"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"侮"	"侮"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"武"	"武"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"鵡"	"鹉"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"霧"	"雾"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"務"	"务"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"縷"	"缕"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"縷"	"缕"	"lau˩˧"		"l"	"au"	"˩˧"
"屢"	"屡"	"lɵʉ˩˧"		"l"	"ɵʉ"	"˩˧"
"屢"	"屡"	"lau˩˧"		"l"	"au"	"˩˧"
"趨"	"趋"	"tsʰɵʉ˦˦"		"tsʰ"	"ɵʉ"	"˦˦"
"取"	"取"	"tsʰɵʉ˧˥"		"tsʰ"	"ɵʉ"	"˧˥"
"取"	"取"	"tsʰau˧˥"		"tsʰ"	"au"	"˧˥"
"取"	"取"	"tɕʰiau˧˥"	"日常音，取，取親，取物事"	"tɕʰ"	"iau"	"˧˥"
"娶"	"娶"	"tɕʰiau˧˥"		"tɕʰ"	"iau"	"˧˥"
"趣"	"趣"	"tsʰɵʉ˥˨"		"tsʰ"	"ɵʉ"	"˥˨"
"聚"	"聚"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"需"	"需"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"須"	"须"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"鎢"	"钨"	"ʔʋ˦˦"		"ʔʋ"	"Ø"	"˦˦"
"續"	"续"	"jyu˨˩˩"		"j"	"yu"	"˨˩˩"
"珠"	"珠"	"tsɿ˦˦"	"眼兒珠，眼睛"	"ts"	"ɿ"	"˦˦"
"蛛"	"蛛"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"株"	"株"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"誅"	"诛"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"駐"	"驻"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"注"	"注"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"廚"	"厨"	"dzɵʉ˧˩"		"dz"	"ɵʉ"	"˧˩"
"柱"	"柱"	"dzɵʉ˩˧"		"dz"	"ɵʉ"	"˩˧"
"住"	"住"	"dzɵʉ˨˨"		"dz"	"ɵʉ"	"˨˨"
"芻"	"刍"	"tsʰɤu˦˦"		"tsʰ"	"ɤu"	"˦˦"
"雛"	"雏"	"zɤu˧˩"		"z"	"ɤu"	"˧˩"
"數"	"数"	"sɵʉ˧˥"		"s"	"ɵʉ"	"˧˥"
"數"	"数"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"數"	"数"	"sɤu˧˥"		"s"	"ɤu"	"˧˥"
"數"	"数"	"sɤu˥˨"		"s"	"ɤu"	"˥˨"
"珠"	"珠"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"朱"	"朱"	"tsɵʉ˦˦"		"ts"	"ɵʉ"	"˦˦"
"主"	"主"	"tsɵʉ˧˥"		"ts"	"ɵʉ"	"˧˥"
"注"	"注"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"鑄"	"铸"	"tsɵʉ˥˨"		"ts"	"ɵʉ"	"˥˨"
"樞"	"枢"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"輸"	"输"	"sɵʉ˦˦"		"s"	"ɵʉ"	"˦˦"
"戍"	"戍"	"sɵʉ˥˨"		"s"	"ɵʉ"	"˥˨"
"殊"	"殊"	"zɵʉ˧˩"		"z"	"ɵʉ"	"˧˩"
"豎"	"竖"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"樹"	"树"	"zɵʉ˨˨"		"z"	"ɵʉ"	"˨˨"
"儒"	"儒"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"乳"	"乳"	"zɵʉ˩˧"		"z"	"ɵʉ"	"˩˧"
"拘"	"拘"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"駒"	"驹"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"俱"	"俱"	"tɕy˦˦"		"tɕ"	"y"	"˦˦"
"矩"	"矩"	"tɕy˧˥"		"tɕ"	"y"	"˧˥"
"句"	"句"	"tɕy˥˨"		"tɕ"	"y"	"˥˨"
"區"	"区"	"tɕʰy˦˦"		"tɕʰ"	"y"	"˦˦"
"驅"	"驱"	"tɕʰy˦˦"		"tɕʰ"	"y"	"˦˦"
"瞿"	"瞿"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"具"	"具"	"dʑy˧˩"		"dʑ"	"y"	"˧˩"
"懼"	"惧"	"dʑy˨˨"		"dʑ"	"y"	"˨˨"
"虞"	"虞"	"ȵy˧˩"		"ȵ"	"y"	"˧˩"
"愚"	"愚"	"ȵy˧˩"		"ȵ"	"y"	"˧˩"
"娛"	"娱"	"ȵy˧˩"		"ȵ"	"y"	"˧˩"
"遇"	"遇"	"ȵy˨˨"		"ȵ"	"y"	"˨˨"
"寓"	"寓"	"ȵy˨˨"		"ȵ"	"y"	"˨˨"
"籲"	"吁"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"迂"	"迂"	"ʔʋʉ˦˦"		"ʔʋ"	"ʉ"	"˦˦"
"於"	"于"	"ʔʋʉ˦˦"		"ʔʋ"	"ʉ"	"˦˦"
"盂"	"盂"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"雨"	"雨"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"禹"	"禹"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"宇"	"宇"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"羽"	"羽"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"芋"	"芋"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"羽"	"羽"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"逾"	"逾"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"逾"	"逾"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"榆"	"榆"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"愉"	"愉"	"vʉ˧˩"		"v"	"ʉ"	"˧˩"
"愈"	"愈"	"vʉ˩˧"		"v"	"ʉ"	"˩˧"
"喻"	"喻"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"裕"	"裕"	"vʉ˨˨"		"v"	"ʉ"	"˨˨"
"呆"	"呆"	"ŋe˧˩"		"ŋ"	"e"	"˧˩"
"戴"	"戴"	"ta˥˨"		"t"	"a"	"˥˨"
"胎"	"胎"	"tʰe˦˦"		"tʰ"	"e"	"˦˦"
"台"	"台"	"tʰe˦˦"		"tʰ"	"e"	"˦˦"
"台"	"台"	"tʰai˦˦"	"台州"	"tʰ"	"ai"	"˦˦"
"□"	"□"	"tʰai˦˦"	"宰殺"	"tʰ"	"ai"	"˦˦"
"態"	"态"	"tʰe˥˨"		"tʰ"	"e"	"˥˨"
"貸"	"贷"	"tʰe˥˨"		"tʰ"	"e"	"˥˨"
"貸"	"贷"	"de˨˨"		"d"	"e"	"˨˨"
"台"	"台"	"de˨˨"		"d"	"e"	"˨˨"
"苔"	"苔"	"de˧˩"		"d"	"e"	"˧˩"
"抬"	"抬"	"de˧˩"		"d"	"e"	"˧˩"
"殆"	"殆"	"de˩˧"		"d"	"e"	"˩˧"
"待"	"待"	"de˩˧"		"d"	"e"	"˩˧"
"怠"	"怠"	"de˩˧"		"d"	"e"	"˩˧"
"代"	"代"	"de˨˨"		"d"	"e"	"˨˨"
"袋"	"袋"	"de˨˨"		"d"	"e"	"˨˨"
"乃"	"乃"	"na˩˧"		"n"	"a"	"˩˧"
"耐"	"耐"	"na˨˨"		"n"	"a"	"˨˨"
"來"	"来"	"lei˧˩"		"l"	"ei"	"˧˩"
"災"	"灾"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"栽"	"栽"	"tsei˦˦"		"ts"	"ei"	"˦˦"
"宰"	"宰"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"載"	"载"	"tsei˧˥"		"ts"	"ei"	"˧˥"
"再"	"再"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"載"	"载"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"猜"	"猜"	"tsʰe˦˦"		"tsʰ"	"ei"	"˦˦"
"采"	"采"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"睬"	"睬"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"彩"	"彩"	"tsʰei˧˥"		"tsʰ"	"ei"	"˧˥"
"菜"	"菜"	"tsʰei˥˨"		"tsʰ"	"ei"	"˥˨"
"裁"	"裁"	"zei˧˩"		"z"	"ei"	"˧˩"
"材"	"材"	"zei˧˩"		"z"	"ei"	"˧˩"
"才"	"才"	"zei˧˩"		"z"	"ei"	"˧˩"
"纔"	"纔"	"zei˧˩"		"z"	"ei"	"˧˩"
"財"	"财"	"zei˧˩"		"z"	"ei"	"˧˩"
"□"	"□"	"zɿ˩˧"	"在"	"z"	"ɿ"	"˩˧"
"在"	"在"	"zei˧˩"		"z"	"ei"	"˧˩"
"腮"	"腮"	"se˦˦"		"s"	"e"	"˦˦"
"腮"	"腮"	"sɿ˦˦"		"s"	"ɿ"	"˦˦"
"賽"	"赛"	"se˥˨"		"s"	"e"	"˥˨"
"該"	"该"	"ke˦˦"		"k"	"e"	"˦˦"
"改"	"改"	"ke˧˥"		"k"	"e"	"˧˥"
"溉"	"溉"	"ke˥˨"		"k"	"e"	"˥˨"
"概"	"概"	"ke˥˨"		"k"	"e"	"˥˨"
"開"	"开"	"kʰe˦˦"		"kʰ"	"e"	"˦˦"
"凱"	"凯"	"kʰe˧˥"		"kʰ"	"e"	"˧˥"
"愷"	"恺"	"kʰe˧˥"		"kʰ"	"e"	"˧˥"
"慨"	"慨"	"kʰe˥˨"		"kʰ"	"e"	"˥˨"
"呆"	"呆"	"ŋe˧˩"		"ŋ"	"e"	"˧˩"
"礙"	"碍"	"ŋe˨˨"		"ŋ"	"e"	"˨˨"
"海"	"海"	"he˧˥"		"h"	"e"	"˧˥"
"□"	"□"	"ge˩˧"	"站起來"	"g"	"e"	"˩˧"
"孩"	"孩"	"ɦe˧˩"		"ɦ"	"e"	"˧˩"
"孩"	"孩"	"ɦe˩˧"		"ɦ"	"e"	"˩˧"
"亥"	"亥"	"ɦe˩˧"		"ɦ"	"e"	"˩˧"
"哀"	"哀"	"ʔe˦˦"		"ʔ"	"e"	"˦˦"
"埃"	"埃"	"ʔe˦˦"		"ʔ"	"e"	"˦˦"
"唉"	"唉"	"ʔe˦˦"		"ʔ"	"e"	"˦˦"
"唉"	"唉"	"ʔa˧˥"		"ʔ"	"a"	"˧˥"
"愛"	"爱"	"ʔe˥˨"		"ʔ"	"e"	"˥˨"
"貝"	"贝"	"pai˥˨"		"p"	"ai"	"˥˨"
"沛"	"沛"	"pʰai˥˨"		"pʰ"	"ai"	"˥˨"
"帶"	"带"	"ta˥˨"		"t"	"a"	"˥˨"
"泰"	"泰"	"tʰa˥˨"		"tʰ"	"a"	"˥˨"
"太"	"太"	"tʰa˥˨"		"tʰ"	"a"	"˥˨"
"大"	"大"	"da˨˨"	"舊稱，爸爸"	"d"	"a"	"˨˨"
"奈"	"奈"	"na˨˨"		"n"	"a"	"˨˨"
"賴"	"赖"	"la˨˨"		"l"	"a"	"˨˨"
"癩"	"癞"	"la˨˨"		"l"	"a"	"˨˨"
"蔡"	"蔡"	"tsʰa˥˨"		"tsʰ"	"a"	"˥˨"
"蓋"	"盖"	"ke˥˨"		"k"	"e"	"˥˨"
"□"	"□"	"gaŋ˧˩"	"蓋下"	"g"	"aŋ"	"˧˩"
"□"	"□"	"kaŋ˧˥"	"蓋子"	"k"	"aŋ"	"˧˥"
"丐"	"丐"	"kʰɵ˨˩˩"	"乞丐，取米丐兒"	"kʰ"	"ɵ"	"˧˨˨"
"□"	"□"	"kʰɔ˥˨"	"給，被"	"kʰ"	"ɔ"	"˥˨"
"□"	"□"	"kʰɔ˨˩˩"	"給，被"	"kʰ"	"ɔ"	"˧˨˨"
"丐"	"丐"	"ke˥˨"		"k"	"e"	"˥˨"
"艾"	"艾"	"ŋe˨˨"		"ŋ"	"e"	"˨˨"
"害"	"害"	"ɦe˨˨"		"ɦ"	"e"	"˨˨"
"藹"	"蔼"	"ʔe˧˥"		"ʔ"	"e"	"˧˥"
"靄"	"霭"	"ʔe˧˥"		"ʔ"	"e"	"˧˥"
"拜"	"拜"	"ʔe˥˨"		"ʔ"	"e"	"˥˨"
"排"	"排"	"ba˧˩"		"b"	"a"	"˧˩"
"埋"	"埋"	"ma˧˩"		"m"	"a"	"˧˩"
"埋"	"埋"	"ma˨˩˩"		"m"	"a"	"˨˩˩"
"齋"	"斋"	"tsa˦˦"		"ts"	"a"	"˦˦"
"豺"	"豺"	"za˧˩"		"z"	"a"	"˧˩"
"皆"	"皆"	"ka˦˦"		"k"	"a"	"˦˦"
"偕"	"偕"	"ka˦˦"		"k"	"a"	"˦˦"
"秸"	"秸"	"ka˦˦"		"k"	"a"	"˦˦"
"街"	"街"	"ka˦˦"		"k"	"a"	"˦˦"
"階"	"阶"	"ka˦˦"		"k"	"a"	"˦˦"
"戒"	"戒"	"ka˥˨"		"k"	"a"	"˥˨"
"芥"	"芥"	"ka˥˨"		"k"	"a"	"˥˨"
"尬"	"尬"	"ka˥˨"		"k"	"a"	"˥˨"
"界"	"界"	"ka˥˨"		"k"	"a"	"˥˨"
"介"	"介"	"ka˥˨"		"k"	"a"	"˥˨"
"疥"	"疥"	"ka˥˨"		"k"	"a"	"˥˨"
"屆"	"届"	"ka˥˨"		"k"	"a"	"˥˨"
"屆"	"届"	"ka˨˩˩"	"能屆：現在"	"k"	"a"	"˧˨˨"
"芥"	"芥"	"ka˨˩˩"	"芥菜飯"	"k"	"a"	"˧˨˨"
"揩"	"揩"	"kʰa˦˦"		"kʰ"	"a"	"˦˦"
"楷"	"楷"	"kʰa˧˥"		"kʰ"	"a"	"˧˥"
"諧"	"谐"	"ɦa˧˩"		"ɦ"	"a"	"˧˩"
"駭"	"骇"	"ɦa˩˧"		"ɦ"	"a"	"˩˧"
"械"	"械"	"ɦa˨˨"		"ɦ"	"a"	"˨˨"
"挨"	"挨"	"ʔe˦˦"		"ʔ"	"e"	"˦˦"
"挨"	"挨"	"ʔa˦˦"		"ʔ"	"a"	"˦˦"
"擺"	"摆"	"pa˥˨"		"p"	"a"	"˥˨"
"派"	"派"	"pʰa˥˨"		"pʰ"	"a"	"˥˨"
"牌"	"牌"	"ba˧˩"		"b"	"a"	"˧˩"
"罷"	"罢"	"ba˩˧"		"b"	"a"	"˩˧"
"稗"	"稗"	"ba˨˨"		"b"	"a"	"˨˨"
"買"	"买"	"ma˩˧"		"m"	"a"	"˩˧"
"賣"	"卖"	"ma˨˨"		"m"	"a"	"˨˨"
"奶"	"奶"	"ne˦˦"	"乳房，乳汁"	"ʔn"	"e"	"˦˦"
"奶"	"奶"	"na˦˦"	"舊稱，媽媽"	"ʔn"	"a"	"˦˦"
"奶"	"奶"	"na˩˧"	"奶"	"n"	"a"	"˩˧"
"債"	"债"	"tsa˥˨"		"ts"	"a"	"˥˨"
"釵"	"钗"	"tsʰa˦˦"		"tsʰ"	"a"	"˦˦"
"差"	"差"	"tsʰa˦˦"		"tsʰ"	"a"	"˦˦"
"柴"	"柴"	"za˧˩"		"z"	"a"	"˧˩"
"㾹"	"㾹"	"za˨˨"	"瘦，少肉，皮包骨"	"z"	"a"	"˨˨"
"篩"	"筛"	"sa˦˦"		"s"	"a"	"˦˦"
"灑"	"洒"	"sa˧˥"		"s"	"a"	"˧˥"
"曬"	"晒"	"sa˥˨"		"s"	"a"	"˥˨"
"佳"	"佳"	"ku˦˦"		"k"	"u"	"˦˦"
"街"	"街"	"ka˦˦"		"k"	"a"	"˦˦"
"解"	"解"	"ka˧˥"		"k"	"a"	"˧˥"
"涯"	"涯"	"ŋɔ˧˩"		"ŋ"	"ɔ"	"˧˩"
"崖"	"崖"	"ŋɔ˧˩"		"ŋ"	"ɔ"	"˧˩"
"鞋"	"鞋"	"ɦa˧˩"		"ɦ"	"a"	"˧˩"
"蟹"	"蟹"	"ha˧˥"		"h"	"a"	"˧˥"
"解"	"解"	"ɦa˩˧"		"ɦ"	"a"	"˩˧"
"懈"	"懈"	"ɦa˨˨"		"ɦ"	"a"	"˨˨"
"矮"	"矮"	"ʔa˧˥"		"ʔ"	"a"	"˧˥"
"隘"	"隘"	"ʔa˥˨"		"ʔ"	"a"	"˥˨"
"敗"	"败"	"ba˨˨"		"b"	"a"	"˨˨"
"邁"	"迈"	"ma˨˨"		"m"	"a"	"˨˨"
"寨"	"寨"	"dza˨˨"		"dz"	"a"	"˨˨"
"蔽"	"蔽"	"pei˥˨"		"p"	"ei"	"˥˨"
"斃"	"毙"	"pei˥˨"		"p"	"ei"	"˥˨"
"敝"	"敝"	"pei˥˨"		"p"	"ei"	"˥˨"
"幣"	"币"	"pei˥˨"		"p"	"ei"	"˥˨"
"弊"	"弊"	"pei˥˨"		"p"	"ei"	"˥˨"
"厲"	"厉"	"lei˨˨"		"l"	"ei"	"˨˨"
"勵"	"励"	"lei˨˨"		"l"	"ei"	"˨˨"
"例"	"例"	"lei˨˨"		"l"	"ei"	"˨˨"
"祭"	"祭"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"際"	"际"	"tsei˥˨"		"ts"	"ei"	"˥˨"
"穄"	"穄"	"tsei˥˨"		"ts"	"ei"	"˥˨"
