"繁體"	"簡體"	"拼音"	"音標"
"廠"	"廠"	"chi3"	"tɕʰi˧˥"
"淺"	"淺"	"chi3"	"tɕʰi˧˥"
"遣"	"遣"	"chi3"	"tɕʰi˧˥"
"譴"	"譴"	"chi3"	"tɕʰi˧˥"
"歉"	"歉"	"chi3"	"tɕʰi˧˥"
"搶"	"搶"	"chi3"	"tɕʰi˧˥"
"倡"	"倡"	"chi5"	"tɕʰi˥˨"
"唱"	"唱"	"chi5"	"tɕʰi˥˨"
"悵"	"悵"	"chi5"	"tɕʰi˥˨"
"暢"	"暢"	"chi5"	"tɕʰi˥˨"
"欠"	"欠"	"chi5"	"tɕʰi˥˨"
"嗆"	"嗆"	"chi5"	"tɕʰi˥˨"
"切"	"切"	"chi7"	"tɕʰi˨˩˧"
"妾"	"妾"	"chi7"	"tɕʰi˨˩˧"
"怯"	"怯"	"chi7"	"tɕʰi˨˩˧"
"纏"	"纏"	"ji2"	"dʑi˧˩"
"長"	"長"	"ji2"	"dʑi˧˩"
"常"	"常"	"ji2"	"dʑi˧˩"
"場"	"場"	"ji2"	"dʑi˧˩"
"腸"	"腸"	"ji2"	"dʑi˧˩"
"虔"	"虔"	"ji2"	"dʑi˧˩"
"幹"	"幹"	"ji2"	"dʑi˧˩"
"鉗"	"鉗"	"ji2"	"dʑi˧˩"
"黔"	"黔"	"ji2"	"dʑi˧˩"
"錢"	"錢"	"ji2"	"dʑi˧˩"
"強"	"強"	"ji2"	"dʑi˧˩"
"儉"	"儉"	"ji4"	"dʑi˧˥"
"件"	"件"	"ji4"	"dʑi˧˥"
"強"	"強"	"ji4"	"dʑi˧˥"
"像"	"像"	"ji4"	"dʑi˧˥"
"丈"	"丈"	"ji4"	"dʑi˧˥"
"仗"	"仗"	"ji4"	"dʑi˧˥"
"杖"	"杖"	"ji4"	"dʑi˧˥"
"長"	"長"	"ji6"	"dʑi˨˨"
"纏"	"纏"	"ji6"	"dʑi˨˨"
"健"	"健"	"ji6"	"dʑi˨˨"
"腱"	"腱"	"ji6"	"dʑi˨˨"
"鍵"	"鍵"	"ji6"	"dʑi˨˨"
"撤"	"撤"	"ji7"	"dʑi˨˩˧"
"徹"	"徹"	"ji7"	"dʑi˨˩˧"
"傑"	"傑"	"ji7"	"dʑi˨˩˧"
"碣"	"碣"	"ji7"	"dʑi˨˩˧"
"竭"	"竭"	"ji7"	"dʑi˨˩˧"
"搩"	"搩"	"ji7"	"dʑi˨˩˧"
"轍"	"轍"	"ji7"	"dʑi˨˩˧"
"擲"	"擲"	"ji7"	"dʑi˨˩˧"
"娘"	"娘"	"ɡni1"	"ȵi˧˧"
"粘"	"粘"	"ɡni1"	"ȵi˧˧"
"呢"	"呢"	"ɡni2"	"ȵi˧˩"
"尼"	"尼"	"ɡni2"	"ȵi˧˩"
"泥"	"泥"	"ɡni2"	"ȵi˧˩"
"倪"	"倪"	"ɡni2"	"ȵi˧˩"
"拈"	"拈"	"ɡni2"	"ȵi˧˩"
"年"	"年"	"ɡni2"	"ȵi˧˩"
"鯰"	"鯰"	"ɡni2"	"ȵi˧˩"
"攆"	"攆"	"ɡni2"	"ȵi˧˩"
"娘"	"娘"	"ɡni2"	"ȵi˧˩"
"言"	"言"	"ɡni2"	"ȵi˧˩"
"研"	"研"	"ɡni2"	"ȵi˧˩"
"嚴"	"嚴"	"ɡni2"	"ȵi˧˩"
"釅"	"釅"	"ɡni2"	"ȵi˧˩"
"沂"	"沂"	"ɡni2"	"ȵi˧˩"
"宜"	"宜"	"ɡni2"	"ȵi˧˩"
"疑"	"疑"	"ɡni2"	"ȵi˧˩"
"你"	"你"	"gni4"	"ȵi˧˥"
"擬"	"擬"	"gni4"	"ȵi˧˥"
"碾"	"碾"	"gni4"	"ȵi˧˥"
"染"	"染"	"gni4"	"ȵi˧˥"
"像"	"像"	"gni4"	"ȵi˧˥"
"儼"	"儼"	"gni4"	"ȵi˧˥"
"仰"	"仰"	"gni4"	"ȵi˧˥"
"儀"	"儀"	"gni4"	"ȵi˧˥"
"蟻"	"蟻"	"gni4"	"ȵi˧˥"
"誼"	"誼"	"gni4"	"ȵi˧˥"
"議"	"議"	"gni4"	"ȵi˧˥"
"膩"	"膩"	"gni6"	"ȵi˨˨"
"碾"	"碾"	"gni6"	"ȵi˨˨"
"念"	"念"	"gni6"	"ȵi˨˨"
"釀"	"釀"	"gni6"	"ȵi˨˨"
"讓"	"讓"	"gni6"	"ȵi˨˨"
"唁"	"唁"	"gni6"	"ȵi˨˨"
"硯"	"硯"	"gni6"	"ȵi˨˨"
"諺"	"諺"	"gni6"	"ȵi˨˨"
"驗"	"驗"	"gni6"	"ȵi˨˨"
"詣"	"詣"	"gni6"	"ȵi˨˨"
"義"	"義"	"gni6"	"ȵi˨˨"
"毅"	"毅"	"gni6"	"ȵi˨˨"
"藝"	"藝"	"gni6"	"ȵi˨˨"
"聶"	"聶"	"gni8"	"ȵi˨˩˧"
"孽"	"孽"	"gni8"	"ȵi˨˩˧"
"鑷"	"鑷"	"gni8"	"ȵi˨˩˧"
"熱"	"熱"	"gni8"	"ȵi˨˩˧"
"日"	"日"	"gni8"	"ȵi˨˩˧"
"業"	"業"	"gni8"	"ȵi˨˩˧"
"瓤"	"瓤"	"shi1"	"ɕi˧˧"
"苫"	"苫"	"shi1"	"ɕi˧˧"
"商"	"商"	"shi1"	"ɕi˧˧"
"傷"	"傷"	"shi1"	"ɕi˧˧"
"仙"	"仙"	"shi1"	"ɕi˧˧"
"仙"	"仙"	"shi1"	"ɕi˧˧"
"先"	"先"	"shi1"	"ɕi˧˧"
"暹"	"暹"	"shi1"	"ɕi˧˧"
"鮮"	"鮮"	"shi1"	"ɕi˧˧"
"纖"	"纖"	"shi1"	"ɕi˧˧"
"相"	"相"	"shi1"	"ɕi˧˧"
