"繁體"	"簡體"	"拼音"	"音標"
"企"	"企"	"dzy4"	"dzɿ˧˥"
"署"	"署"	"dzy4"	"dzɿ˧˥"
"峙"	"峙"	"dzy4"	"dzɿ˧˥"
"痔"	"痔"	"dzy4"	"dzɿ˧˥"
"雉"	"雉"	"dzy4"	"dzɿ˧˥"
"稚"	"稚"	"dzy4"	"dzɿ˧˥"
"渚"	"渚"	"dzy4"	"dzɿ˧˥"
"柱"	"柱"	"dzy4"	"dzɿ˧˥"
"忌"	"忌"	"dzy6"	"dzɿ˨˨"
"治"	"治"	"dzy6"	"dzɿ˨˨"
"住"	"住"	"dzy6"	"dzɿ˨˨"
"墜"	"墜"	"dzy6"	"dzɿ˨˨"
"極"	"極"	"dzy8"	"dzɿ˨˩˧"
"尿"	"尿"	"sy1"	"sɿ˧˧"
"腮"	"腮"	"sy1"	"sɿ˧˧"
"鰓"	"鰓"	"sy1"	"sɿ˧˧"
"篩"	"篩"	"sy1"	"sɿ˧˧"
"施"	"施"	"sy1"	"sɿ˧˧"
"屍"	"屍"	"sy1"	"sɿ˧˧"
"師"	"師"	"sy1"	"sɿ˧˧"
"獅"	"獅"	"sy1"	"sɿ˧˧"
"詩"	"詩"	"sy1"	"sɿ˧˧"
"書"	"書"	"sy1"	"sɿ˧˧"
"梳"	"梳"	"sy1"	"sɿ˧˧"
"舒"	"舒"	"sy1"	"sɿ˧˧"
"輸"	"輸"	"sy1"	"sɿ˧˧"
"司"	"司"	"sy1"	"sɿ˧˧"
"私"	"私"	"sy1"	"sɿ˧˧"
"思"	"思"	"sy1"	"sɿ˧˧"
"斯"	"斯"	"sy1"	"sɿ˧˧"
"絲"	"絲"	"sy1"	"sɿ˧˧"
"撕"	"撕"	"sy1"	"sɿ˧˧"
"廝"	"廝"	"sy1"	"sɿ˧˧"
"雖"	"雖"	"sy1"	"sɿ˧˧"
"綏"	"綏"	"sy1"	"sɿ˧˧"
"希"	"希"	"sy1"	"sɿ˧˧"
"稀"	"稀"	"sy1"	"sɿ˧˧"
"熙"	"熙"	"sy1"	"sɿ˧˧"
"嘻"	"嘻"	"sy1"	"sɿ˧˧"
"嬉"	"嬉"	"sy1"	"sɿ˧˧"
"熹"	"熹"	"sy1"	"sɿ˧˧"
"犧"	"犧"	"sy1"	"sɿ˧˧"
"犧"	"犧"	"sy1"	"sɿ˧˧"
"禧"	"禧"	"sy1"	"sɿ˧˧"
"蟢"	"蟢"	"sy1"	"sɿ˧˧"
"胥"	"胥"	"sy1"	"sɿ˧˧"
"須"	"須"	"sy1"	"sɿ˧˧"
"需"	"需"	"sy1"	"sɿ˧˧"
"須"	"須"	"sy1"	"sɿ˧˧"
"史"	"史"	"sy3"	"sɿ˧˥"
"矢"	"矢"	"sy3"	"sɿ˧˥"
"豕"	"豕"	"sy3"	"sɿ˧˥"
"使"	"使"	"sy3"	"sɿ˧˥"
"始"	"始"	"sy3"	"sɿ˧˥"
"屎"	"屎"	"sy3"	"sɿ˧˥"
"駛"	"駛"	"sy3"	"sɿ˧˥"
"黍"	"黍"	"sy3"	"sɿ˧˥"
"數"	"數"	"sy3"	"sɿ˧˥"
"水"	"水"	"sy3"	"sɿ˧˥"
"死"	"死"	"sy3"	"sɿ˧˥"
"徙"	"徙"	"sy3"	"sɿ˧˥"
"喜"	"喜"	"sy3"	"sɿ˧˥"
"賜"	"賜"	"sy5"	"sɿ˥˨"
"試"	"試"	"sy5"	"sɿ˥˨"
"暑"	"暑"	"sy5"	"sɿ˥˨"
"戍"	"戍"	"sy5"	"sɿ˥˨"
"恕"	"恕"	"sy5"	"sɿ˥˨"
"庶"	"庶"	"sy5"	"sɿ˥˨"
"稅"	"稅"	"sy5"	"sɿ˥˨"
"說"	"說"	"sy5"	"sɿ˥˨"
"說"	"說"	"sy5"	"sɿ˥˨"
"思"	"思"	"sy5"	"sɿ˥˨"
"四"	"四"	"sy5"	"sɿ˥˨"
"肆"	"肆"	"sy5"	"sɿ˥˨"
"祟"	"祟"	"sy5"	"sɿ˥˨"
"歲"	"歲"	"sy5"	"sɿ˥˨"
"戲"	"戲"	"sy5"	"sɿ˥˨"
"絮"	"絮"	"sy5"	"sɿ˥˨"
"豉"	"豉"	"zy2"	"zɿ˧˩"
"鋤"	"鋤"	"zy2"	"zɿ˧˩"
"疵"	"疵"	"zy2"	"zɿ˧˩"
"祠"	"祠"	"zy2"	"zɿ˧˩"
"瓷"	"瓷"	"zy2"	"zɿ˧˩"
"詞"	"詞"	"zy2"	"zɿ˧˩"
"慈"	"慈"	"zy2"	"zɿ˧˩"
"磁"	"磁"	"zy2"	"zɿ˧˩"
"糍"	"糍"	"zy2"	"zɿ˧˩"
"辭"	"辭"	"zy2"	"zɿ˧˩"
"鶿"	"鶿"	"zy2"	"zɿ˧˩"
"鶿"	"鶿"	"zy2"	"zɿ˧˩"
"而"	"而"	"zy2"	"zɿ˧˩"
"如"	"如"	"zy2"	"zɿ˧˩"
"儒"	"儒"	"zy2"	"zɿ˧˩"
"蠕"	"蠕"	"zy2"	"zɿ˧˩"
"時"	"時"	"zy2"	"zɿ˧˩"
"鰣"	"鰣"	"zy2"	"zɿ˧˩"
"殊"	"殊"	"zy2"	"zɿ˧˩"
"誰"	"誰"	"zy2"	"zɿ˧˩"
"隋"	"隋"	"zy2"	"zɿ˧˩"
"隨"	"隨"	"zy2"	"zɿ˧˩"
"遂"	"遂"	"zy2"	"zɿ˧˩"
"茲"	"茲"	"zy2"	"zɿ˧˩"
"耳"	"耳"	"zy4"	"zɿ˧˥"
"爾"	"爾"	"zy4"	"zɿ˧˥"
"爾"	"爾"	"zy4"	"zɿ˧˥"
"餌"	"餌"	"zy4"	"zɿ˧˥"
"聚"	"聚"	"zy4"	"zɿ˧˥"
"汝"	"汝"	"zy4"	"zɿ˧˥"
"乳"	"乳"	"zy4"	"zɿ˧˥"
"擩"	"擩"	"zy4"	"zɿ˧˥"
"蕊"	"蕊"	"zy4"	"zɿ˧˥"
"士"	"士"	"zy4"	"zɿ˧˥"
"氏"	"氏"	"zy4"	"zɿ˧˥"
"市"	"市"	"zy4"	"zɿ˧˥"
"似"	"似"	"zy4"	"zɿ˧˥"
"柿"	"柿"	"zy4"	"zɿ˧˥"
"是"	"是"	"zy4"	"zɿ˧˥"
"恃"	"恃"	"zy4"	"zɿ˧˥"
"墅"	"墅"	"zy4"	"zɿ˧˥"
"豎"	"豎"	"zy4"	"zɿ˧˥"
"樹"	"樹"	"zy4"	"zɿ˧˥"
"巳"	"巳"	"zy4"	"zɿ˧˥"
"祀"	"祀"	"zy4"	"zɿ˧˥"
"序"	"序"	"zy4"	"zɿ˧˥"
"敘"	"敘"	"zy4"	"zɿ˧˥"
"緒"	"緒"	"zy4"	"zɿ˧˥"
"著"	"著"	"zy4"	"zɿ˧˥"
"瑞"	"瑞"	"zy6"	"zɿ˨˨"
"食"	"食"	"zy6"	"zɿ˨˨"
"示"	"示"	"zy6"	"zɿ˨˨"
"事"	"事"	"zy6"	"zɿ˨˨"
"侍"	"侍"	"zy6"	"zɿ˨˨"
"視"	"視"	"zy6"	"zɿ˨˨"
"嗜"	"嗜"	"zy6"	"zɿ˨˨"
"樹"	"樹"	"zy6"	"zɿ˨˨"
"寺"	"寺"	"zy6"	"zɿ˨˨"
"伺"	"伺"	"zy6"	"zɿ˨˨"
"嗣"	"嗣"	"zy6"	"zɿ˨˨"
"飼"	"飼"	"zy6"	"zɿ˨˨"
"隧"	"隧"	"zy6"	"zɿ˨˨"
"穗"	"穗"	"zy6"	"zɿ˨˨"
"自"	"自"	"zy6"	"zɿ˨˨"
"字"	"字"	"zy6"	"zɿ˨˨"
"牸"	"牸"	"zy6"	"zɿ˨˨"
"蝙"	"蝙"	"pi1"	"pi˧˧"
"編"	"編"	"pi1"	"pi˧˧"
"鞭"	"鞭"	"pi1"	"pi˧˧"
"邊"	"邊"	"pi1"	"pi˧˧"
"扁"	"扁"	"pi3"	"pi˧˥"
"匾"	"匾"	"pi3"	"pi˧˥"
"貶"	"貶"	"pi3"	"pi˧˥"
"遍"	"遍"	"pi5"	"pi˥˨"
"變"	"變"	"pi5"	"pi˥˨"
"逼"	"逼"	"pi7"	"pi˨˩˧"
"筆"	"筆"	"pi7"	"pi˨˩˧"
"必"	"必"	"pi7"	"pi˨˩˧"
"畢"	"畢"	"pi7"	"pi˨˩˧"
"碧"	"碧"	"pi7"	"pi˨˩˧"
"潷"	"潷"	"pi7"	"pi˨˩˧"
"壁"	"壁"	"pi7"	"pi˨˩˧"
"臂"	"臂"	"pi7"	"pi˨˩˧"
"璧"	"璧"	"pi7"	"pi˨˩˧"
"憋"	"憋"	"pi7"	"pi˨˩˧"
"鱉"	"鱉"	"pi7"	"pi˨˩˧"
"別"	"別"	"pi7"	"pi˨˩˧"
"泌"	"泌"	"pi7"	"pi˨˩˧"
"秘"	"秘"	"pi7"	"pi˨˩˧"
"辟"	"辟"	"pi7"	"pi˨˩˧"
"偏"	"偏"	"phi1"	"pʰi˧˧"
"篇"	"篇"	"phi1"	"pʰi˧˧"
"翩"	"翩"	"phi1"	"pʰi˧˧"
"片"	"片"	"phi5"	"pʰi˥˨"
"騙"	"騙"	"phi5"	"pʰi˥˨"
"蹩"	"蹩"	"phi7"	"pʰi˨˩˧"
"劈"	"劈"	"phi7"	"pʰi˨˩˧"
"霹"	"霹"	"phi7"	"pʰi˨˩˧"
"匹"	"匹"	"phi7"	"pʰi˨˩˧"
"癖"	"癖"	"phi7"	"pʰi˨˩˧"
"僻"	"僻"	"phi7"	"pʰi˨˩˧"
"辟"	"辟"	"phi7"	"pʰi˨˩˧"
